Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
0%,2025,NT,74.02,50.56
0%,2030,NT,84.25,57.19
0%,2040,DE,83.99,57.17
0%,2040,GA,83.99,57.46
0%,2040,NT,83.99,57.15
0%,2050,DE,83.93,57.35
0%,2050,GA,83.99,57.23
100%,2025,NT,67.65,52.11
100%,2030,NT,68.92,52.14
100%,2040,DE,69.99,53.08
100%,2040,GA,69.33,52.74
100%,2040,NT,69.87,52.94
100%,2050,DE,70.24,53.55
100%,2050,GA,69.69,53.15
20%,2025,NT,69.4,49.88
20%,2030,NT,79.3,50.92
20%,2040,DE,86.76,58.12
20%,2040,GA,86.76,57.75
20%,2040,NT,86.76,58.04
20%,2050,DE,86.89,59.2
20%,2050,GA,86.87,59.63
40%,2025,NT,67.38,49.36
40%,2030,NT,76.37,50.16
40%,2040,DE,84.02,55.04
40%,2040,GA,83.96,54.13
40%,2040,NT,84.01,54.87
40%,2050,DE,88.39,59.8
40%,2050,GA,88.55,59.7
60%,2025,NT,61.9,50.67
60%,2030,NT,62.57,50.81
60%,2040,DE,63.78,51.29
60%,2040,GA,63.25,51.28
60%,2040,NT,63.7,51.38
60%,2050,DE,64.53,51.86
60%,2050,GA,63.62,51.15
80%,2025,NT,63.57,51.64
80%,2030,NT,64.22,51.35
80%,2040,DE,65.42,51.57
80%,2040,GA,64.78,51.87
80%,2040,NT,65.32,51.51
80%,2050,DE,65.9,52.07
80%,2050,GA,65.23,51.61
nb_0%,2025,NT,72.88,51.4
nb_0%,2030,NT,78.48,53.42
nb_0%,2040,DE,78.11,53.41
nb_0%,2040,GA,78.05,54.08
nb_0%,2040,NT,78.1,53.43
nb_0%,2050,DE,78.19,53.39
nb_0%,2050,GA,78.08,53.96
nb_100%,2025,NT,74.52,51.33
nb_100%,2030,NT,74.39,51.93
nb_100%,2040,DE,74.52,52.01
nb_100%,2040,GA,74.22,52.12
nb_100%,2040,NT,74.43,52.15
nb_100%,2050,DE,74.88,52.15
nb_100%,2050,GA,74.38,52.21
nb_20%,2025,NT,72.08,50.6
nb_20%,2030,NT,82.93,55.69
nb_20%,2040,DE,84.9,58.57
nb_20%,2040,GA,84.85,58.44
nb_20%,2040,NT,84.92,58.25
nb_20%,2050,DE,84.62,57.95
nb_20%,2050,GA,84.71,58.16
nb_40%,2025,NT,69.0,50.36
nb_40%,2030,NT,79.66,52.23
nb_40%,2040,DE,85.25,59.01
nb_40%,2040,GA,85.65,59.93
nb_40%,2040,NT,85.37,59.26
nb_40%,2050,DE,87.28,62.55
nb_40%,2050,GA,87.68,63.93
nb_60%,2025,NT,62.9,51.32
nb_60%,2030,NT,63.27,51.21
nb_60%,2040,DE,64.76,51.9
nb_60%,2040,GA,63.98,51.5
nb_60%,2040,NT,64.6,51.64
nb_60%,2050,DE,65.29,51.91
nb_60%,2050,GA,64.46,51.73
nb_80%,2025,NT,64.64,52.0
nb_80%,2030,NT,64.65,51.54
nb_80%,2040,DE,66.15,51.63
nb_80%,2040,GA,65.35,51.63
nb_80%,2040,NT,66.0,51.5
nb_80%,2050,DE,66.64,51.57
nb_80%,2050,GA,65.86,51.56
