snapshot,ES1 0 offwind-ac,ES1 0 onwind,ES1 0 solar,ES1 1 offwind-ac,ES1 1 onwind,ES1 1 solar,ES1 2 offwind-ac,ES1 2 onwind,ES1 2 ror,ES1 2 solar,ES1 3 offwind-ac,ES1 3 onwind,ES1 3 solar,ES1 4 offwind-ac,ES1 4 onwind,ES1 4 solar,ES1 5 onwind,ES1 5 solar,ES1 6 offwind-ac,ES1 6 onwind,ES1 6 solar,ES1 7 onwind,ES1 7 solar,ES1 8 offwind-ac,ES1 8 onwind,ES1 8 ror,ES1 8 solar,PT1 0 offwind-ac,PT1 0 onwind,PT1 0 ror,PT1 0 solar,PT1 1 offwind-ac,PT1 1 onwind,PT1 1 ror,PT1 1 solar,ES1 3 CCGT,ES1 8 CCGT,ES1 2 CCGT,ES1 1 coal,ES1 7 CCGT,ES1 4 coal,ES1 4 CCGT,ES1 5 CCGT,PT1 0 CCGT,ES1 1 CCGT,ES1 0 CCGT,ES1 6 CCGT,ES1 3 coal,PT1 1 CCGT,ES1 0 coal,ES1 2 coal
2013-01-01 00:00:00,0.08719974835761993,0.1649959833545071,0.0,0.40937233238099874,0.3168106611860277,0.0,0.0,0.11248126127073434,0.2236306293007811,0.0,0.029817298708499494,0.048311401743442374,0.0,0.27290021074423576,0.22004159909237428,0.0,0.1389272896650327,0.0,0.2688332146181247,0.3594395830588242,0.0,0.2881314562281965,0.0,0.3209897469067221,0.10717704961713975,0.22363062930078112,0.0,0.05727064279983485,0.034969316876916026,0.10839903983680013,0.0,0.271961484289,0.1850014231984753,0.10839903983680013,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 01:00:00,0.08642794729347639,0.14739256303402937,0.0,0.3964270920116519,0.2660693719109414,0.0,0.0,0.1077107605659982,0.20967656638184776,0.0,0.029823113279620478,0.05560178792001478,0.0,0.30853892933712274,0.2277868202035241,0.0,0.13797782775592332,0.0,0.29363108475148314,0.35107715857482136,0.0,0.2274575194829108,0.0,0.28363716968841446,0.09868486578103879,0.2096765663818478,0.0,0.1095103168161468,0.02253387420561425,0.10413568238693072,0.0,0.28129195747446,0.1463054578769738,0.10413568238693072,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 02:00:00,0.08093489912578143,0.13433885751082483,0.0,0.44812636189948,0.24458964309102102,0.0,0.0,0.11003523960880075,0.19888466515874073,0.0,0.03856112355571513,0.05993471989711572,0.0,0.3197047207701463,0.21843661676196563,0.0,0.13530775504876136,0.0,0.296413412322212,0.34993820596134884,0.0,0.18609394712673943,0.0,0.21905197566861817,0.08685326984974007,0.19888466515874076,0.0,0.12473746083569716,0.018471980707859964,0.10012443916579183,0.0,0.2884630025916015,0.13644229777976388,0.10012443916579183,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 03:00:00,0.08369407632619781,0.13627726707133606,0.0,0.5007912391662135,0.21317308802010973,0.0,0.014801771656266453,0.11298341426034345,0.18731281812499462,0.0,0.0706118996569522,0.06384792262787492,0.0,0.30648477596770973,0.1896674297241888,0.0,0.12610675962548543,0.0,0.2964231553479292,0.35537515095142824,0.0,0.14448868362958106,0.0,0.14999521001701363,0.08758387207237292,0.18731281812499462,0.0,0.10852399161202914,0.014863914034838199,0.09481161481768874,0.0,0.2869174964340368,0.13327990685118443,0.09481161481768874,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 04:00:00,0.10817204830130912,0.15795857294562865,0.0,0.6279895090607668,0.21362907307791898,0.0,0.0,0.12955205265439332,0.1797054844321012,0.0,0.12123423412643429,0.05767029157622119,0.0,0.2524621618624776,0.15677546037863108,0.0,0.12646726333052674,0.0,0.3356516721295339,0.36343138614763393,0.0,0.12024768835884413,0.0,0.1270186172941047,0.10210136695119226,0.17970548443210124,0.0,0.11885265154492326,0.01768686913714172,0.08990031965519826,0.0,0.28498695894045417,0.13966296161550784,0.08990031965519825,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 05:00:00,0.12578488134040636,0.1676987714978733,0.0,0.652729832427567,0.1894409644382604,0.0,0.0,0.14245502195966595,0.1741513108391317,0.0,0.1734171872722992,0.046380282575543254,0.0,0.21057631562769474,0.1343700051171586,0.0,0.12225156834542691,0.0,0.3589655107294917,0.3341260016295551,0.0,0.08631244107465937,0.0,0.09879857551593996,0.08776531527499969,0.17415131083913174,0.0,0.10905219707327651,0.017428284397966804,0.08662704856882267,0.0,0.2797420783961219,0.14227567449589354,0.08662704856882265,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 06:00:00,0.12305507018812137,0.16498583452132712,0.0,0.6535774605705181,0.16754175052501272,0.0,0.0,0.17540422012352652,0.16944263103154264,0.0,0.22533471044021536,0.03979032306749192,0.0,0.18741464193637436,0.12556701641788617,0.0,0.11514093103926579,0.0,0.37063588822763827,0.3230351632226191,0.0,0.07174021015662294,0.0,0.06811171757383096,0.0785530600580679,0.16944263103154267,0.0,0.08680886868124485,0.015685383115809973,0.08376213344498522,0.0,0.2859788529794567,0.14364104869778746,0.08376213344498522,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 07:00:00,0.10923037591142376,0.16065431376069508,0.0,0.6475955973536408,0.14967258404991587,0.0,0.0,0.20665315790745667,0.16518975003299266,0.0,0.25584077156560076,0.04658788954177425,0.0,0.15198545163520802,0.10640460787853065,0.0,0.09573621601540645,0.0,0.3629750531250488,0.31359385321449473,0.0,0.05922463737640467,0.0,0.04849455206637881,0.07810692117010919,0.1651897500329927,0.0,0.05629290675026299,0.00964928789446584,0.08083013404489622,0.0,0.26081812935573206,0.12358957412210882,0.08083013404489622,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 08:00:00,0.09639095584177165,0.16750034900119296,0.0967209031344165,0.653569633161541,0.1460090592242561,0.0287260331803012,0.0,0.23244076975039735,0.1614911404102311,0.08754048136541433,0.23331622254294926,0.04928840681748499,0.062490939662826046,0.11897568716539203,0.09200103688142153,0.0,0.07895165627634783,0.06067454109565427,0.3531391967311139,0.29474440738063845,0.09690435501714445,0.057167177555756905,0.014550336211741274,0.04951663101876755,0.08462277374409481,0.1614911404102311,0.06207154627525637,0.030818032072491675,0.00668284902200643,0.07851221678644245,0.0,0.23398770378134423,0.10723633368867587,0.07851221678644243,0.002963324098094268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-01-01 09:00:00,0.08189561340218288,0.16707821301760542,0.31013174661612825,0.647457192252491,0.14473599896756756,0.24773382909639893,0.010921627589020893,0.2508445894633183,0.15785742303417608,0.3651390922245324,0.17251773925707714,0.04866429967561111,0.16886475763967645,0.09972031328531641,0.07900626380769998,0.17950496356958298,0.07655042826075935,0.1534273988471319,0.330997943974887,0.267104919570612,0.29871399027686146,0.06913527510582528,0.22999208941588323,0.05129489656754842,0.07738720366680389,0.15785742303417608,0.1511970762689229,0.013754463454518015,0.005569618020552114,0.07675904189751163,0.236887004098926,0.22215569372474403,0.10413799882539178,0.07675904189751163,0.19684112630830497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
