generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
AL1 0 offwind-ac,AL1 0,offwind-ac,2711.4601969850705,0.015,184939.01713526816,0.0,#6895dd,Offshore Wind (AC)
AL1 0 oil,AL1 0,oil,89.85454305809466,148.85714285714286,37870.8074066883,0.26,#262626,Oil
AL1 0 onwind,AL1 0,onwind,0.0,0.015000000000000006,96085.88801996625,0.0,#235ebc,Onshore Wind
AL1 0 ror,AL1 0,ror,48.2,0.0,299140.2249292296,0.0,#4adbc8,Run of River
AL1 0 solar,AL1 0,solar,16.85,0.01,35602.071243804465,0.0,#f9d002,Solar
AT1 0 CCGT,AT1 0,CCGT,83.7,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
AT1 0 onwind,AT1 0,onwind,355.66658064673015,0.015000000000000003,96085.8880199663,0.0,#235ebc,Onshore Wind
AT1 0 ror,AT1 0,ror,1197.6,0.0,299140.2249292296,0.0,#4adbc8,Run of River
AT1 0 solar,AT1 0,solar,810.2788081114144,0.009999999999999998,35602.07124380445,0.0,#f9d002,Solar
AT1 1 CCGT,AT1 1,CCGT,3212.2,38.822540424702915,99027.72929315243,0.2,#b20101,Combined-Cycle Gas
AT1 1 OCGT,AT1 1,OCGT,463.0,53.524390243902445,45095.4415151225,0.2,#d35050,Open-Cycle Gas
AT1 1 coal,AT1 1,coal,378.4,28.196969696969695,349976.5536298572,0.34,#707070,Coal
AT1 1 onwind,AT1 1,onwind,2868.453419353269,0.015000000000000001,96085.8880199663,0.0,#235ebc,Onshore Wind
AT1 1 ror,AT1 1,ror,3599.9,0.0,299140.22492922965,0.0,#4adbc8,Run of River
AT1 1 solar,AT1 1,solar,1409.821191888585,0.010000000000000002,35602.07124380445,0.0,#f9d002,Solar
BA1 0 onwind,BA1 0,onwind,87.0,0.015000000000000001,96085.88801996631,0.0,#235ebc,Onshore Wind
BA1 0 solar,BA1 0,solar,34.89,0.010000000000000002,35602.07124380446,0.0,#f9d002,Solar
BE1 0 CCGT,BE1 0,CCGT,3130.0,43.68141906490365,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
BE1 0 OCGT,BE1 0,OCGT,396.0,53.524390243902445,45095.4415151225,0.2,#d35050,Open-Cycle Gas
BE1 0 nuclear,BE1 0,nuclear,2911.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
BE1 0 oil,BE1 0,oil,37.0,148.85714285714286,37870.8074066883,0.26,#262626,Oil
BE1 0 onwind,BE1 0,onwind,526.2301752802285,0.015000000000000003,96085.8880199663,0.0,#235ebc,Onshore Wind
BE1 0 ror,BE1 0,ror,5.8,0.0,299140.2249292296,0.0,#4adbc8,Run of River
BE1 0 solar,BE1 0,solar,2364.570466136049,0.009999999999999998,35602.07124380444,0.0,#f9d002,Solar
BE1 1 CCGT,BE1 1,CCGT,513.0,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
BE1 1 biomass,BE1 1,biomass,95.0,14.893617021276597,278083.0653560446,0.0,#0c6013,Biomass
BE1 1 coal,BE1 1,coal,512.596947849125,28.196969696969695,349976.5536298572,0.34,#707070,Coal
BE1 1 nuclear,BE1 1,nuclear,3008.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
BE1 1 oil,BE1 1,oil,18.0,148.85714285714286,37870.8074066883,0.26,#262626,Oil
BE1 1 onwind,BE1 1,onwind,1307.7518578080753,0.015000000000000006,96085.8880199663,0.0,#235ebc,Onshore Wind
BE1 1 ror,BE1 1,ror,74.07619657813645,0.0,299140.22492922953,0.0,#4adbc8,Run of River
BE1 1 solar,BE1 1,solar,1669.1108910551743,0.01,35602.07124380445,0.0,#f9d002,Solar
BE1 2 CCGT,BE1 2,CCGT,1220.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
BE1 2 OCGT,BE1 2,OCGT,116.0,53.524390243902445,45095.4415151225,0.2,#d35050,Open-Cycle Gas
BE1 2 biomass,BE1 2,biomass,268.0,14.893617021276597,278083.0653560446,0.0,#0c6013,Biomass
BE1 2 offwind-ac,BE1 2,offwind-ac,1297.126624693255,0.015,184868.938885692,0.0,#6895dd,Offshore Wind (AC)
BE1 2 offwind-dc,BE1 2,offwind-dc,1428.3048529555604,0.015,201469.26972641144,0.0,#74c6f2,Offshore Wind (DC)
BE1 2 oil,BE1 2,oil,108.6,148.85714285714286,37870.8074066883,0.26,#262626,Oil
BE1 2 onwind,BE1 2,onwind,603.8379669116968,0.015,96085.88801996628,0.0,#235ebc,Onshore Wind
