Battery,node,MC,annualized_cost,P_discharge_max,P_discharge_min,P_charge_max,P_charge_min,SOC_max,SOC_min,delta,eta_charge,eta_discharge
AL1 0 bat,AL1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
AT1 0 bat,AT1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
BA1 0 bat,BA1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
BE1 0 bat,BE1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
BG1 0 bat,BG1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
CH1 0 bat,CH1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
CZ1 0 bat,CZ1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
DE1 0 bat,DE1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
DK1 0 bat,DK1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
DK2 0 bat,DK2 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
EE6 0 bat,EE6 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
ES1 0 bat,ES1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
ES4 0 bat,ES4 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
FI2 0 bat,FI2 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
FR1 0 bat,FR1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
GB0 0 bat,GB0 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
GB5 0 bat,GB5 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
GR1 0 bat,GR1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
HR1 0 bat,HR1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
HU1 0 bat,HU1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
IE5 0 bat,IE5 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
IT1 0 bat,IT1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
IT3 0 bat,IT3 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
LT6 0 bat,LT6 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
LU1 0 bat,LU1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
LV6 0 bat,LV6 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
ME1 0 bat,ME1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
MK1 0 bat,MK1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
NL1 0 bat,NL1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
NO2 0 bat,NO2 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
PL1 0 bat,PL1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
PT1 0 bat,PT1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
RO1 0 bat,RO1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
RS1 0 bat,RS1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
SE2 0 bat,SE2 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
SI1 0 bat,SI1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
SK1 0 bat,SK1 0,0,21958.9249402013,100000,0,100000,0,0.9,0.1,4.168664498693797e-05,0.98,0.97
