generator,value
ES1 0 CCGT new,1.0
ES1 0 coal new,1.0
ES1 0 offwind-ac new,1.0
ES1 0 onwind new,1.0
ES1 0 solar new,1.0
ES1 1 CCGT new,1.0
ES1 1 coal new,1.0
ES1 1 offwind-ac new,1.0
ES1 1 onwind new,1.0
ES1 1 solar new,1.0
ES1 2 CCGT new,1.0
ES1 2 coal new,1.0
ES1 2 offwind-ac new,1.0
ES1 2 onwind new,1.0
ES1 2 ror new,1.0
ES1 2 solar new,1.0
ES1 3 CCGT new,1.0
ES1 3 coal new,1.0
ES1 3 offwind-ac new,1.0
ES1 3 onwind new,1.0
ES1 3 solar new,1.0
ES1 4 CCGT new,1.0
ES1 4 coal new,1.0
ES1 4 offwind-ac new,1.0
ES1 4 onwind new,1.0
ES1 4 solar new,1.0
ES1 5 CCGT new,1.0
ES1 5 onwind new,1.0
ES1 5 solar new,1.0
ES1 6 CCGT new,1.0
ES1 6 offwind-ac new,1.0
ES1 6 onwind new,1.0
ES1 6 solar new,1.0
ES1 7 CCGT new,1.0
ES1 7 onwind new,1.0
ES1 7 solar new,1.0
ES1 8 CCGT new,1.0
ES1 8 offwind-ac new,1.0
ES1 8 onwind new,1.0
ES1 8 ror new,1.0
ES1 8 solar new,1.0
PT1 0 CCGT new,1.0
PT1 0 offwind-ac new,1.0
PT1 0 onwind new,1.0
PT1 0 ror new,1.0
PT1 0 solar new,1.0
PT1 1 CCGT new,1.0
PT1 1 offwind-ac new,1.0
PT1 1 onwind new,1.0
PT1 1 ror new,1.0
PT1 1 solar new,1.0
