generator,week,value
ES1 0 CCGT,1,16237.710137848488
ES1 0 CCGT,2,25076.971142410126
ES1 0 CCGT,3,13882.766871908814
ES1 0 CCGT,4,15632.787789406131
ES1 0 CCGT,5,21494.293022589507
ES1 0 CCGT,6,18952.7570009179
ES1 0 CCGT,7,22035.78467564927
ES1 0 CCGT,8,23850.67605685718
ES1 0 CCGT,9,17761.9085325746
ES1 0 CCGT,10,18098.85460662988
ES1 0 CCGT,11,16265.314543378074
ES1 0 CCGT,12,15132.740414440685
ES1 0 CCGT,13,13340.518411283058
ES1 0 CCGT,14,12722.041583769877
ES1 0 CCGT,15,7592.357847037587
ES1 0 CCGT,16,14294.472462717942
ES1 0 CCGT,17,10682.460909159028
ES1 0 CCGT,18,12931.796735327925
ES1 0 CCGT,19,16026.402547086405
ES1 0 CCGT,20,11128.95312389424
ES1 0 CCGT,21,14633.428823388409
ES1 0 CCGT,22,9252.01578656526
ES1 0 CCGT,23,16028.054501088985
ES1 0 CCGT,24,16215.5380240857
ES1 0 CCGT,25,12479.612053898973
ES1 0 CCGT,26,9184.563379582029
ES1 0 CCGT,27,16412.581152009905
ES1 0 CCGT,28,19566.696543812923
ES1 0 CCGT,29,20085.977703264092
ES1 0 CCGT,30,21125.811579468063
ES1 0 CCGT,31,15708.959771039095
ES1 0 CCGT,32,15578.306698701781
ES1 0 CCGT,33,13134.893848765305
ES1 0 CCGT,34,17664.646491823154
ES1 0 CCGT,35,14732.391772161096
ES1 0 CCGT,36,17794.12364475289
ES1 0 CCGT,37,14727.164743791529
ES1 0 CCGT,38,15430.874022438009
ES1 0 CCGT,39,20946.896672137664
ES1 0 CCGT,40,15898.396552957882
ES1 0 CCGT,41,14447.28030153208
ES1 0 CCGT,42,18465.666808208494
ES1 0 CCGT,43,10021.967720831379
ES1 0 CCGT,44,15015.829299755038
ES1 0 CCGT,45,17418.844205178917
ES1 0 CCGT,46,10121.07269652726
ES1 0 CCGT,47,15032.4713662874
ES1 0 CCGT,48,17909.40009431311
ES1 0 CCGT,49,21208.943966538576
ES1 0 CCGT,50,22918.289450736505
ES1 0 CCGT,51,24746.78856709034
ES1 0 CCGT,52,14249.794358700346
ES1 0 CCGT,53,9526.337245509021
ES1 0 coal,1,4739.393482733913
ES1 0 coal,2,4739.393482733913
ES1 0 coal,3,4739.393482733913
ES1 0 coal,4,4739.393482733913
ES1 0 coal,5,4739.393482733913
ES1 0 coal,6,4739.393482733913
ES1 0 coal,7,4739.393482733913
ES1 0 coal,8,4739.393482733913
ES1 0 coal,9,4739.393482733913
ES1 0 coal,10,4739.393482733913
ES1 0 coal,11,4739.393482733913
ES1 0 coal,12,4739.393482733913
ES1 0 coal,13,4739.393482733913
ES1 0 coal,14,4739.393482733913
ES1 0 coal,15,4739.393482733913
ES1 0 coal,16,4739.393482733913
ES1 0 coal,17,4739.393482733913
ES1 0 coal,18,4739.393482733913
ES1 0 coal,19,4739.393482733913
ES1 0 coal,20,4739.393482733913
ES1 0 coal,21,4739.393482733913
ES1 0 coal,22,4739.393482733913
ES1 0 coal,23,4739.393482733913
ES1 0 coal,24,4739.393482733913
ES1 0 coal,25,4739.393482733913
ES1 0 coal,26,4739.393482733913
