,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,125.051,249,84.98293515358361,0.4812152133580705
1,125.051,187.929,0,0.0,0.0
2,187.929,250.807,0,0.0,0.0
3,250.807,313.686,0,0.0,0.0
4,313.686,376.564,0,0.0,0.0
5,376.564,439.442,0,0.0,0.0
6,439.442,502.32,0,0.0,0.0
7,502.32,565.199,0,0.0,0.0
8,565.199,628.077,0,0.0,0.0
9,628.077,690.955,0,0.0,0.0
10,690.955,753.833,0,0.0,0.0
11,753.833,816.712,0,0.0,0.0
12,816.712,879.59,0,0.0,0.0
13,879.59,942.468,0,0.0,0.0
14,942.468,1005.347,0,0.0,0.0
15,1005.347,1068.225,0,0.0,0.0
16,1068.225,1131.103,0,0.0,0.0
17,1131.103,1193.981,0,0.0,0.0
18,1193.981,1256.86,0,0.0,0.0
19,1256.86,1319.738,0,0.0,0.0
20,1319.738,1382.616,0,0.0,0.0
21,1382.616,1445.495,0,0.0,0.0
22,1445.495,1508.373,0,0.0,0.0
23,1508.373,1571.251,0,0.0,0.0
24,1571.251,1634.129,0,0.0,0.0
25,1634.129,1697.008,0,0.0,0.0
26,1697.008,1759.886,0,0.0,0.0
27,1759.886,1822.764,0,0.0,0.0
28,1822.764,1885.642,0,0.0,0.0
29,1885.642,1948.521,0,0.0,0.0
30,1948.521,2011.399,0,0.0,0.0
31,2011.399,2074.277,0,0.0,0.0
32,2074.277,2137.156,0,0.0,0.0
33,2137.156,2200.034,0,0.0,0.0
34,2200.034,2262.912,0,0.0,0.0
35,2262.912,2325.79,0,0.0,0.0
36,2325.79,2388.669,0,0.0,0.0
37,2388.669,2451.547,0,0.0,0.0
38,2451.547,2514.425,0,0.0,0.0
39,2514.425,2577.303,0,0.0,0.0
40,2577.303,2640.182,0,0.0,0.0
41,2640.182,2703.06,0,0.0,0.0
42,2703.06,2765.938,0,0.0,0.0
43,2765.938,2828.817,0,0.0,0.0
44,2828.817,2891.695,0,0.0,0.0
45,2891.695,2954.573,0,0.0,0.0
46,2954.573,3017.451,0,0.0,0.0
47,3017.451,3080.33,0,0.0,0.0
48,3080.33,3143.208,2,0.6825938566552902,0.003865182436611008
49,3143.208,3206.086,7,2.3890784982935154,0.013528138528138528
50,3206.086,3268.964,15,5.1194539249146755,0.028988868274582563
51,3268.964,3331.843,9,3.0716723549488054,0.017393320964749534
52,3331.843,3394.721,0,0.0,0.0
53,3394.721,3457.599,0,0.0,0.0
54,3457.599,3520.478,0,0.0,0.0
55,3520.478,3583.356,0,0.0,0.0
56,3583.356,3646.234,0,0.0,0.0
57,3646.234,3709.112,0,0.0,0.0
58,3709.112,3771.991,0,0.0,0.0
59,3771.991,3834.869,0,0.0,0.0
60,3834.869,3897.747,0,0.0,0.0
61,3897.747,3960.626,0,0.0,0.0
62,3960.626,4023.504,0,0.0,0.0
63,4023.504,4086.382,0,0.0,0.0
64,4086.382,4149.26,0,0.0,0.0
65,4149.26,4212.139,0,0.0,0.0
66,4212.139,4275.017,0,0.0,0.0
67,4275.017,4337.895,0,0.0,0.0
68,4337.895,4400.773,0,0.0,0.0
69,4400.773,4463.652,0,0.0,0.0
70,4463.652,4526.53,0,0.0,0.0
71,4526.53,4589.408,0,0.0,0.0
72,4589.408,4652.287,0,0.0,0.0
73,4652.287,4715.165,0,0.0,0.0
74,4715.165,4778.043,0,0.0,0.0
75,4778.043,4840.921,0,0.0,0.0
76,4840.921,4903.8,0,0.0,0.0
77,4903.8,4966.678,0,0.0,0.0
78,4966.678,5029.556,0,0.0,0.0
79,5029.556,5092.434,0,0.0,0.0
80,5092.434,5155.313,0,0.0,0.0
81,5155.313,5218.191,0,0.0,0.0
82,5218.191,5281.069,0,0.0,0.0
83,5281.069,5343.948,0,0.0,0.0
84,5343.948,5406.826,0,0.0,0.0
85,5406.826,5469.704,0,0.0,0.0
86,5469.704,5532.582,0,0.0,0.0
87,5532.582,5595.461,0,0.0,0.0
88,5595.461,5658.339,0,0.0,0.0
89,5658.339,5721.217,0,0.0,0.0
90,5721.217,5784.096,0,0.0,0.0
91,5784.096,5846.974,0,0.0,0.0
92,5846.974,5909.852,0,0.0,0.0
93,5909.852,5972.73,0,0.0,0.0
94,5972.73,6035.609,1,0.3412969283276451,0.001932591218305504
95,6035.609,6098.487,1,0.3412969283276451,0.001932591218305504
96,6098.487,6161.365,2,0.6825938566552902,0.003865182436611008
97,6161.365,6224.243,4,1.3651877133105803,0.007730364873222016
98,6224.243,6287.122,2,0.6825938566552902,0.003865182436611008
99,6287.122,6350.0,1,0.3412969283276451,0.001932591218305504
