year,generator,dual_value
2025,ES1 0 CCGT,0.0
2030,ES1 0 CCGT,0.0
2040,ES1 0 CCGT,0.0
2050,ES1 0 CCGT,0.0
2025,ES1 0 coal,0.0
2030,ES1 0 coal,0.0
2040,ES1 0 coal,0.0
2050,ES1 0 coal,0.0
2025,ES1 0 offwind-ac,0.0
2030,ES1 0 offwind-ac,0.0
2040,ES1 0 offwind-ac,0.0
2050,ES1 0 offwind-ac,0.0
2025,ES1 0 onwind,-37441.45341368212
2030,ES1 0 onwind,0.0
2040,ES1 0 onwind,0.0
2050,ES1 0 onwind,0.0
2025,ES1 0 solar,-185009.63559054045
2030,ES1 0 solar,-121708.81917118133
2040,ES1 0 solar,-67943.73401116813
2050,ES1 0 solar,-13814.563172456947
2025,ES1 1 CCGT,0.0
2030,ES1 1 CCGT,0.0
2040,ES1 1 CCGT,0.0
2050,ES1 1 CCGT,0.0
2025,ES1 1 coal,0.0
2030,ES1 1 coal,0.0
2040,ES1 1 coal,0.0
2050,ES1 1 coal,0.0
2025,ES1 1 offwind-ac,-107591.64990186197
2030,ES1 1 offwind-ac,-32399.970966196342
2040,ES1 1 offwind-ac,0.0
2050,ES1 1 offwind-ac,0.0
2025,ES1 1 onwind,-143480.0780586654
2030,ES1 1 onwind,-78147.69597698355
2040,ES1 1 onwind,-22483.7909142231
2050,ES1 1 onwind,0.0
2025,ES1 1 solar,-130096.03320388215
2030,ES1 1 solar,-82158.23197711247
2040,ES1 1 solar,-41696.55163130008
2050,ES1 1 solar,-1054.9419858203692
2025,ES1 2 CCGT,0.0
2030,ES1 2 CCGT,0.0
2040,ES1 2 CCGT,0.0
2050,ES1 2 CCGT,0.0
2025,ES1 2 coal,0.0
2030,ES1 2 coal,0.0
2040,ES1 2 coal,0.0
2050,ES1 2 coal,0.0
2025,ES1 2 offwind-ac,-122157.85455715773
2030,ES1 2 offwind-ac,-37578.706861331724
2040,ES1 2 offwind-ac,0.0
2050,ES1 2 offwind-ac,0.0
2025,ES1 2 onwind,-246424.25890976415
2030,ES1 2 onwind,-151189.21952560585
2040,ES1 2 onwind,-73632.69669860414
2050,ES1 2 onwind,0.0
2025,ES1 2 ror,-124351.44409120153
2030,ES1 2 ror,-12293.968709477907
2040,ES1 2 ror,0.0
2050,ES1 2 ror,0.0
2025,ES1 2 solar,-180570.38417641429
2030,ES1 2 solar,-119315.04840330074
2040,ES1 2 solar,-66239.62351199149
2050,ES1 2 solar,-13082.89537666957
2025,ES1 3 CCGT,0.0
2030,ES1 3 CCGT,0.0
2040,ES1 3 CCGT,0.0
2050,ES1 3 CCGT,0.0
2025,ES1 3 coal,0.0
2030,ES1 3 coal,0.0
2040,ES1 3 coal,0.0
2050,ES1 3 coal,0.0
2025,ES1 3 offwind-ac,-24114.291754737176
2030,ES1 3 offwind-ac,0.0
2040,ES1 3 offwind-ac,0.0
2050,ES1 3 offwind-ac,0.0
2025,ES1 3 onwind,-2784.4159160193267
2030,ES1 3 onwind,0.0
2040,ES1 3 onwind,0.0
2050,ES1 3 onwind,0.0
2025,ES1 3 solar,-186968.37557403915
2030,ES1 3 solar,-123043.85018408598
2040,ES1 3 solar,-68761.86209007056
2050,ES1 3 solar,-14194.11103999657
2025,ES1 4 CCGT,-152.08968725682644
2030,ES1 4 CCGT,0.0
2040,ES1 4 CCGT,0.0
2050,ES1 4 CCGT,0.0
2025,ES1 4 coal,0.0
2030,ES1 4 coal,0.0
2040,ES1 4 coal,0.0
2050,ES1 4 coal,0.0
2025,ES1 4 offwind-ac,-402622.409689722
2030,ES1 4 offwind-ac,-251192.51140812234
2040,ES1 4 offwind-ac,-114936.7316152511
2050,ES1 4 offwind-ac,0.0
2025,ES1 4 onwind,-294207.11000888713
2030,ES1 4 onwind,-191021.15403677535
2040,ES1 4 onwind,-99141.48088310855
2050,ES1 4 onwind,-3852.1181039449584
2025,ES1 4 solar,-130866.03051758531
2030,ES1 4 solar,-82313.2677697357
2040,ES1 4 solar,-41909.068082586055
2050,ES1 4 solar,-1319.9134206165836
2025,ES1 5 CCGT,-1340.7290489158913
2030,ES1 5 CCGT,0.0
2040,ES1 5 CCGT,0.0
2050,ES1 5 CCGT,0.0
2025,ES1 5 onwind,-49133.80646336812
2030,ES1 5 onwind,-8559.92862294233
2040,ES1 5 onwind,0.0
2050,ES1 5 onwind,0.0
2025,ES1 5 solar,-187724.3123792061
2030,ES1 5 solar,-123802.75816553658
2040,ES1 5 solar,-69087.33320888849
2050,ES1 5 solar,-14324.61680949245
2025,ES1 6 CCGT,0.0
2030,ES1 6 CCGT,0.0
2040,ES1 6 CCGT,0.0
2050,ES1 6 CCGT,0.0
2025,ES1 6 offwind-ac,0.0
2030,ES1 6 offwind-ac,0.0
2040,ES1 6 offwind-ac,0.0
2050,ES1 6 offwind-ac,0.0
2025,ES1 6 onwind,-134729.67365451844
2030,ES1 6 onwind,-70868.8505679925
2040,ES1 6 onwind,-23298.16249248643
2050,ES1 6 onwind,0.0
2025,ES1 6 solar,-197514.06720681666
2030,ES1 6 solar,-131212.34869913655
2040,ES1 6 solar,-74133.78535424707
2050,ES1 6 solar,-16839.448520319223
2025,ES1 7 CCGT,-9858.689861988998
2030,ES1 7 CCGT,-4116.948031425301
2040,ES1 7 CCGT,-1166.2082532702916
2050,ES1 7 CCGT,0.0
2025,ES1 7 onwind,-65513.37396920941
2030,ES1 7 onwind,-21459.88166663766
2040,ES1 7 onwind,0.0
2050,ES1 7 onwind,0.0
2025,ES1 7 solar,-173527.01041646334
2030,ES1 7 solar,-112895.67251554577
2040,ES1 7 solar,-61941.37782312868
2050,ES1 7 solar,-10823.312712259205
2025,ES1 8 CCGT,-4763.1959732385585
2030,ES1 8 CCGT,-522.3553232075064
2040,ES1 8 CCGT,0.0
2050,ES1 8 CCGT,0.0
2025,ES1 8 offwind-ac,-52782.122512461385
2030,ES1 8 offwind-ac,0.0
2040,ES1 8 offwind-ac,0.0
2050,ES1 8 offwind-ac,0.0
2025,ES1 8 onwind,-141653.70293799246
2030,ES1 8 onwind,-74188.13748127843
2040,ES1 8 onwind,-21312.509718770983
2050,ES1 8 onwind,0.0
2025,ES1 8 ror,-128394.55408412736
2030,ES1 8 ror,-15267.256716186457
2040,ES1 8 ror,0.0
2050,ES1 8 ror,0.0
2025,ES1 8 solar,-186353.17322857684
2030,ES1 8 solar,-123489.75772961348
2040,ES1 8 solar,-69139.22514947732
2050,ES1 8 solar,-14613.17465861616
2025,PT1 0 CCGT,-6772.140525279927
2030,PT1 0 CCGT,-2376.0867770557875
2040,PT1 0 CCGT,0.0
2050,PT1 0 CCGT,0.0
2025,PT1 0 offwind-ac,-225120.43959584716
2030,PT1 0 offwind-ac,-115678.75935920252
2040,PT1 0 offwind-ac,-19297.268479139384
2050,PT1 0 offwind-ac,0.0
2025,PT1 0 onwind,-38988.629475796195
2030,PT1 0 onwind,-2147.2922975470938
2040,PT1 0 onwind,0.0
2050,PT1 0 onwind,0.0
2025,PT1 0 ror,-281487.1106514305
2030,PT1 0 ror,-128212.83576669698
2040,PT1 0 ror,0.0
2050,PT1 0 ror,0.0
2025,PT1 0 solar,-149787.69860203593
2030,PT1 0 solar,-95658.25160083786
2040,PT1 0 solar,-50805.3265127021
2050,PT1 0 solar,-5643.139911609818
2025,PT1 1 CCGT,-17135.51618599356
2030,PT1 1 CCGT,-9310.494523651898
2040,PT1 1 CCGT,-4772.824727215499
2050,PT1 1 CCGT,0.0
2025,PT1 1 offwind-ac,-95865.06147194165
2030,PT1 1 offwind-ac,-21096.536314574594
2040,PT1 1 offwind-ac,0.0
2050,PT1 1 offwind-ac,0.0
2025,PT1 1 onwind,-82041.33920349696
2030,PT1 1 onwind,-34456.34025798262
2040,PT1 1 onwind,0.0
2050,PT1 1 onwind,0.0
2025,PT1 1 ror,-286905.20572765404
2030,PT1 1 ror,-131957.82616757893
2040,PT1 1 ror,0.0
2050,PT1 1 ror,0.0
2025,PT1 1 solar,-182062.04461796893
2030,PT1 1 solar,-119315.11450122873
2040,PT1 1 solar,-66492.62366289942
2050,PT1 1 solar,-13378.870194041381
