year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,60900.664000000004,9658.490274309252,11,3,956458360.2648424,44909642.37097743,8981928.474195486,1746863398.8170972,1437108555.8712778,3183971954.6883755,4140430314.953218
2025,coal,9478.786965467825,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,offwind-ac,27469.304443667334,8756.472774192616,9,3,1614382163.243229,42315392.55702443,0.0,634730.8883553664,0.0,634730.8883553664,1615016894.1315842
2025,onwind,64079.00668944659,36066.05257717692,11,6,3465438689.2528386,98575862.31355807,0.0,1478637.9347033692,0.0,1478637.9347033692,3466917327.187542
2025,ror,5571.016495,5277.0,4,2,1578562966.9515445,37397835.33564296,0.0,0.0,0.0,0.0,1578562966.9515445
2025,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,51519437.09722775,0.0,515194.37097227754,0.0,515194.37097227754,905307605.28121
2030,CCGT,60900.664000000004,930.6023458465752,11,2,92155437.18406728,30128521.626244716,6025704.325248944,1172188783.7571979,964112692.0398309,2136301475.797029,2228456912.9810963
2030,coal,9478.786965467825,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,offwind-ac,27469.304443667334,3638.1836979588734,9,1,669562313.0876268,42916840.333719045,0.0,643752.6050057857,0.0,643752.6050057857,670206065.6926326
2030,onwind,64079.00668944659,16021.999254519476,11,2,1539488026.2257419,99778827.37655,0.0,1496682.4106482475,0.0,1496682.4106482475,1540984708.6363902
2030,ror,5571.016495,1373.1797443922144,4,2,410773297.60574895,43806640.66808574,0.0,0.0,0.0,0.0,410773297.60574895
2030,solar,25414.038546077332,23418.754584514765,11,10,833756169.1590668,78166116.32681851,0.0,781661.1632681851,0.0,781661.1632681851,834537830.322335
2040,CCGT,60900.664000000004,0.0,11,0,0.0,44787431.09476969,8957486.218953937,1746174266.7813199,1433197795.0326302,3179372061.81395,3179372061.81395
2040,coal,9478.786965467825,0.0,5,0,0.0,231866.22090465028,78834.5151075811,6537924.804599306,12613522.417212976,19151447.22181228,19151447.22181228
2040,offwind-ac,27469.304443667334,10.04519836885811,9,1,1848693.4178310207,48125341.13743289,0.0,721880.1170614933,0.0,721880.1170614933,2570573.534892514
2040,onwind,64079.00668944659,7666.034391617716,11,1,736597722.1101904,127601751.19443035,0.0,1914026.2679164512,0.0,1914026.2679164512,738511748.3781068
2040,ror,5571.016495,0.0,4,0,0.0,43806640.66808574,0.0,0.0,0.0,0.0,0.0
2040,solar,25414.038546077332,4535.86688536727,11,2,161486256.00525892,87065265.8750335,0.0,870652.658750335,0.0,870652.658750335,162356908.66400924
2050,CCGT,60900.664000000004,0.0,11,0,0.0,54270868.2286974,10854173.645739479,2119232824.5562644,1736667783.3183167,3855900607.8745813,3855900607.8745813
2050,coal,9478.786965467825,0.0,5,0,0.0,533625.2650440207,181432.59011496705,15046615.427983673,29029214.418394726,44075829.8463784,44075829.8463784
2050,offwind-ac,27469.304443667334,0.0,9,0,0.0,51184832.66110481,0.0,767772.4899165722,0.0,767772.4899165722,767772.4899165722
2050,onwind,64079.00668944659,0.0,11,0,0.0,136707209.73198646,0.0,2050608.1459797928,0.0,2050608.1459797928,2050608.1459797928
2050,ror,5571.016495,0.0,4,0,0.0,43806640.66808574,0.0,0.0,0.0,0.0,0.0
2050,solar,25414.038546077332,0.0,11,0,0.0,88280229.16242418,0.0,882802.2916242419,0.0,882802.2916242419,882802.2916242419
