dual,year,scenario,total_duals,nonzero_duals,percent_nonzero,average_dual
battery_charge_new_max_duals,2025,NT,7392,161,2.178030303030303,-0.025608750505802517
battery_charge_new_max_duals,2030,NT,7392,304,4.112554112554113,-0.08737884149961998
battery_charge_new_max_duals,2040,DE,7392,223,3.0167748917748916,-0.0200942337717808
battery_charge_new_max_duals,2040,GA,7392,250,3.382034632034632,-0.08330061354646477
battery_charge_new_max_duals,2040,NT,7392,221,2.989718614718615,-0.017071909550421992
battery_charge_new_max_duals,2050,DE,7392,89,1.204004329004329,-0.0008858579339510724
battery_charge_new_max_duals,2050,GA,7392,229,3.097943722943723,-0.003882251088787275
battery_discharge_new_max_duals,2025,NT,7392,224,3.0303030303030303,-0.546869907008895
battery_discharge_new_max_duals,2030,NT,7392,158,2.1374458874458875,-0.306609676623958
battery_discharge_new_max_duals,2040,DE,7392,182,2.462121212121212,-2.5216250513127925
battery_discharge_new_max_duals,2040,GA,7392,206,2.786796536796537,-0.37374375494142287
battery_discharge_new_max_duals,2040,NT,7392,219,2.9626623376623376,-0.3746323141665675
battery_discharge_new_max_duals,2050,DE,7392,61,0.8252164502164502,-0.2702884896371701
battery_discharge_new_max_duals,2050,GA,7392,75,1.0146103896103895,-0.1805468460355143
branch_extension_duals,2025,All,19,1,5.263157894736842,-246.6492764466812
branch_extension_duals,2030,All,19,0,0.0,0.0
branch_extension_duals,2040,All,19,0,0.0,0.0
branch_extension_duals,2050,All,19,0,0.0,0.0
branch_flow_new_duals_max,2025,NT,12768,1266,9.915413533834586,-0.08320874321558885
branch_flow_new_duals_max,2030,NT,12768,1409,11.035401002506266,-0.15080806489040469
branch_flow_new_duals_max,2040,DE,12768,1426,11.168546365914787,-0.23337163879647432
branch_flow_new_duals_max,2040,GA,12768,1464,11.466165413533833,-0.18035023626210575
branch_flow_new_duals_max,2040,NT,12768,1438,11.2625313283208,-0.17233147298997184
branch_flow_new_duals_max,2050,DE,12768,1426,11.168546365914787,-0.5300029230738158
branch_flow_new_duals_max,2050,GA,12768,1440,11.278195488721805,-0.3019462955037959
branch_flow_new_duals_min,2025,NT,12768,5002,39.17606516290727,0.1965937273185239
branch_flow_new_duals_min,2030,NT,12768,4913,38.47901002506266,0.2227058791778782
branch_flow_new_duals_min,2040,DE,12768,4904,38.40852130325815,0.3265217598617897
branch_flow_new_duals_min,2040,GA,12768,4890,38.29887218045113,0.23627500065536203
branch_flow_new_duals_min,2040,NT,12768,4876,38.189223057644114,0.25758936753854383
branch_flow_new_duals_min,2050,DE,12768,4964,38.87844611528822,0.6665051514614688
branch_flow_new_duals_min,2050,GA,12768,4866,38.1109022556391,0.380743704069885
branch_flow_old_duals_max,2025,NT,12768,1265,9.907581453634085,-0.03464201310558701
branch_flow_old_duals_max,2030,NT,12768,1407,11.019736842105262,-0.02726633103815491
branch_flow_old_duals_max,2040,DE,12768,1422,11.137218045112782,-0.054532335476561784
branch_flow_old_duals_max,2040,GA,12768,1462,11.450501253132831,-0.06620639680405202
branch_flow_old_duals_max,2040,NT,12768,1438,11.2625313283208,-0.0440359640522723
branch_flow_old_duals_max,2050,DE,12768,1417,11.098057644110277,-0.06812842129972084
branch_flow_old_duals_max,2050,GA,12768,1437,11.2546992481203,-0.04049443550094525
branch_flow_old_duals_min,2025,NT,12768,5001,39.16823308270676,0.14802699720852208
branch_flow_old_duals_min,2030,NT,12768,4911,38.463345864661655,0.09916414532562845
branch_flow_old_duals_min,2040,DE,12768,4896,38.34586466165413,0.14768245654187714
branch_flow_old_duals_min,2040,GA,12768,4890,38.29887218045113,0.12213116119730826
branch_flow_old_duals_min,2040,NT,12768,4874,38.17355889724311,0.12929385860084427
branch_flow_old_duals_min,2050,DE,12768,4953,38.79229323308271,0.20463064968737396
branch_flow_old_duals_min,2050,GA,12768,4864,38.095238095238095,0.11929184406703433
emissions_duals,2025,NT,1,0,0.0,0.0
emissions_duals,2030,NT,1,0,0.0,0.0
emissions_duals,2040,DE,1,0,0.0,0.0
emissions_duals,2040,GA,1,0,0.0,0.0
emissions_duals,2040,NT,1,0,0.0,0.0
emissions_duals,2050,DE,1,0,0.0,0.0
emissions_duals,2050,GA,1,0,0.0,0.0
gen_extension_duals,2025,All,51,21,41.17647058823529,-19243.70539645739
gen_extension_duals,2030,All,51,14,27.450980392156865,-3900.765955549332
gen_extension_duals,2040,All,51,2,3.9215686274509802,-219.22217413854094
gen_extension_duals,2050,All,51,0,0.0,0.0
gen_output_new_duals,2025,NT,34272,21168,61.76470588235294,-22.17945903733852
gen_output_new_duals,2030,NT,34272,19112,55.765639589169005,-15.49092283111571
gen_output_new_duals,2040,DE,34272,21138,61.67717086834734,-32.652166864429894
gen_output_new_duals,2040,GA,34272,19786,57.73225957049486,-16.36674943162622
gen_output_new_duals,2040,NT,34272,20845,60.82224556489262,-20.832004342371874
gen_output_new_duals,2050,DE,34272,22222,64.84010270774976,-37.78888399570893
gen_output_new_duals,2050,GA,34272,20745,60.53046218487395,-18.971817565928344
gen_output_old_duals,2025,NT,34272,21165,61.75595238095239,-22.058095235926523
gen_output_old_duals,2030,NT,34272,19110,55.75980392156863,-15.461580837935093
gen_output_old_duals,2040,DE,34272,21138,61.67717086834734,-27.03916435494741
gen_output_old_duals,2040,GA,34272,19788,57.738095238095234,-16.09885129880379
gen_output_old_duals,2040,NT,34272,20843,60.816409897292246,-19.061412933763865
gen_output_old_duals,2050,DE,34272,22222,64.84010270774976,-36.542461362914864
gen_output_old_duals,2050,GA,34272,20746,60.53338001867413,-17.702496183566467
load_shedding_duals,2025,NT,7392,0,0.0,0.0
load_shedding_duals,2030,NT,7392,0,0.0,0.0
load_shedding_duals,2040,DE,7392,0,0.0,0.0
load_shedding_duals,2040,GA,7392,0,0.0,0.0
load_shedding_duals,2040,NT,7392,0,0.0,0.0
load_shedding_duals,2050,DE,7392,0,0.0,0.0
load_shedding_duals,2050,GA,7392,0,0.0,0.0
power_balance_duals,2025,NT,7392,7392,100.0,32.091640522179674
power_balance_duals,2030,NT,7392,7392,100.0,22.482379187118685
power_balance_duals,2040,DE,7392,7392,100.0,35.91566011031879
power_balance_duals,2040,GA,7392,7392,100.0,23.37889583292785
power_balance_duals,2040,NT,7392,7392,100.0,27.610572699544033
power_balance_duals,2050,DE,7392,7392,100.0,46.91879147745474
power_balance_duals,2050,GA,7392,7392,100.0,25.694346955317858
