,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,75.896,102.68,308,71.7948717948718,0.5952380952380952
1,102.68,129.464,0,0.0,0.0
2,129.464,156.248,0,0.0,0.0
3,156.248,183.032,0,0.0,0.0
4,183.032,209.816,0,0.0,0.0
5,209.816,236.599,0,0.0,0.0
6,236.599,263.383,0,0.0,0.0
7,263.383,290.167,0,0.0,0.0
8,290.167,316.951,0,0.0,0.0
9,316.951,343.735,0,0.0,0.0
10,343.735,370.518,0,0.0,0.0
11,370.518,397.302,32,7.459207459207459,0.06184291898577613
12,397.302,424.086,12,2.797202797202797,0.02319109461966605
13,424.086,450.87,0,0.0,0.0
14,450.87,477.654,0,0.0,0.0
15,477.654,504.437,0,0.0,0.0
16,504.437,531.221,0,0.0,0.0
17,531.221,558.005,0,0.0,0.0
18,558.005,584.789,0,0.0,0.0
19,584.789,611.573,0,0.0,0.0
20,611.573,638.356,0,0.0,0.0
21,638.356,665.14,0,0.0,0.0
22,665.14,691.924,0,0.0,0.0
23,691.924,718.708,0,0.0,0.0
24,718.708,745.492,0,0.0,0.0
25,745.492,772.275,0,0.0,0.0
26,772.275,799.059,0,0.0,0.0
27,799.059,825.843,0,0.0,0.0
28,825.843,852.627,0,0.0,0.0
29,852.627,879.411,0,0.0,0.0
30,879.411,906.194,0,0.0,0.0
31,906.194,932.978,0,0.0,0.0
32,932.978,959.762,0,0.0,0.0
33,959.762,986.546,0,0.0,0.0
34,986.546,1013.329,0,0.0,0.0
35,1013.329,1040.113,0,0.0,0.0
36,1040.113,1066.897,0,0.0,0.0
37,1066.897,1093.681,0,0.0,0.0
38,1093.681,1120.465,0,0.0,0.0
39,1120.465,1147.248,0,0.0,0.0
40,1147.248,1174.032,4,0.9324009324009324,0.007730364873222016
41,1174.032,1200.816,14,3.263403263403263,0.027056277056277056
42,1200.816,1227.6,4,0.9324009324009324,0.007730364873222016
43,1227.6,1254.384,0,0.0,0.0
44,1254.384,1281.167,0,0.0,0.0
45,1281.167,1307.951,0,0.0,0.0
46,1307.951,1334.735,0,0.0,0.0
47,1334.735,1361.519,0,0.0,0.0
48,1361.519,1388.303,0,0.0,0.0
49,1388.303,1415.086,0,0.0,0.0
50,1415.086,1441.87,0,0.0,0.0
51,1441.87,1468.654,0,0.0,0.0
52,1468.654,1495.438,0,0.0,0.0
53,1495.438,1522.222,0,0.0,0.0
54,1522.222,1549.005,0,0.0,0.0
55,1549.005,1575.789,0,0.0,0.0
56,1575.789,1602.573,0,0.0,0.0
57,1602.573,1629.357,0,0.0,0.0
58,1629.357,1656.141,0,0.0,0.0
59,1656.141,1682.924,0,0.0,0.0
60,1682.924,1709.708,0,0.0,0.0
61,1709.708,1736.492,0,0.0,0.0
62,1736.492,1763.276,0,0.0,0.0
63,1763.276,1790.06,0,0.0,0.0
64,1790.06,1816.843,0,0.0,0.0
65,1816.843,1843.627,0,0.0,0.0
66,1843.627,1870.411,0,0.0,0.0
67,1870.411,1897.195,0,0.0,0.0
68,1897.195,1923.979,0,0.0,0.0
69,1923.979,1950.762,4,0.9324009324009324,0.007730364873222016
70,1950.762,1977.546,4,0.9324009324009324,0.007730364873222016
71,1977.546,2004.33,20,4.662004662004662,0.03865182436611008
72,2004.33,2031.114,16,3.7296037296037294,0.030921459492888066
73,2031.114,2057.897,0,0.0,0.0
74,2057.897,2084.681,0,0.0,0.0
75,2084.681,2111.465,0,0.0,0.0
76,2111.465,2138.249,0,0.0,0.0
77,2138.249,2165.033,0,0.0,0.0
78,2165.033,2191.816,0,0.0,0.0
79,2191.816,2218.6,0,0.0,0.0
80,2218.6,2245.384,0,0.0,0.0
81,2245.384,2272.168,0,0.0,0.0
82,2272.168,2298.952,0,0.0,0.0
83,2298.952,2325.735,0,0.0,0.0
84,2325.735,2352.519,0,0.0,0.0
85,2352.519,2379.303,0,0.0,0.0
86,2379.303,2406.087,0,0.0,0.0
87,2406.087,2432.871,0,0.0,0.0
88,2432.871,2459.654,0,0.0,0.0
89,2459.654,2486.438,0,0.0,0.0
90,2486.438,2513.222,0,0.0,0.0
91,2513.222,2540.006,0,0.0,0.0
92,2540.006,2566.79,0,0.0,0.0
93,2566.79,2593.573,0,0.0,0.0
94,2593.573,2620.357,0,0.0,0.0
95,2620.357,2647.141,1,0.2331002331002331,0.001932591218305504
96,2647.141,2673.925,1,0.2331002331002331,0.001932591218305504
97,2673.925,2700.709,1,0.2331002331002331,0.001932591218305504
98,2700.709,2727.492,4,0.9324009324009324,0.007730364873222016
99,2727.492,2754.276,4,0.9324009324009324,0.007730364873222016
