,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,75.896,102.68,308,71.7948717948718,0.5952380952380952
11,370.518,397.302,32,7.459207459207459,0.06184291898577613
71,1977.546,2004.33,20,4.662004662004662,0.03865182436611008
72,2004.33,2031.114,16,3.7296037296037294,0.030921459492888066
41,1174.032,1200.816,14,3.263403263403263,0.027056277056277056
12,397.302,424.086,12,2.797202797202797,0.02319109461966605
98,2700.709,2727.492,4,0.9324009324009324,0.007730364873222016
70,1950.762,1977.546,4,0.9324009324009324,0.007730364873222016
69,1923.979,1950.762,4,0.9324009324009324,0.007730364873222016
42,1200.816,1227.6,4,0.9324009324009324,0.007730364873222016
