scenario,year,week,hour,branch,dual_value
NT,2025,11,0,88,0.0004683736126630454
NT,2025,11,1,88,0.0004652819992462387
NT,2025,11,2,88,0.0004652819992462387
NT,2025,11,3,88,0.00042342269302990615
NT,2025,11,4,88,0.00042342269302990615
NT,2025,11,5,88,0.0004282302805565015
NT,2025,11,6,88,0.0004282302805565015
NT,2025,11,7,88,0.0004282302805565015
NT,2025,11,8,88,0.0004282302805565015
NT,2025,11,9,88,0.0004262429772020118
NT,2025,11,10,88,0.0004260040855635578
NT,2025,11,11,88,0.00042339073656444566
NT,2025,11,12,88,0.00042227506946542804
NT,2025,11,13,88,0.0004222732396394371
NT,2025,11,14,88,0.00042227506946542804
NT,2025,11,15,88,0.00042342269302990615
NT,2025,11,16,88,0.0004652819992462387
NT,2025,11,17,88,0.0004683736126630454
NT,2025,11,18,88,0.0004282302805565015
NT,2025,11,19,88,0.0004282302805564057
NT,2025,11,20,88,0.0004282302805564057
NT,2025,11,21,88,0.00042743288294686845
NT,2025,11,22,88,0.0004282302805564057
NT,2025,11,23,88,0.0004282302805564057
NT,2025,11,24,88,0.00042743288294686845
NT,2025,11,25,88,0.00042743288294686845
NT,2025,11,26,88,0.00042743288294686845
NT,2025,11,27,88,0.00042743288294686845
NT,2025,11,28,88,0.00036219230007714223
NT,2025,11,29,88,0.00036219230007714223
NT,2025,11,30,88,0.00036662739222745447
NT,2025,11,31,88,1.845807612565614
NT,2025,11,32,88,0.0004326668545789
NT,2025,11,33,88,0.0003635024447529821
NT,2025,11,34,88,0.00043089292802594455
NT,2025,11,35,88,0.00042743288294686845
NT,2025,11,36,88,0.00047349073706547253
NT,2025,11,37,88,0.00046966302155266383
NT,2025,11,38,88,0.0004703677815199358
NT,2025,11,39,88,0.0004703677815199358
NT,2025,11,40,88,0.00047349073706547253
NT,2025,11,41,88,2.06780506921127
NT,2025,11,42,88,2.074935655514151
NT,2025,11,43,88,2.0805684479092235
NT,2025,11,44,88,2.0805684479092235
NT,2025,11,45,88,2.074935655514151
NT,2025,11,46,88,2.06780506921127
NT,2025,11,47,88,0.00047349073706547253
NT,2025,11,48,88,0.00046966302155266383
NT,2025,11,49,88,0.00046966302155266383
NT,2025,11,50,88,0.0004681406649888036
NT,2025,11,51,88,0.0004681406649888036
NT,2025,11,52,88,0.0004681406649888036
NT,2025,11,53,88,0.0004282302805565015
NT,2025,11,54,88,0.0004282302805565015
NT,2025,11,55,88,0.0004282302805564057
NT,2025,11,56,88,0.0004282302805565015
NT,2025,11,57,88,0.0004683736126630454
NT,2025,11,58,88,0.0004652819992462387
NT,2025,11,59,88,0.0004615587454968088
NT,2025,11,60,88,0.00042227506946542804
NT,2025,11,61,88,0.0004222732396394371
NT,2025,11,62,88,0.00042227506946542804
NT,2025,11,63,88,0.00042339073656444566
NT,2025,11,64,88,0.0004260040855635578
NT,2025,11,65,88,0.0004282302805565015
NT,2025,11,66,88,0.0004062888982303291
NT,2025,11,67,88,0.00030906152324611626
NT,2025,11,68,88,0.00030906152324611626
NT,2025,11,69,88,0.00030906152324611626
NT,2025,11,70,88,0.00036219230007714223
NT,2025,11,71,88,0.0004062888982303291
NT,2025,11,72,88,0.00042743288294686845
NT,2025,11,73,88,0.00042740957467633713
NT,2025,11,74,88,0.00042740957467633713
NT,2025,11,75,88,0.00042740957467633713
NT,2025,11,76,88,0.0004062888982303291
NT,2025,11,77,88,0.00036219230007714223
NT,2025,11,78,88,0.00025820661658701184
NT,2025,11,79,88,0.00025953102008325853
NT,2025,11,80,88,0.00025820661658701184
NT,2025,11,81,88,0.00041783138046320355
NT,2025,11,82,88,0.0004222732396394371
NT,2025,11,83,88,0.0004222732396394371
NT,2025,11,84,88,0.0004222732396394371
NT,2025,11,85,88,0.0004222732396394371
NT,2025,11,86,88,0.0004222732396394371
NT,2025,11,87,88,0.00042339073656444566
NT,2025,11,88,88,0.00042740957467633924
NT,2025,11,89,88,0.00025820661658701184
NT,2025,11,90,88,1.5929439045820875
NT,2025,11,91,88,1.3317373115276507
NT,2025,11,92,88,1.3317373115276507
NT,2025,11,93,88,1.5990291807228794
NT,2025,11,94,88,1.5929439045820875
NT,2025,11,95,88,1.5929439045820875
NT,2025,11,96,88,1.5929439045820875
NT,2025,11,97,88,1.1157219154073124
NT,2025,11,98,88,1.1157219154073124
NT,2025,11,99,88,1.1157219154073124
NT,2025,11,100,88,1.5929439045820875
NT,2025,11,101,88,1.845807612565614
NT,2025,11,102,88,1.6056202949547447
NT,2025,11,103,88,1.6088990738218492
NT,2025,11,104,88,1.845807612565614
NT,2025,11,105,88,1.8683301834617114
NT,2025,11,106,88,0.00042743288294686845
NT,2025,11,107,88,0.00042743288294686845
NT,2025,11,108,88,0.0004683736126630454
NT,2025,11,109,88,0.0004683736126630454
NT,2025,11,110,88,0.00042743288294686845
NT,2025,11,111,88,2.06780506921127
NT,2025,11,112,88,2.0805684479092235
NT,2025,11,113,88,0.0
NT,2025,11,114,88,0.0
NT,2025,11,115,88,0.0
NT,2025,11,116,88,0.0
NT,2025,11,117,88,0.0
NT,2025,11,118,88,0.0
NT,2025,11,119,88,1.0674837407190676
NT,2025,11,120,88,1.8622792653840505
NT,2025,11,121,88,2.0805684479092235
NT,2025,11,122,88,2.074935655514151
NT,2025,11,123,88,2.074935655514151
NT,2025,11,124,88,2.06780506921127
NT,2025,11,125,88,2.06780506921127
NT,2025,11,126,88,2.06780506921127
NT,2025,11,127,88,2.06780506921127
NT,2025,11,128,88,2.06780506921127
NT,2025,11,129,88,0.000474108908892407
NT,2025,11,130,88,0.000474108908892407
NT,2025,11,131,88,0.00046966302155266383
NT,2025,11,132,88,0.00046966302155266383
NT,2025,11,133,88,0.00046966302155266383
NT,2025,11,134,88,0.00046966302155266383
NT,2025,11,135,88,0.00046966302155266383
NT,2025,11,136,88,0.000474108908892407
NT,2025,11,137,88,1.8870573794279413
NT,2025,11,138,88,2.074935655514151
NT,2025,11,139,88,2.0805684479092235
NT,2025,11,140,88,2.0805684479092235
NT,2025,11,141,88,2.0805684479092235
NT,2025,11,142,88,2.0805684479092235
NT,2025,11,143,88,2.074935655514151
NT,2025,11,144,88,2.074935655514151
