year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,60900.664000000004,4012.771044867954,11,1,397375604.74658424,45250266.52971204,9050053.305942409,1763802270.7675042,1448008528.9507854,3211810799.7182894,3609186404.464874
2025,coal,9478.786965467825,0.0,5,0,0.0,49998.17508728133,16999.37952967565,1409797.027839857,2719900.7247481043,4129697.752587961,4129697.752587961
2025,offwind-ac,27469.304443667334,8529.536860981638,9,3,1572271278.285273,40221384.67441611,0.0,603320.7701162416,0.0,603320.7701162416,1572874599.0553894
2025,onwind,64079.00668944659,36066.05257717692,11,6,3465438689.2528386,100625606.06846088,0.0,1509384.0910269113,0.0,1509384.0910269113,3466948073.3438654
2025,ror,5571.016495,5277.0,4,2,1578562966.9515445,37397835.33564296,0.0,0.0,0.0,0.0,1578562966.9515445
2025,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,51520209.50654163,0.0,515202.0950654163,0.0,515202.0950654163,905307613.0053031
2030,CCGT,60900.664000000004,0.0,11,0,0.0,30697527.52223032,6139505.504446065,1198464006.555997,982320880.7113703,2180784887.2673674,2180784887.2673674
2030,coal,9478.786965467825,0.0,5,0,0.0,117700.54931763525,40018.18676799599,3318798.822426049,6402909.882879358,9721708.705305407,9721708.705305407
2030,offwind-ac,27469.304443667334,3638.1836979588734,9,1,669562313.0876268,39887253.43758049,0.0,598308.8015637073,0.0,598308.8015637073,670160621.8891906
2030,onwind,64079.00668944659,16021.999254519476,11,2,1539488026.2257419,104313704.64986038,0.0,1564705.569747903,0.0,1564705.569747903,1541052731.7954898
2030,ror,5571.016495,930.1754769245792,4,2,278252901.390872,41739083.1445817,0.0,0.0,0.0,0.0,278252901.390872
2030,solar,25414.038546077332,23418.754584514765,11,10,833756169.1590668,78389730.19998871,0.0,783897.3019998871,0.0,783897.3019998871,834540066.4610667
2040,CCGT,60900.664000000004,0.0,11,0,0.0,42220992.10546472,8444198.421092942,1656547274.9029803,1351071747.374871,3007619022.277851,3007619022.277851
2040,coal,9478.786965467825,0.0,5,0,0.0,766345.0913177643,260557.3310480399,21608609.317308474,41689172.96768638,63297782.284994856,63297782.284994856
2040,offwind-ac,27469.304443667334,91.7070785930582,9,1,16877543.51263957,44390260.4501489,0.0,665853.9067522336,0.0,665853.9067522336,17543397.419391803
2040,onwind,64079.00668944659,7666.034391617716,11,1,736597722.1101904,130603844.58404072,0.0,1959057.6687606068,0.0,1959057.6687606068,738556779.778951
2040,ror,5571.016495,0.0,4,0,0.0,41739083.1445817,0.0,0.0,0.0,0.0,0.0
2040,solar,25414.038546077332,8564.330347960748,11,3,304907899.20357513,92284406.16809106,0.0,922844.0616809105,0.0,922844.0616809105,305830743.26525605
2050,CCGT,60900.664000000004,0.0,11,0,0.0,48577035.92047563,9715407.184095126,1907951635.5480251,1554465149.4552202,3462416785.003245,3462416785.003245
2050,coal,9478.786965467825,0.0,5,0,0.0,938483.764288947,319084.47985824203,26462398.26275349,51053516.77731872,77515915.04007222,77515915.04007222
2050,offwind-ac,27469.304443667334,0.0,9,0,0.0,47365598.43297773,0.0,710483.976494666,0.0,710483.976494666,710483.976494666
2050,onwind,64079.00668944659,0.0,11,0,0.0,141611246.98284796,0.0,2124168.7047427148,0.0,2124168.7047427148,2124168.7047427148
2050,ror,5571.016495,0.0,4,0,0.0,41739083.1445817,0.0,0.0,0.0,0.0,0.0
2050,solar,25414.038546077332,0.0,11,0,0.0,94628091.2383726,0.0,946280.912383726,0.0,946280.912383726,946280.912383726
