,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,75.896,139.427,90,73.17073170731707,0.17393320964749537
22,1473.553,1537.083,9,7.317073170731707,0.017393320964749534
98,6301.821,6365.351,8,6.504065040650407,0.015460729746444033
97,6238.291,6301.821,7,5.691056910569105,0.013528138528138528
96,6174.761,6238.291,3,2.4390243902439024,0.0057977736549165125
21,1410.023,1473.553,2,1.6260162601626018,0.003865182436611008
95,6111.231,6174.761,2,1.6260162601626018,0.003865182436611008
99,6365.351,6428.88,2,1.6260162601626018,0.003865182436611008
8,584.135,647.665,0,0.0,0.0
66,4268.866,4332.396,0,0.0,0.0
