year,branch,value
2025,88,5000.0
2030,88,5000.0
2040,88,5000.0
2050,88,5000.0
2025,89,3959.463029219485
2030,89,5000.0
2040,89,5000.0
2050,89,911.3729480600068
2025,90,4689.61301335071
2030,90,3865.278332501199
2040,90,0.0
2050,90,0.0
2025,91,5000.0
2030,91,5000.0
2040,91,1790.9325388469406
2050,91,0.0
2025,92,3227.710378444297
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,5000.0
2030,93,5000.0
2040,93,5000.0
2050,93,5000.0
2025,95,5000.0
2030,95,5000.0
2040,95,5000.0
2050,95,5000.0
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,5000.0
2030,99,5000.0
2040,99,5000.0
2050,99,5000.0
2025,100,4559.414771403312
2030,100,0.0
2040,100,0.0
2050,100,0.0
2025,101,5000.0
2030,101,5000.0
2040,101,5000.0
2050,101,5000.0
2025,102,5000.0
2030,102,5000.0
2040,102,5000.0
2050,102,0.0
2025,103,5000.0
2030,103,2987.936684026369
2040,103,0.0
2050,103,0.0
2025,104,5000.0
2030,104,5000.0
2040,104,5000.0
2050,104,5000.0
2025,105,2164.8138487462525
2030,105,1772.8871695238186
2040,105,40.308296138827245
2050,105,0.0
2025,106,5000.0
2030,106,5000.0
2040,106,5000.0
2050,106,5000.0
2025,107,5000.0
2030,107,5000.0
2040,107,5000.0
2050,107,1248.731253383392
2025,219,4924.225501681436
2030,219,0.0
2040,219,0.0
2050,219,0.0
