line,scenario,year,utilization_rate,congestion_rate
88,DE,2040,0.9645259377528981,0.7946428571428572
88,DE,2050,0.9643303068668535,0.7767857142857144
88,GA,2040,0.9692885874089717,0.8273809523809524
88,GA,2050,0.9620713248836841,0.787202380952381
88,NT,2025,0.9822968407317311,0.875
88,NT,2030,0.9642136143995522,0.7961309523809524
88,NT,2040,0.9615188341277059,0.7991071428571429
89,DE,2040,0.8699919510839148,0.4017857142857143
89,DE,2050,0.8608748885067306,0.40625
89,GA,2040,0.8803260440512559,0.39285714285714285
89,GA,2050,0.8709621868904265,0.3913690476190476
89,NT,2025,0.8986931912167938,0.36904761904761907
89,NT,2030,0.8944636050897521,0.3943452380952381
89,NT,2040,0.8725971426181852,0.40029761904761907
90,DE,2040,0.507139488757444,0.06696428571428571
90,DE,2050,0.5330133442778188,0.0892857142857143
90,GA,2040,0.46835637619877923,0.050595238095238096
90,GA,2050,0.48416050969915025,0.05952380952380953
90,NT,2025,0.3939109304396468,0.03571428571428572
90,NT,2030,0.4221621633475466,0.04761904761904762
90,NT,2040,0.4963736163999321,0.0625
91,DE,2040,0.9792490898398347,0.8660714285714286
91,DE,2050,0.9809056796456576,0.8898809523809524
91,GA,2040,0.9765781960038034,0.8705357142857144
91,GA,2050,0.9819873485567611,0.880952380952381
91,NT,2025,0.9790921496978625,0.8958333333333335
91,NT,2030,0.977596412314997,0.8854166666666666
91,NT,2040,0.9795380586153021,0.8690476190476191
92,DE,2040,0.8900874094561968,0.7961309523809524
92,DE,2050,0.9035788675158669,0.8169642857142857
92,GA,2040,0.8854061200012929,0.7693452380952381
92,GA,2050,0.903362333482599,0.8080357142857144
92,NT,2025,0.8025851527741175,0.6473214285714286
92,NT,2030,0.8757680688280811,0.7574404761904762
92,NT,2040,0.8841250197392728,0.787202380952381
93,DE,2040,1.0,1.0
93,DE,2050,1.0,1.0
93,GA,2040,1.0,1.0
93,GA,2050,1.0,1.0
93,NT,2025,1.0,1.0
93,NT,2030,1.0,1.0
93,NT,2040,1.0,1.0
95,DE,2040,0.9731936416828595,0.9508928571428572
95,DE,2050,0.9665265023802915,0.9449404761904763
95,GA,2040,0.9802503562904739,0.96875
95,GA,2050,0.978577297015291,0.9583333333333334
95,NT,2025,0.9933058372201925,0.9791666666666666
95,NT,2030,0.9784287276688874,0.9672619047619048
95,NT,2040,0.9757915481483027,0.955357142857143
96,DE,2040,0.2253902718220808,0.0
96,DE,2050,0.23611932394979745,0.0
96,GA,2040,0.2140334275641058,0.0
96,GA,2050,0.2308581762103876,0.0
96,NT,2025,0.24586617581805106,0.0
96,NT,2030,0.2157816759584866,0.0
96,NT,2040,0.22629192810333873,0.0
97,DE,2040,0.1590416294294147,0.0
97,DE,2050,0.1660297683173766,0.0
97,GA,2040,0.1543357504615855,0.0
97,GA,2050,0.16518260308346572,0.0
97,NT,2025,0.11861734868001245,0.0
97,NT,2030,0.1369703767018525,0.0
97,NT,2040,0.15849630702855114,0.0
99,DE,2040,0.9999873776204316,1.0
99,DE,2050,0.999948501153871,1.0
99,GA,2040,1.0000000000000002,1.0
99,GA,2050,0.9999444291069414,1.0
99,NT,2025,1.0000000000000002,1.0
99,NT,2030,1.0000000000000002,1.0
99,NT,2040,0.9999636296188547,1.0
100,DE,2040,0.2709447104670048,0.0
100,DE,2050,0.27195811434690215,0.0
100,GA,2040,0.26884990343629805,0.0
100,GA,2050,0.265149885919715,0.0
100,NT,2025,0.21776649382046992,0.0
100,NT,2030,0.24572246928880007,0.0
100,NT,2040,0.27141894467672906,0.0
101,DE,2040,0.8051042754902926,0.625
101,DE,2050,0.7947819671398165,0.625
101,GA,2040,0.8174431215651903,0.6696428571428572
101,GA,2050,0.8177743617913663,0.662202380952381
101,NT,2025,0.8053676641148474,0.625
101,NT,2030,0.8282633594975608,0.6815476190476191
101,NT,2040,0.8097500258721901,0.6443452380952381
102,DE,2040,0.5162419483102645,0.13839285714285715
102,DE,2050,0.5123765875330566,0.1279761904761905
102,GA,2040,0.5167231953311009,0.1488095238095238
102,GA,2050,0.5097205804362362,0.12202380952380953
102,NT,2025,0.39321741962621987,0.004464285714285715
102,NT,2030,0.48013340801010074,0.09375
102,NT,2040,0.5180093491652102,0.13988095238095238
103,DE,2040,0.776366220313897,0.6145833333333334
103,DE,2050,0.7832824941019764,0.625
103,GA,2040,0.7908038871778135,0.6071428571428571
103,GA,2050,0.7741729693171028,0.5922619047619048
103,NT,2025,0.8020999538747248,0.5982142857142857
103,NT,2030,0.7841285003471842,0.5907738095238095
103,NT,2040,0.7769005203245641,0.5967261904761905
104,DE,2040,0.7950053450067761,0.5178571428571429
104,DE,2050,0.7815625464227014,0.511904761904762
104,GA,2040,0.8249897925247159,0.5654761904761905
104,GA,2050,0.8037057683381917,0.5386904761904762
104,NT,2025,0.9088308536326617,0.6979166666666666
104,NT,2030,0.8579833050460169,0.5639880952380952
104,NT,2040,0.80012043112747,0.511904761904762
105,DE,2040,0.5474101213216214,0.013392857142857144
105,DE,2050,0.5639504835223885,0.03869047619047619
105,GA,2040,0.519221945206773,0.011904761904761906
105,GA,2050,0.5394527950466124,0.02380952380952381
105,NT,2025,0.4995039391307455,0.0
105,NT,2030,0.5167750462005425,0.0029761904761904765
105,NT,2040,0.542541716240026,0.01636904761904762
106,DE,2040,0.9938272790521587,0.9732142857142857
