dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,164,0.3169449598021027
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,408,0.7884972170686457
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,89376,10846,12.135248836376656
branch_flow_new_duals_min,89376,35108,39.281238811314
branch_flow_old_duals_max,89376,10782,12.063641245972073
branch_flow_old_duals_min,89376,33755,37.767409595417114
emissions_duals,7,7,100.0
gen_extension_duals,204,42,20.588235294117645
gen_output_new_duals,239904,138666,57.80062024809924
gen_output_old_duals,239904,138560,57.756435907696414
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
