,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,87.452,5378,43.82690897237389,10.393475572047
1,87.452,112.732,3898,31.765952245130798,7.533240568954855
2,112.732,138.012,2775,22.6142938635808,5.362940630797774
3,138.012,163.292,99,0.8067802135115312,0.1913265306122449
4,163.292,188.572,44,0.3585689837829028,0.08503401360544217
68,1781.21,1806.49,16,0.130388721375601,0.030921459492888066
67,1755.93,1781.21,16,0.130388721375601,0.030921459492888066
98,2539.61,2564.889,11,0.0896422459457257,0.021258503401360544
97,2514.33,2539.61,9,0.07334365577377557,0.017393320964749534
66,1730.65,1755.93,8,0.0651943606878005,0.015460729746444033
