scenario,year,week,hour,branch,dual_value
mean,2025,11,0,88,0.0
mean,2025,11,1,88,0.00042227506946542804
mean,2025,11,2,88,0.00042221063959074507
mean,2025,11,3,88,0.00042221063959074507
mean,2025,11,4,88,0.00042227506946542804
mean,2025,11,5,88,0.00042227506946542804
mean,2025,11,6,88,0.00042342269302990615
mean,2025,11,7,88,0.0004260040855635578
mean,2025,11,8,88,0.00042227506946542804
mean,2025,11,9,88,0.00042221063959074507
mean,2025,11,10,88,0.0004222732396394371
mean,2025,11,11,88,0.0004222732396394371
mean,2025,11,12,88,0.0004222732396394371
mean,2025,11,13,88,0.00045108903878001366
mean,2025,11,14,88,0.00042227506946542804
mean,2025,11,15,88,0.0004222732396394371
mean,2025,11,16,88,0.00042227506946542804
mean,2025,11,17,88,0.0004615587454968088
mean,2025,11,18,88,0.00046532079376308485
mean,2025,11,19,88,0.000466807961027705
mean,2025,11,20,88,0.0004260040855635578
mean,2025,11,21,88,0.0004260040855635578
mean,2025,11,22,88,0.0004653983925009361
mean,2025,11,23,88,0.00042339073656444566
mean,2025,11,24,88,0.00042227506946542804
mean,2025,11,25,88,0.00042353232554764023
mean,2025,11,26,88,0.00042353232554764023
mean,2025,11,27,88,0.00041783138046320355
mean,2025,11,28,88,0.00041783138046320355
mean,2025,11,29,88,0.00041783138046320355
mean,2025,11,30,88,0.00042740957467633713
mean,2025,11,31,88,0.00042743288294686845
mean,2025,11,32,88,0.00042740957467633713
mean,2025,11,33,88,0.0004262429772020118
mean,2025,11,34,88,0.00042740957467633713
mean,2025,11,35,88,0.0004262429772020118
mean,2025,11,36,88,0.0004681406649888036
mean,2025,11,37,88,0.0004681406649888036
mean,2025,11,38,88,0.00046838109497172094
mean,2025,11,39,88,0.00046966302155266383
mean,2025,11,40,88,0.00046966302155266383
mean,2025,11,41,88,0.0004703677815199358
mean,2025,11,42,88,0.0004933545315551615
mean,2025,11,43,88,0.0005703569552707497
mean,2025,11,44,88,0.0004933545315551615
mean,2025,11,45,88,0.00047349073706547253
mean,2025,11,46,88,0.00046966302155266383
mean,2025,11,47,88,0.00046838109497172094
mean,2025,11,48,88,0.000466807961027705
mean,2025,11,49,88,0.0004240055913813302
mean,2025,11,50,88,0.00042402326748874544
mean,2025,11,51,88,0.0004240409443330558
mean,2025,11,52,88,0.00042405862191428477
mean,2025,11,53,88,0.00042407630023245577
mean,2025,11,54,88,0.000466807961027705
mean,2025,11,55,88,0.0004262429772020118
mean,2025,11,56,88,0.0004241293396089849
mean,2025,11,57,88,0.0004222732396394371
mean,2025,11,58,88,0.0004222732396394371
mean,2025,11,59,88,0.00042341506028379094
mean,2025,11,60,88,0.00042281286248959234
mean,2025,11,61,88,0.0004222750694654259
mean,2025,11,62,88,0.00042229267343018396
mean,2025,11,63,88,0.0004223102781288244
mean,2025,11,64,88,0.00042232788356137485
mean,2025,11,65,88,0.00042339073656444566
mean,2025,11,66,88,0.00041783138046320355
mean,2025,11,67,88,0.00041783138046320355
mean,2025,11,68,88,0.00041783138046320355
mean,2025,11,69,88,0.00041783138046320355
mean,2025,11,70,88,0.00035957973360470493
mean,2025,11,71,88,0.00035876712070066454
mean,2025,11,72,88,0.0004224687534462576
mean,2025,11,73,88,0.00042248636548538666
mean,2025,11,74,88,0.0004225039782587367
mean,2025,11,75,88,0.00042252159176632884
mean,2025,11,76,88,0.00042339073656444566
mean,2025,11,77,88,0.00035957973360470493
mean,2025,11,78,88,0.0003779209960309015
mean,2025,11,79,88,0.00025875223872051623
mean,2025,11,80,88,0.0003258129320139046
mean,2025,11,81,88,0.00042262728823282456
mean,2025,11,82,88,0.0004226449068810106
mean,2025,11,83,88,0.0004226625262636944
mean,2025,11,84,88,0.00042268014638089925
mean,2025,11,85,88,0.00042269776723265933
mean,2025,11,86,88,0.0004227153888190065
mean,2025,11,87,88,0.00042273301113996423
mean,2025,11,88,88,0.00041783138046320355
mean,2025,11,89,88,0.00042740957467633713
mean,2025,11,90,88,0.00025837825454899107
mean,2025,11,91,88,0.0002788768609212535
mean,2025,11,92,88,0.0002788884868465974
mean,2025,11,93,88,0.00025837825454899107
mean,2025,11,94,88,0.00025837825454899107
mean,2025,11,95,88,0.00025820661658701184
mean,2025,11,96,88,0.00025820661658701184
mean,2025,11,97,88,0.00025820661658701184
mean,2025,11,98,88,0.00025943985714670364
mean,2025,11,99,88,0.00025820661658701184
mean,2025,11,100,88,0.00025820661658701184
mean,2025,11,101,88,0.00027899314198707136
mean,2025,11,102,88,0.0003357883596220738
mean,2025,11,103,88,0.00033580235809576274
mean,2025,11,104,88,0.0003358163571530256
mean,2025,11,105,88,0.00030906152324611626
mean,2025,11,106,88,0.00030967603640820625
mean,2025,11,107,88,0.0003096889463013662
mean,2025,11,108,88,0.00043091089125529055
mean,2025,11,109,88,0.0004309288552334936
mean,2025,11,110,88,0.00043094681996058335
mean,2025,11,111,88,62.67497069378421
mean,2025,11,112,88,63.17311970187922
mean,2025,11,113,88,63.17575328707832
mean,2025,11,114,88,63.178386982066925
mean,2025,11,115,88,63.181020786850596
mean,2025,11,116,88,63.183654701433255
mean,2025,11,117,88,63.18628872581909
mean,2025,11,118,88,63.188922860013946
mean,2025,11,119,88,69.24422306154857
mean,2025,11,120,88,69.24710974122858
mean,2025,11,121,88,68.89969621573017
mean,2025,11,122,88,0.000474108908892407
mean,2025,11,123,88,0.00047349073706547253
mean,2025,11,124,88,0.00047349073706547253
mean,2025,11,125,88,0.00047349073706547253
mean,2025,11,126,88,0.00047349073706547253
mean,2025,11,127,88,0.00047349073706547253
mean,2025,11,128,88,0.00047349073706547253
mean,2025,11,129,88,0.00046966302155266383
mean,2025,11,130,88,0.00046966302155266383
mean,2025,11,131,88,0.00046966302155266383
mean,2025,11,132,88,0.00046960428797420854
mean,2025,11,133,88,0.00046962386501753776
mean,2025,11,134,88,0.0004696434428770172
mean,2025,11,135,88,0.00046966302155265955
mean,2025,11,136,88,0.0004696826010445096
mean,2025,11,137,88,0.00047349073706547253
mean,2025,11,138,88,0.000474108908892407
mean,2025,11,139,88,0.000509435543061905
mean,2025,11,140,88,0.0005094567806058514
mean,2025,11,141,88,0.0005094780190351595
mean,2025,11,142,88,0.0005094992583498655
mean,2025,11,143,88,0.0005095204985500016
mean,2025,11,144,88,0.000474108908892407
mean,2025,11,145,88,0.00047349073706547253
mean,2025,11,146,88,0.00047349073706547253
mean,2025,11,147,88,0.000474108908892407
mean,2025,11,148,88,0.000474108908892407
mean,2025,11,149,88,0.0005096479583469754
mean,2025,11,150,88,0.00047349073706547253
mean,2025,11,151,88,0.00047349073706547253
mean,2025,11,152,88,0.00047349073706547253
mean,2025,11,153,88,0.000474108908892407
mean,2025,11,154,88,0.000474108908892407
mean,2025,11,155,88,0.0004681406649888036
mean,2025,11,156,88,0.0004262429772020118
mean,2025,11,157,88,0.0004262429772020118
mean,2025,11,158,88,0.00042353232554764023
mean,2025,11,159,88,0.0004260040855635578
mean,2025,11,160,88,0.0004262429772020118
mean,2025,11,161,88,0.00046838109497172094
mean,2025,11,162,88,0.00046966302155266383
mean,2025,11,163,88,0.00046966302155266383
mean,2025,11,164,88,0.00046966302155266383
mean,2025,11,165,88,0.00046966302155266383
mean,2025,11,166,88,0.0004681406649888036
mean,2025,11,167,88,0.0004262429772020118
mean,2025,21,0,88,0.0
mean,2025,21,1,88,180.65561175386003
mean,2025,21,2,88,180.65561175386003
mean,2025,21,3,88,180.65561175386003
mean,2025,21,4,88,180.71602602882314
mean,2025,21,5,88,178.28350298837836
mean,2025,21,6,88,161.31169995780783
mean,2025,21,7,88,180.93671994631637
mean,2025,21,8,88,180.57957397321164
mean,2025,21,9,88,197.87599599701494
mean,2025,21,10,88,180.57957397321164
mean,2025,21,11,88,185.2566741945093
mean,2025,21,12,88,197.87599599701494
mean,2025,21,13,88,196.43552378389555
mean,2025,21,14,88,196.43552378389555
mean,2025,21,15,88,196.43552378389555
mean,2025,21,16,88,197.87599599701494
mean,2025,21,17,88,180.65561175386003
mean,2025,21,18,88,180.67031050187052
mean,2025,21,19,88,180.67031050187052
mean,2025,21,20,88,180.67031050187052
mean,2025,21,21,88,180.67031050187052
mean,2025,21,22,88,180.65561175386003
mean,2025,21,23,88,180.65561175386003
mean,2025,21,24,88,180.57957397321164
mean,2025,21,25,88,197.87599599701494
mean,2025,21,26,88,197.87599599701494
mean,2025,21,27,88,194.26407002750943
mean,2025,21,28,88,180.65561175386003
mean,2025,21,29,88,180.65561175386003
mean,2025,21,30,88,180.71602602882314
mean,2025,21,31,88,180.65561175386003
mean,2025,21,32,88,180.57957397321164
mean,2025,21,33,88,196.43552378389555
mean,2025,21,34,88,196.43552378389555
mean,2025,21,35,88,178.76311274036294
mean,2025,21,36,88,177.96909607484304
mean,2025,21,37,88,176.5689766311766
mean,2025,21,38,88,164.7312077911639
mean,2025,21,39,88,164.73807516881942
mean,2025,21,40,88,164.74494283276414
mean,2025,21,41,88,164.75181078301145
mean,2025,21,42,88,181.04662038503685
mean,2025,21,43,88,178.68860637390145
mean,2025,21,44,88,178.69605561292965
mean,2025,21,45,88,178.70350516250673
mean,2025,21,46,88,178.71095502264382
mean,2025,21,47,88,178.7184051933577
mean,2025,21,48,88,150.7736174179973
mean,2025,21,49,88,150.77990292628064
mean,2025,21,50,88,150.786188696598
mean,2025,21,51,88,150.79247472895824
mean,2025,21,52,88,150.79876102337482
mean,2025,21,53,88,150.8050475798544
mean,2025,21,54,88,150.8050475798544
mean,2025,21,55,88,106.75303772125658
mean,2025,21,56,88,0.00025820661658701184
mean,2025,21,57,88,0.00042743288294686845
mean,2025,21,58,88,0.0004681406649888036
mean,2025,21,59,88,0.00042672478936447555
mean,2025,21,60,88,0.00042611797667839305
mean,2025,21,61,88,0.00042551113869536796
mean,2025,21,62,88,0.00042552887756661383
mean,2025,21,63,88,0.0004262429772020118
mean,2025,21,64,88,0.00042740957467633924
mean,2025,21,65,88,0.0004282302805564057
mean,2025,21,66,88,0.0004282302805564057
mean,2025,21,67,88,0.00042743288294686845
mean,2025,21,68,88,0.0004282302805564057
mean,2025,21,69,88,0.0004282302805565015
mean,2025,21,70,88,0.0004282302805565015
mean,2025,21,71,88,0.0004282302805564057
mean,2025,21,72,88,0.00042743288294686845
mean,2025,21,73,88,0.00042743288294686845
mean,2025,21,74,88,0.00042743288294686845
mean,2025,21,75,88,0.00042743288294686845
mean,2025,21,76,88,0.00036219230007714223
mean,2025,21,77,88,0.00036662739222745447
mean,2025,21,78,88,0.00046179493808604365
mean,2025,21,79,88,0.00036662739222745447
mean,2025,21,80,88,0.00042743288294686845
mean,2025,21,81,88,0.00042743288294686845
mean,2025,21,82,88,0.0004679864210828457
mean,2025,21,83,88,0.0004259015647359904
mean,2025,21,84,88,0.0004259193198834724
mean,2025,21,85,88,0.00042593707577113696
mean,2025,21,86,88,0.000425954832399014
mean,2025,21,87,88,0.00042597258976713757
mean,2025,21,88,88,0.00042740957467633713
mean,2025,21,89,88,0.0004282302805565015
mean,2025,21,90,88,0.0004282302805564057
mean,2025,21,91,88,0.00042743288294686845
mean,2025,21,92,88,0.00042743288294686845
mean,2025,21,93,88,0.00042743288294686845
mean,2025,21,94,88,0.00043089292802594455
mean,2025,21,95,88,0.00042743288294686845
mean,2025,21,96,88,0.00042743288294686845
mean,2025,21,97,88,0.00042743288294686845
mean,2025,21,98,88,0.00042743288294686845
