year,battery,value
2025,ES1 0 bat,0.0
2030,ES1 0 bat,3627.809100367831
2040,ES1 0 bat,0.0
2050,ES1 0 bat,0.0
2025,ES1 1 bat,0.0
2030,ES1 1 bat,0.0
2040,ES1 1 bat,0.0
2050,ES1 1 bat,0.0
2025,ES1 2 bat,0.0
2030,ES1 2 bat,0.0
2040,ES1 2 bat,0.0
2050,ES1 2 bat,0.0
2025,ES1 3 bat,0.0
2030,ES1 3 bat,0.0
2040,ES1 3 bat,0.0
2050,ES1 3 bat,0.0
2025,ES1 4 bat,0.0
2030,ES1 4 bat,0.0
2040,ES1 4 bat,0.0
2050,ES1 4 bat,0.0
2025,ES1 5 bat,0.0
2030,ES1 5 bat,0.0
2040,ES1 5 bat,0.0
2050,ES1 5 bat,0.0
2025,ES1 6 bat,78159.8539202891
2030,ES1 6 bat,868.6439050946234
2040,ES1 6 bat,0.0
2050,ES1 6 bat,1612.3988050741018
2025,ES1 7 bat,28143.641215870382
2030,ES1 7 bat,17247.86113753282
2040,ES1 7 bat,0.0
2050,ES1 7 bat,3929.0007840497624
2025,ES1 8 bat,0.0
2030,ES1 8 bat,0.0
2040,ES1 8 bat,0.0
2050,ES1 8 bat,0.0
2025,PT1 0 bat,0.0
2030,PT1 0 bat,0.0
2040,PT1 0 bat,0.0
2050,PT1 0 bat,0.0
2025,PT1 1 bat,101353.95061565071
2030,PT1 1 bat,949.5983522649293
2040,PT1 1 bat,17783.738579327714
2050,PT1 1 bat,22547.251642646366
