dual,year,scenario,total_duals,nonzero_duals,percent_nonzero,average_dual
battery_charge_new_max_duals,2025,NT,7392,32,0.4329004329004329,-4.2200302963928144e-08
battery_charge_new_max_duals,2030,NT,7392,52,0.7034632034632035,-0.025095952628361836
battery_charge_new_max_duals,2040,DE,7392,70,0.946969696969697,-2.6306765982681623e-05
battery_charge_new_max_duals,2040,GA,7392,55,0.744047619047619,-1.884921706279612e-05
battery_charge_new_max_duals,2040,NT,7392,67,0.9063852813852814,-0.013823105348765146
battery_charge_new_max_duals,2050,DE,7392,27,0.36525974025974023,-0.00019018870481663088
battery_charge_new_max_duals,2050,GA,7392,12,0.16233766233766234,-3.0155550746607376e-06
battery_discharge_new_max_duals,2025,NT,7392,5,0.06764069264069264,-7.17326663913891e-16
battery_discharge_new_max_duals,2030,NT,7392,46,0.6222943722943723,-0.00027834174545641343
battery_discharge_new_max_duals,2040,DE,7392,20,0.27056277056277056,-1.707390281801078e-06
battery_discharge_new_max_duals,2040,GA,7392,32,0.4329004329004329,-1.8480936842063313e-05
battery_discharge_new_max_duals,2040,NT,7392,31,0.4193722943722944,-7.463871177797743e-07
battery_discharge_new_max_duals,2050,DE,7392,22,0.2976190476190476,-0.01931738902455344
battery_discharge_new_max_duals,2050,GA,7392,13,0.17586580086580086,-2.54297999127886e-06
branch_extension_duals,2025,All,19,10,52.63157894736842,-69212.09986816149
branch_extension_duals,2030,All,19,2,10.526315789473683,-1208.6751431602738
branch_extension_duals,2040,All,19,0,0.0,0.0
branch_extension_duals,2050,All,19,0,0.0,0.0
branch_flow_new_duals_max,2025,NT,12768,1358,10.635964912280702,-1.7106375373106129
branch_flow_new_duals_max,2030,NT,12768,1548,12.12406015037594,-0.14914857594714756
branch_flow_new_duals_max,2040,DE,12768,1518,11.889097744360901,-0.01598299523154277
branch_flow_new_duals_max,2040,GA,12768,1567,12.272869674185463,-0.2706370176611692
branch_flow_new_duals_max,2040,NT,12768,1519,11.896929824561402,-0.013738652628780223
branch_flow_new_duals_max,2050,DE,12768,1502,11.763784461152882,-0.021419224843342133
branch_flow_new_duals_max,2050,GA,12768,1525,11.943922305764412,-0.37246043823591746
branch_flow_new_duals_min,2025,NT,12768,4975,38.96459899749373,6.771472161857592
branch_flow_new_duals_min,2030,NT,12768,5058,39.61466165413533,0.39577711780428837
branch_flow_new_duals_min,2040,DE,12768,4970,38.92543859649123,0.03614629181786701
branch_flow_new_duals_min,2040,GA,12768,5157,40.390037593984964,0.6921095209378306
branch_flow_new_duals_min,2040,NT,12768,4987,39.05858395989975,0.031200206176730576
branch_flow_new_duals_min,2050,DE,12768,4953,38.79229323308271,0.047140111450762426
branch_flow_new_duals_min,2050,GA,12768,5165,40.45269423558897,0.6673602021530838
branch_flow_old_duals_max,2025,NT,12768,1351,10.581140350877192,-1.6118248243589122
branch_flow_old_duals_max,2030,NT,12768,1518,11.889097744360901,-0.14914857599683246
branch_flow_old_duals_max,2040,DE,12768,1492,11.685463659147869,-0.01598299523154277
branch_flow_old_duals_max,2040,GA,12768,1526,11.951754385964913,-0.15882449704101018
branch_flow_old_duals_max,2040,NT,12768,1495,11.708959899749374,-0.013738652643686653
branch_flow_old_duals_max,2050,DE,12768,1479,11.583646616541353,-0.021419224853279083
branch_flow_old_duals_max,2050,GA,12768,1486,11.638471177944862,-0.1354894208348607
branch_flow_old_duals_min,2025,NT,12768,4947,38.7453007518797,6.67265944890589
branch_flow_old_duals_min,2030,NT,12768,4976,38.97243107769424,0.3957771178539728
branch_flow_old_duals_min,2040,DE,12768,4996,39.129072681704265,0.03614629181786701
branch_flow_old_duals_min,2040,GA,12768,5088,39.849624060150376,0.5802970003176711
branch_flow_old_duals_min,2040,NT,12768,5009,39.23088972431078,0.031200206191637013
branch_flow_old_duals_min,2050,DE,12768,4968,38.90977443609023,0.047140111460699394
branch_flow_old_duals_min,2050,GA,12768,5097,39.920112781954884,0.4303891847520268
emissions_duals,2025,NT,1,1,100.0,-31243.33494328564
emissions_duals,2030,NT,1,1,100.0,-3393.1663541251546
emissions_duals,2040,DE,1,0,0.0,0.0
emissions_duals,2040,GA,1,1,100.0,-5438.788778015727
emissions_duals,2040,NT,1,1,100.0,-0.9444606879051063
emissions_duals,2050,DE,1,1,100.0,-8.416123662620748
emissions_duals,2050,GA,1,1,100.0,-3728.2542566560014
gen_extension_duals,2025,All,51,35,68.62745098039215,-1137339.6880900646
gen_extension_duals,2030,All,51,22,43.13725490196079,-33912.468974075644
gen_extension_duals,2040,All,51,8,15.686274509803921,-1780.8022331934349
gen_extension_duals,2050,All,51,0,0.0,0.0
gen_output_new_duals,2025,NT,34272,19135,55.8327497665733,-1083.4927288477438
gen_output_new_duals,2030,NT,34272,15754,45.96755368814192,-72.56197325753013
gen_output_new_duals,2040,DE,34272,16764,48.91456582633053,-9.720960042207704
gen_output_new_duals,2040,GA,34272,15376,44.86461251167134,-95.89418872306739
gen_output_new_duals,2040,NT,34272,16473,48.06547619047619,-11.15509187648818
gen_output_new_duals,2050,DE,34272,17767,51.841153127917835,-10.759291561694676
gen_output_new_duals,2050,GA,34272,16160,47.152194211017736,-73.93948043122286
gen_output_old_duals,2025,NT,34272,19153,55.88527077497666,-1083.4927288477702
gen_output_old_duals,2030,NT,34272,15759,45.982142857142854,-71.85077241349711
gen_output_old_duals,2040,DE,34272,16767,48.92331932773109,-6.71739233623616
gen_output_old_duals,2040,GA,34272,15378,44.87044817927171,-95.31835092108217
gen_output_old_duals,2040,NT,34272,16477,48.07714752567694,-5.80200197980833
gen_output_old_duals,2050,DE,34272,17773,51.85866013071896,-8.79860622926281
gen_output_old_duals,2050,GA,34272,16151,47.125933706816056,-73.18149295764088
load_shedding_duals,2025,NT,7392,56,0.7575757575757576,-0.19369542416985713
load_shedding_duals,2030,NT,7392,0,0.0,0.0
load_shedding_duals,2040,DE,7392,0,0.0,0.0
load_shedding_duals,2040,GA,7392,0,0.0,0.0
load_shedding_duals,2040,NT,7392,0,0.0,0.0
load_shedding_duals,2050,DE,7392,0,0.0,0.0
load_shedding_duals,2050,GA,7392,0,0.0,0.0
power_balance_duals,2025,NT,7392,7348,99.40476190476191,1577.7454271363417
power_balance_duals,2030,NT,7392,7348,99.40476190476191,104.5419595558283
power_balance_duals,2040,DE,7392,7348,99.40476190476191,9.757143639239596
power_balance_duals,2040,GA,7392,7348,99.40476190476191,138.65140282150816
power_balance_duals,2040,NT,7392,7348,99.40476190476191,8.429499771869706
power_balance_duals,2050,DE,7392,7348,99.40476190476191,12.770937484129663
power_balance_duals,2050,GA,7392,7348,99.40476190476191,106.40196181516055
