year,generator,dual_value
2025,ES1 4 offwind-ac,-5596084.570665792
2025,ES1 4 onwind,-3678063.017189816
2025,PT1 0 offwind-ac,-3361100.175835946
2025,ES1 8 ror,-3307328.8857858027
2025,ES1 2 ror,-3273223.236335811
2025,ES1 6 solar,-3152829.7631807392
2025,ES1 5 solar,-3092355.314492854
2025,ES1 2 solar,-3046105.3270942457
2025,ES1 3 solar,-3013862.7525712834
2025,ES1 8 solar,-2998645.815521679
2025,ES1 0 solar,-2988895.769657641
2025,PT1 1 solar,-2850470.2663722206
2025,PT1 1 ror,-2598392.7735808743
2025,PT1 0 ror,-2567830.8613419486
2025,ES1 7 solar,-2525067.339625668
2025,PT1 1 offwind-ac,-2208959.381653146
2025,ES1 2 onwind,-2141184.963541636
2025,ES1 1 solar,-2061817.9556216963
2025,ES1 1 onwind,-2005404.8515624967
2025,PT1 0 solar,-1969605.2095711804
2025,ES1 4 solar,-1905616.9820165036
2025,ES1 1 offwind-ac,-1675629.4870174977
2025,ES1 6 onwind,-1308396.8554478476
2025,ES1 3 offwind-ac,-1225129.0479194054
2025,ES1 7 onwind,-1163355.333905506
2025,ES1 6 offwind-ac,-1158565.1862267572
2025,PT1 1 onwind,-1111366.675579101
2025,PT1 0 onwind,-893647.8288882412
2025,ES1 0 offwind-ac,-879766.1665911013
2025,ES1 2 offwind-ac,-827991.8396890463
2025,ES1 5 onwind,-809022.9863192294
2025,ES1 8 onwind,-798063.6865797681
2025,ES1 0 onwind,-784297.9487357931
2025,ES1 8 offwind-ac,-716838.7688499247
2025,ES1 3 onwind,-496779.5009570288
2030,ES1 6 solar,-1027960.8384940856
2030,ES1 4 offwind-ac,-1010963.5312989248
2030,ES1 0 solar,-1007061.509217142
2030,ES1 8 solar,-983636.0042234524
2030,ES1 2 solar,-975045.4015272792
2030,ES1 5 solar,-972807.3285789024
2030,ES1 3 solar,-909539.8436109502
2030,PT1 1 solar,-785971.321674662
2030,ES1 8 ror,-781552.9193749251
2030,ES1 2 ror,-771333.0227360919
2030,ES1 7 solar,-726048.5605853754
2030,ES1 1 solar,-660249.3010138099
2030,ES1 4 onwind,-594637.4197368026
2030,PT1 1 ror,-515690.4110415577
2030,PT1 0 ror,-507647.4091330271
2030,ES1 4 solar,-492136.47605348506
2030,PT1 0 offwind-ac,-486855.1508016208
2030,PT1 0 solar,-460055.8926502575
2030,ES1 1 onwind,-375451.1834102316
2030,ES1 2 onwind,-328598.70676670497
2030,PT1 1 offwind-ac,-316056.12295852334
2030,ES1 3 offwind-ac,-310162.39285561943
2030,ES1 7 onwind,-276827.425947558
2030,ES1 6 onwind,-200262.63901156012
2030,ES1 1 offwind-ac,-184787.71194613248
2030,PT1 1 onwind,-157748.70353093857
2030,ES1 0 onwind,-150859.64543856506
2030,ES1 6 offwind-ac,-139129.28680863843
2030,PT1 0 onwind,-135818.798378899
2030,ES1 5 onwind,-105895.9736478142
2030,ES1 3 onwind,-103135.06396960405
2030,ES1 0 offwind-ac,-72938.91068520855
2030,ES1 2 offwind-ac,-36408.014598372334
2030,ES1 8 onwind,-4332.096795957044
2040,ES1 6 solar,-529360.2691110144
2040,ES1 0 solar,-514420.5387614785
2040,ES1 8 solar,-501290.48520029744
2040,ES1 2 solar,-500648.6678605404
2040,ES1 5 solar,-487397.0978936446
2040,ES1 3 solar,-444678.596797261
2040,PT1 1 solar,-389803.1237297109
2040,ES1 4 offwind-ac,-383023.47948825
2040,ES1 8 ror,-372914.260963215
2040,ES1 7 solar,-367014.68919926166
2040,ES1 2 ror,-366558.777524012
2040,ES1 1 solar,-347118.2194017436
2040,ES1 4 solar,-242878.68538708249
2040,PT1 0 solar,-236157.1625564884
2040,ES1 4 onwind,-227746.620024531
2040,PT1 1 ror,-206584.01003402844
2040,PT1 0 ror,-201615.93409631704
2040,ES1 2 onwind,-165873.02946001675
2040,PT1 0 offwind-ac,-151713.5794425227
2040,ES1 1 onwind,-149546.86166685552
2040,PT1 1 offwind-ac,-103990.83187846336
2040,ES1 7 onwind,-98394.69700051674
2040,ES1 3 offwind-ac,-98021.74960453509
2040,ES1 6 onwind,-91348.24816995904
2040,ES1 0 onwind,-65381.62287633112
2040,PT1 1 onwind,-44905.24106918474
2040,ES1 1 offwind-ac,-40536.15512994661
2040,ES1 3 onwind,-24255.338053758365
2040,ES1 5 onwind,-19244.20662066629
2040,ES1 6 offwind-ac,-16694.27578800771
2040,PT1 0 onwind,-15228.804705340945
2050,ES1 6 solar,-158285.58982156744
2050,ES1 0 solar,-147895.91382842447
2050,ES1 2 solar,-145554.91000773062
2050,ES1 8 solar,-140047.91578128684
2050,ES1 5 solar,-133038.60268603818
2050,ES1 3 solar,-111580.0502605795
2050,ES1 1 solar,-110564.7101684608
2050,ES1 7 solar,-103630.72837454098
2050,PT1 1 solar,-103584.0747667525
2050,PT1 0 solar,-72625.69962256383
2050,ES1 4 solar,-65895.31270056522
2050,ES1 2 onwind,-29171.77765243888
2050,ES1 8 ror,-23403.24345022172
2050,ES1 2 ror,-20353.01506139309
