year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,60900.664000000004,0.0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,coal,9478.786965467825,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,offwind-ac,27469.304443667334,27469.304443667334,9,9,5065022892.488588,59438275.49483666,0.0,891574.1324225499,0.0,891574.1324225499,5065914466.621011
2025,onwind,64079.00668944659,64079.00668944659,11,11,6157088261.192838,99722900.63703391,0.0,1495843.509555507,0.0,1495843.509555507,6158584104.702394
2025,ror,5571.016495,5571.016495,4,4,1666515127.3987482,38161429.40012389,0.0,0.0,0.0,0.0,1666515127.3987482
2025,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,51594248.445902884,0.0,515942.4844590288,0.0,515942.4844590288,905308353.3946967
2030,CCGT,60900.664000000004,0.0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,coal,9478.786965467825,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,offwind-ac,27469.304443667334,26079.65148823787,9,8,4809105157.387955,56081999.57764607,0.0,841229.993664691,0.0,841229.993664691,4809946387.381619
2030,onwind,64079.00668944659,64079.00668944659,11,11,6157088261.192838,77864957.91371913,0.0,1167974.3687057856,0.0,1167974.3687057856,6158256235.561543
2030,ror,5571.016495,5571.016495,4,4,1666515127.3987482,63596156.04690776,0.0,0.0,0.0,0.0,1666515127.3987482
2030,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,85990414.0765048,0.0,859904.1407650481,0.0,859904.1407650481,905652315.0510027
2040,CCGT,60900.664000000004,0.0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,coal,9478.786965467825,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,offwind-ac,27469.304443667334,25491.645126030107,9,6,4700708533.877214,55555518.67522153,0.0,833332.780128323,0.0,833332.780128323,4701541866.657343
2040,onwind,64079.00668944659,62594.72279731802,11,10,6014469525.343931,73272074.12072037,0.0,1099081.1118108046,0.0,1099081.1118108046,6015568606.455742
2040,ror,5571.016495,5571.016495,4,4,1666515127.3987482,89141708.31657073,0.0,0.0,0.0,0.0,1666515127.3987482
2040,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,120009528.79035805,0.0,1200095.2879035803,0.0,1200095.2879035803,905992506.1981412
2050,CCGT,60900.664000000004,0.0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,coal,9478.786965467825,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,offwind-ac,27469.304443667334,0.0,9,0,0.0,50008114.32118037,0.0,750121.7148177056,0.0,750121.7148177056,750121.7148177056
2050,onwind,64079.00668944659,14494.252737824803,11,2,1392693145.499724,67684153.62631868,0.0,1015262.3043947791,0.0,1015262.3043947791,1393708407.8041186
2050,ror,5571.016495,294.016495,4,2,87952160.4472037,90094632.29705702,0.0,0.0,0.0,0.0,87952160.4472037
2050,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,153309244.80049616,0.0,1533092.4480049617,0.0,1533092.4480049617,906325503.3582426
