,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,0.0,1.0,32023,61.887368583797155,4158,5203,13994,8668
1,1.0,2.0,0,0.0,0,0,0,0
2,2.0,3.0,0,0.0,0,0,0,0
3,3.0,4.0,0,0.0,0,0,0,0
4,4.0,5.0,0,0.0,0,0,0,0
5,5.0,6.0,0,0.0,0,0,0,0
6,6.0,7.0,0,0.0,0,0,0,0
7,7.0,8.0,0,0.0,0,0,0,0
8,8.0,9.0,0,0.0,0,0,0,0
9,9.0,10.0,0,0.0,0,0,0,0
10,10.0,11.0,0,0.0,0,0,0,0
11,11.0,12.0,0,0.0,0,0,0,0
12,12.0,13.0,0,0.0,0,0,0,0
13,13.0,14.0,0,0.0,0,0,0,0
14,14.0,15.0,0,0.0,0,0,0,0
15,15.0,16.0,0,0.0,0,0,0,0
16,16.0,17.0,0,0.0,0,0,0,0
17,17.0,18.0,0,0.0,0,0,0,0
18,18.0,19.0,0,0.0,0,0,0,0
19,19.0,20.0,0,0.0,0,0,0,0
20,20.0,21.0,0,0.0,0,0,0,0
21,21.0,22.0,0,0.0,0,0,0,0
22,22.0,23.0,0,0.0,0,0,0,0
23,23.0,24.0,0,0.0,0,0,0,0
24,24.0,25.0,0,0.0,0,0,0,0
25,25.0,26.0,0,0.0,0,0,0,0
26,26.0,27.0,0,0.0,0,0,0,0
27,27.0,28.0,0,0.0,0,0,0,0
28,28.0,29.0,0,0.0,0,0,0,0
29,29.0,30.0,0,0.0,0,0,0,0
30,30.0,31.0,0,0.0,0,0,0,0
31,31.0,32.0,0,0.0,0,0,0,0
32,32.0,33.0,0,0.0,0,0,0,0
33,33.0,34.0,0,0.0,0,0,0,0
34,34.0,35.0,0,0.0,0,0,0,0
35,35.0,36.0,0,0.0,0,0,0,0
36,36.0,37.0,0,0.0,0,0,0,0
37,37.0,38.0,0,0.0,0,0,0,0
38,38.0,39.0,0,0.0,0,0,0,0
39,39.0,40.0,0,0.0,0,0,0,0
40,40.0,41.0,0,0.0,0,0,0,0
41,41.0,42.0,0,0.0,0,0,0,0
42,42.0,43.0,0,0.0,0,0,0,0
43,43.0,44.0,0,0.0,0,0,0,0
44,44.0,45.0,0,0.0,0,0,0,0
45,45.0,46.0,0,0.0,0,0,0,0
46,46.0,47.0,0,0.0,0,0,0,0
47,47.0,48.0,0,0.0,0,0,0,0
48,48.0,49.0,0,0.0,0,0,0,0
49,49.0,50.0,0,0.0,0,0,0,0
50,50.0,51.0,0,0.0,0,0,0,0
51,51.0,52.0,0,0.0,0,0,0,0
52,52.0,53.0,2,0.003865182436611008,0,0,2,0
53,53.0,54.0,71,0.1372139764996908,0,0,66,5
54,54.0,55.0,674,1.3025664811379096,0,0,617,57
55,55.0,56.0,2176,4.205318491032776,0,0,1539,637
56,56.0,57.0,3446,6.659709338280767,0,0,2063,1383
57,57.0,58.0,2592,5.009276437847866,0,0,2331,261
58,58.0,59.0,884,1.7084106369820655,0,0,688,196
59,59.0,60.0,602,1.1634199134199135,0,0,430,172
60,60.0,61.0,321,0.6203617810760668,0,0,261,60
61,61.0,62.0,123,0.237708719851577,0,0,122,1
62,62.0,63.0,20,0.03865182436611008,0,2,18,0
63,63.0,64.0,57,0.11015769944341372,0,56,1,0
64,64.0,65.0,525,1.0146103896103895,0,525,0,0
65,65.0,66.0,754,1.4571737786023502,0,754,0,0
66,66.0,67.0,588,1.1363636363636365,0,588,0,0
67,67.0,68.0,127,0.245439084724799,0,127,0,0
68,68.0,69.0,95,0.18359616573902288,0,95,0,0
69,69.0,70.0,44,0.08503401360544217,0,39,5,0
70,70.0,inf,6620,12.793753865182437,3234,3,39,3344
