year,generator,dual_value
2025,ES1 0 CCGT,0.0
2030,ES1 0 CCGT,0.0
2040,ES1 0 CCGT,0.0
2050,ES1 0 CCGT,0.0
2025,ES1 0 coal,0.0
2030,ES1 0 coal,0.0
2040,ES1 0 coal,0.0
2050,ES1 0 coal,0.0
2025,ES1 0 offwind-ac,0.0
2030,ES1 0 offwind-ac,0.0
2040,ES1 0 offwind-ac,0.0
2050,ES1 0 offwind-ac,0.0
2025,ES1 0 onwind,-36802.880013835595
2030,ES1 0 onwind,0.0
2040,ES1 0 onwind,0.0
2050,ES1 0 onwind,0.0
2025,ES1 0 solar,-212035.61896341882
2030,ES1 0 solar,-148045.27914414034
2040,ES1 0 solar,-88739.08900254354
2050,ES1 0 solar,-27771.773946854308
2025,ES1 1 CCGT,0.0
2030,ES1 1 CCGT,0.0
2040,ES1 1 CCGT,0.0
2050,ES1 1 CCGT,0.0
2025,ES1 1 coal,0.0
2030,ES1 1 coal,0.0
2040,ES1 1 coal,0.0
2050,ES1 1 coal,0.0
2025,ES1 1 offwind-ac,-117038.55927605787
2030,ES1 1 offwind-ac,-42110.710184045965
2040,ES1 1 offwind-ac,0.0
2050,ES1 1 offwind-ac,0.0
2025,ES1 1 onwind,-149447.8061646059
2030,ES1 1 onwind,-85622.82590288465
2040,ES1 1 onwind,-28013.001782310675
2050,ES1 1 onwind,0.0
2025,ES1 1 solar,-152215.95009506296
2030,ES1 1 solar,-103926.14034245681
2040,ES1 1 solar,-58827.97885490513
2050,ES1 1 solar,-12593.442975197948
2025,ES1 2 CCGT,0.0
2030,ES1 2 CCGT,0.0
2040,ES1 2 CCGT,0.0
2050,ES1 2 CCGT,0.0
2025,ES1 2 coal,0.0
2030,ES1 2 coal,0.0
2040,ES1 2 coal,0.0
2050,ES1 2 coal,0.0
2025,ES1 2 offwind-ac,-133878.0405281954
2030,ES1 2 offwind-ac,-47626.05887618668
2040,ES1 2 offwind-ac,0.0
2050,ES1 2 offwind-ac,0.0
2025,ES1 2 onwind,-261748.9086337021
2030,ES1 2 onwind,-166352.0881106522
2040,ES1 2 onwind,-85907.95052212168
2050,ES1 2 onwind,0.0
2025,ES1 2 ror,-129324.16128520072
2030,ES1 2 ror,-17766.117419583985
2040,ES1 2 ror,0.0
2050,ES1 2 ror,0.0
2025,ES1 2 solar,-203805.61485091384
2030,ES1 2 solar,-142263.29069367482
2040,ES1 2 solar,-84474.16828448755
2050,ES1 2 solar,-25321.84707684473
2025,ES1 3 CCGT,0.0
2030,ES1 3 CCGT,0.0
2040,ES1 3 CCGT,0.0
2050,ES1 3 CCGT,0.0
2025,ES1 3 coal,0.0
2030,ES1 3 coal,0.0
2040,ES1 3 coal,0.0
2050,ES1 3 coal,0.0
2025,ES1 3 offwind-ac,-29293.033618576534
2030,ES1 3 offwind-ac,0.0
2040,ES1 3 offwind-ac,0.0
2050,ES1 3 offwind-ac,0.0
2025,ES1 3 onwind,-4059.4567307379584
2030,ES1 3 onwind,0.0
2040,ES1 3 onwind,0.0
2050,ES1 3 onwind,0.0
2025,ES1 3 solar,-215568.7177770079
2030,ES1 3 solar,-150901.34882826096
2040,ES1 3 solar,-91150.63752864324
2050,ES1 3 solar,-29622.130391649356
2025,ES1 4 CCGT,0.0
2030,ES1 4 CCGT,0.0
2040,ES1 4 CCGT,0.0
2050,ES1 4 CCGT,0.0
2025,ES1 4 coal,0.0
2030,ES1 4 coal,0.0
2040,ES1 4 coal,0.0
2050,ES1 4 coal,0.0
2025,ES1 4 offwind-ac,-414617.0960854789
2030,ES1 4 offwind-ac,-267671.0540040281
2040,ES1 4 offwind-ac,-125965.45896538405
2050,ES1 4 offwind-ac,0.0
2025,ES1 4 onwind,-300233.75165788975
2030,ES1 4 onwind,-201176.04033888466
2040,ES1 4 onwind,-105913.68334687444
2050,ES1 4 onwind,-8825.24087930753
2025,ES1 4 solar,-154706.62938536418
2030,ES1 4 solar,-105774.46707142648
2040,ES1 4 solar,-60143.12052147462
2050,ES1 4 solar,-13337.216959942212
2025,ES1 5 CCGT,0.0
2030,ES1 5 CCGT,0.0
2040,ES1 5 CCGT,0.0
2050,ES1 5 CCGT,0.0
2025,ES1 5 onwind,-50604.615676182606
2030,ES1 5 onwind,-10628.773141279868
2040,ES1 5 onwind,0.0
2050,ES1 5 onwind,0.0
2025,ES1 5 solar,-214339.38985019215
2030,ES1 5 solar,-149793.98431707008
2040,ES1 5 solar,-89673.44836664331
2050,ES1 5 solar,-27930.85853399099
2025,ES1 6 CCGT,0.0
2030,ES1 6 CCGT,0.0
2040,ES1 6 CCGT,0.0
2050,ES1 6 CCGT,0.0
2025,ES1 6 offwind-ac,0.0
2030,ES1 6 offwind-ac,0.0
2040,ES1 6 offwind-ac,0.0
2050,ES1 6 offwind-ac,0.0
2025,ES1 6 onwind,-132688.39474978004
2030,ES1 6 onwind,-69479.516178939
2040,ES1 6 onwind,-22984.12928897769
2050,ES1 6 onwind,0.0
2025,ES1 6 solar,-223635.09979769442
2030,ES1 6 solar,-156869.25072695187
2040,ES1 6 solar,-94596.58777543304
2050,ES1 6 solar,-30666.576335511156
2025,ES1 7 CCGT,-5435.396205755766
2030,ES1 7 CCGT,0.0
2040,ES1 7 CCGT,0.0
2050,ES1 7 CCGT,0.0
2025,ES1 7 onwind,-66021.10440803472
2030,ES1 7 onwind,-23694.86307200465
2040,ES1 7 onwind,0.0
2050,ES1 7 onwind,0.0
2025,ES1 7 solar,-201129.45328434103
2030,ES1 7 solar,-139802.4432912302
2040,ES1 7 solar,-83245.4831320412
2050,ES1 7 solar,-24979.666303483842
2025,ES1 8 CCGT,0.0
2030,ES1 8 CCGT,0.0
2040,ES1 8 CCGT,0.0
2050,ES1 8 CCGT,0.0
2025,ES1 8 offwind-ac,-56532.761129365615
2030,ES1 8 offwind-ac,0.0
2040,ES1 8 offwind-ac,0.0
2050,ES1 8 offwind-ac,0.0
2025,ES1 8 onwind,-149143.87442987086
2030,ES1 8 onwind,-82174.65651794786
2040,ES1 8 onwind,-27919.96106808327
2050,ES1 8 onwind,0.0
2025,ES1 8 ror,-133414.74622049177
2030,ES1 8 ror,-20790.693774380896
2040,ES1 8 ror,0.0
2050,ES1 8 ror,0.0
2025,ES1 8 solar,-208638.01352930858
2030,ES1 8 solar,-145408.81607170103
2040,ES1 8 solar,-86669.94795265932
2050,ES1 8 solar,-26245.00531106507
2025,PT1 0 CCGT,-2308.4475958558614
2030,PT1 0 CCGT,0.0
2040,PT1 0 CCGT,0.0
2050,PT1 0 CCGT,0.0
2025,PT1 0 offwind-ac,-232929.8383852219
2030,PT1 0 offwind-ac,-127209.34812893861
2040,PT1 0 offwind-ac,-26585.199827436925
2050,PT1 0 offwind-ac,0.0
2025,PT1 0 onwind,-39868.15964104477
2030,PT1 0 onwind,-4788.803586818591
2040,PT1 0 onwind,0.0
2050,PT1 0 onwind,0.0
2025,PT1 0 ror,-276464.09376069566
2030,PT1 0 ror,-125759.02990637481
2040,PT1 0 ror,0.0
2050,PT1 0 ror,0.0
2025,PT1 0 solar,-175908.01757196992
2030,PT1 0 solar,-120983.20889039431
2040,PT1 0 solar,-70556.97697719489
2050,PT1 0 solar,-18422.255885013008
2025,PT1 1 CCGT,-13417.026128691316
2030,PT1 1 CCGT,-5388.272049671898
2040,PT1 1 CCGT,0.0
2050,PT1 1 CCGT,0.0
2025,PT1 1 offwind-ac,-102082.53562757299
2030,PT1 1 offwind-ac,-27644.953077439568
2040,PT1 1 offwind-ac,0.0
2050,PT1 1 offwind-ac,0.0
2025,PT1 1 onwind,-84216.10514256504
2030,PT1 1 onwind,-37345.10433891127
2040,PT1 1 onwind,0.0
2050,PT1 1 onwind,0.0
2025,PT1 1 ror,-282186.5036385781
2030,PT1 1 ror,-129834.58005498149
2040,PT1 1 ror,0.0
2050,PT1 1 ror,0.0
2025,PT1 1 solar,-212961.7197000624
2030,PT1 1 solar,-149411.27511555707
2040,PT1 1 solar,-90661.50326900669
2050,PT1 1 solar,-30045.662957379674
