dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,1423,2.7500773036487325
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,403,0.778834260977118
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,89376,12657,14.161519871106337
branch_flow_new_duals_min,89376,32248,36.0812746151092
branch_flow_old_duals_max,89376,12638,14.140261367704976
branch_flow_old_duals_min,89376,32223,36.05330290010741
emissions_duals,7,0,0.0
gen_extension_duals,204,96,47.05882352941176
gen_output_new_duals,239904,173839,72.46190142723756
gen_output_old_duals,239904,173838,72.46148459383754
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
