,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,54.0,55.0,13651,26.381802721088437,2250,2207,5686,3508
1,0.0,1.0,13178,25.467687074829932,1771,2057,5643,3707
2,55.0,56.0,9711,18.76739332096475,1746,1296,4023,2646
3,56.0,57.0,4382,8.468614718614718,784,493,1839,1266
4,53.0,54.0,4066,7.85791589363018,358,801,1820,1087
5,57.0,58.0,2639,5.100108225108225,316,226,1249,848
6,58.0,59.0,868,1.6774891774891776,73,57,465,273
7,50.0,51.0,534,1.0320037105751392,38,100,203,193
8,49.0,50.0,472,0.9121830550401978,18,21,213,220
9,52.0,53.0,460,0.8889919604205319,11,62,218,169
10,51.0,52.0,336,0.6493506493506493,8,57,147,124
11,62.0,63.0,259,0.5005411255411255,0,0,163,96
12,61.0,62.0,199,0.3845856524427953,0,0,90,109
13,59.0,60.0,147,0.2840909090909091,6,14,65,62
14,60.0,61.0,125,0.241573902288188,2,1,50,72
15,48.0,49.0,121,0.233843537414966,0,0,69,52
16,63.0,64.0,120,0.2319109461966605,0,0,69,51
17,68.0,69.0,117,0.22611317254174396,0,0,24,93
18,69.0,70.0,87,0.16813543599257885,0,0,13,74
19,70.0,inf,62,0.11982065553494126,0,0,0,62
20,67.0,68.0,49,0.0946969696969697,0,0,12,37
21,43.0,44.0,48,0.0927643784786642,0,0,48,0
22,47.0,48.0,31,0.05991032776747063,3,0,28,0
23,66.0,67.0,23,0.04444959802102659,0,0,5,18
24,64.0,65.0,22,0.04251700680272109,0,0,7,15
25,44.0,45.0,18,0.03478664192949907,0,0,18,0
26,46.0,47.0,16,0.030921459492888066,8,0,8,0
27,65.0,66.0,3,0.0057977736549165125,0,0,1,2
28,12.0,13.0,0,0.0,0,0,0,0
29,19.0,20.0,0,0.0,0,0,0,0
30,18.0,19.0,0,0.0,0,0,0,0
31,17.0,18.0,0,0.0,0,0,0,0
32,16.0,17.0,0,0.0,0,0,0,0
33,15.0,16.0,0,0.0,0,0,0,0
34,14.0,15.0,0,0.0,0,0,0,0
35,13.0,14.0,0,0.0,0,0,0,0
36,20.0,21.0,0,0.0,0,0,0,0
37,11.0,12.0,0,0.0,0,0,0,0
38,10.0,11.0,0,0.0,0,0,0,0
39,8.0,9.0,0,0.0,0,0,0,0
40,7.0,8.0,0,0.0,0,0,0,0
41,6.0,7.0,0,0.0,0,0,0,0
42,5.0,6.0,0,0.0,0,0,0,0
43,4.0,5.0,0,0.0,0,0,0,0
44,3.0,4.0,0,0.0,0,0,0,0
45,2.0,3.0,0,0.0,0,0,0,0
46,9.0,10.0,0,0.0,0,0,0,0
47,45.0,46.0,0,0.0,0,0,0,0
48,21.0,22.0,0,0.0,0,0,0,0
49,31.0,32.0,0,0.0,0,0,0,0
50,22.0,23.0,0,0.0,0,0,0,0
51,23.0,24.0,0,0.0,0,0,0,0
52,24.0,25.0,0,0.0,0,0,0,0
53,25.0,26.0,0,0.0,0,0,0,0
54,26.0,27.0,0,0.0,0,0,0,0
55,27.0,28.0,0,0.0,0,0,0,0
56,28.0,29.0,0,0.0,0,0,0,0
57,29.0,30.0,0,0.0,0,0,0,0
58,30.0,31.0,0,0.0,0,0,0,0
59,32.0,33.0,0,0.0,0,0,0,0
60,42.0,43.0,0,0.0,0,0,0,0
61,33.0,34.0,0,0.0,0,0,0,0
62,34.0,35.0,0,0.0,0,0,0,0
63,1.0,2.0,0,0.0,0,0,0,0
64,36.0,37.0,0,0.0,0,0,0,0
65,37.0,38.0,0,0.0,0,0,0,0
66,38.0,39.0,0,0.0,0,0,0,0
67,39.0,40.0,0,0.0,0,0,0,0
68,40.0,41.0,0,0.0,0,0,0,0
69,41.0,42.0,0,0.0,0,0,0,0
70,35.0,36.0,0,0.0,0,0,0,0
