dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,103488,5898,5.699211502782931
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,103488,1215,1.1740491651205938
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,4,5.263157894736842
branch_flow_new_duals_max,178752,26642,14.904448621553884
branch_flow_new_duals_min,178752,64744,36.22001432151808
branch_flow_old_duals_max,178752,26626,14.895497672753311
branch_flow_old_duals_min,178752,64732,36.21330110991765
emissions_duals,7,0,0.0
gen_extension_duals,204,129,63.23529411764706
gen_output_new_duals,479808,380154,79.23044217687075
gen_output_old_duals,479808,380151,79.22981692677071
load_shedding_duals,103488,0,0.0
power_balance_duals,103488,103488,100.0
