year,generator,dual_value
2025,ES1 4 offwind-ac,-532456.2598208569
2025,PT1 1 ror,-446529.5321426703
2025,ES1 4 onwind,-443584.0397361595
2025,PT1 0 ror,-439425.4397488797
2025,ES1 3 solar,-302844.1188108606
2025,ES1 0 solar,-302815.9182426431
2025,ES1 8 solar,-292719.9326977999
2025,ES1 5 solar,-289537.3492553376
2025,ES1 3 offwind-ac,-288854.8767509916
2025,ES1 2 solar,-288790.5078615718
2025,ES1 6 solar,-288135.1265504009
2025,PT1 1 solar,-286854.44507507246
2025,ES1 7 solar,-284394.6756721921
2025,PT1 0 solar,-269991.072556445
2025,ES1 8 ror,-260517.8079862052
2025,ES1 2 ror,-255225.2350855297
2025,ES1 4 solar,-247867.97668221896
2025,ES1 1 onwind,-244102.2274559678
2025,ES1 1 solar,-234768.27136998344
2025,PT1 1 offwind-ac,-227727.6758073032
2025,PT1 0 offwind-ac,-207844.3841142984
2025,ES1 2 onwind,-202461.01227595375
2025,PT1 1 onwind,-199975.13585019688
2025,ES1 7 onwind,-194002.80389971903
2025,ES1 6 onwind,-192173.34997313036
2025,ES1 5 onwind,-167767.10645016626
2025,PT1 0 onwind,-136945.07028954744
2025,ES1 3 onwind,-102643.07673944753
2025,ES1 0 onwind,-93092.0796877826
2025,ES1 8 offwind-ac,-75274.58045504415
2025,ES1 8 onwind,-68746.19177380149
2025,ES1 6 offwind-ac,-66475.61470165628
2025,ES1 0 offwind-ac,-62435.00801106567
2025,ES1 2 offwind-ac,-54522.45998276752
2025,PT1 1 CCGT,-47848.5635117612
2025,ES1 1 offwind-ac,-39107.0222997766
2025,PT1 0 CCGT,-31888.353996459467
2025,ES1 7 CCGT,-31811.10663408184
2025,ES1 8 CCGT,-20915.77632138315
2025,ES1 5 CCGT,-16950.055959741454
2025,ES1 4 CCGT,-14466.394356166507
2030,ES1 4 offwind-ac,-357983.0101132215
2030,ES1 4 onwind,-309300.17317177646
2030,PT1 1 ror,-263749.6036748587
2030,PT1 0 ror,-258619.7972697724
2030,ES1 3 solar,-216766.0749041713
2030,ES1 0 solar,-215911.3762986938
2030,ES1 8 solar,-208537.54833841568
2030,ES1 5 solar,-206976.21438996715
2030,ES1 2 solar,-205744.3420192016
2030,ES1 6 solar,-205375.99624606557
2030,PT1 1 solar,-205335.74273424945
2030,ES1 7 solar,-203253.06225017947
2030,PT1 0 solar,-192781.7016343385
2030,ES1 3 offwind-ac,-179020.21728240774
2030,ES1 4 solar,-175850.5111467293
2030,ES1 1 solar,-166101.42989409773
2030,ES1 1 onwind,-156417.34875086928
2030,PT1 1 offwind-ac,-126544.84427393442
2030,ES1 2 onwind,-125612.8740056733
2030,PT1 1 onwind,-125021.42040953484
2030,ES1 8 ror,-123864.88684030587
2030,ES1 2 ror,-119864.70756295776
2030,ES1 7 onwind,-118225.86257744327
2030,ES1 6 onwind,-115801.10813878413
2030,PT1 0 offwind-ac,-115255.13533954488
2030,ES1 5 onwind,-98098.02291862218
2030,PT1 0 onwind,-77497.83855979916
2030,ES1 3 onwind,-53333.46007138499
2030,ES1 0 onwind,-43443.7492177418
2030,PT1 1 CCGT,-35470.01783613929
2030,ES1 8 onwind,-26463.0458672315
2030,PT1 0 CCGT,-23761.07504632596
2030,ES1 7 CCGT,-22395.01883516369
2030,ES1 8 CCGT,-12180.2760238872
2030,ES1 5 CCGT,-11134.810799349509
2030,ES1 4 CCGT,-9212.45899665737
2030,ES1 8 offwind-ac,-9135.48067465656
2030,ES1 6 offwind-ac,-728.6034363098515
2040,ES1 4 offwind-ac,-189930.17874415545
2040,ES1 4 onwind,-180981.5578176951
2040,ES1 3 solar,-133062.79830061048
2040,ES1 0 solar,-132506.44381104954
2040,ES1 8 solar,-127671.77091598263
2040,ES1 5 solar,-126464.61036761018
2040,ES1 2 solar,-125760.10131635616
2040,ES1 6 solar,-125454.21269081214
2040,PT1 1 solar,-125203.74213682076
2040,ES1 7 solar,-123935.20198983436
2040,PT1 0 solar,-116837.45903950278
2040,ES1 4 solar,-105640.43517180347
2040,ES1 1 solar,-99155.32559274072
2040,PT1 1 ror,-89440.0404080105
2040,PT1 0 ror,-86047.80400361735
2040,ES1 1 onwind,-74837.7110584308
2040,ES1 3 offwind-ac,-73992.13478923151
2040,PT1 1 onwind,-55902.14194753306
2040,ES1 2 onwind,-54012.63698859784
2040,ES1 7 onwind,-49179.21467139546
2040,ES1 6 onwind,-48205.41269933421
2040,ES1 5 onwind,-36021.922424357705
2040,PT1 1 offwind-ac,-30975.84937455546
2040,PT1 0 offwind-ac,-26071.435256796613
2040,PT1 0 onwind,-22350.65841698597
2040,PT1 1 CCGT,-21699.13609244196
2040,PT1 0 CCGT,-13923.846152845232
2040,ES1 7 CCGT,-13387.760772854934
2040,ES1 3 onwind,-8279.991308573823
2040,ES1 8 CCGT,-6425.692688916737
2040,ES1 5 CCGT,-5545.359395847903
2040,ES1 4 CCGT,-4161.915990332913
2050,ES1 4 onwind,-50778.15447767077
2050,ES1 3 solar,-48861.44843931004
2050,ES1 0 solar,-48739.31640899215
2050,ES1 8 solar,-46359.1321265525
2050,ES1 5 solar,-45498.75481639958
2050,ES1 2 solar,-45337.01120704732
2050,ES1 6 solar,-45205.06136749734
2050,PT1 1 solar,-44799.260158658784
2050,ES1 7 solar,-44218.54164916835
2050,PT1 0 solar,-40642.06795501424
2050,ES1 4 solar,-35134.32243589772
2050,ES1 1 solar,-31872.16518902672
2050,ES1 4 offwind-ac,-19734.59845306058
2050,PT1 1 CCGT,-6087.463141026281
2050,PT1 0 CCGT,-2098.350185140138
2050,ES1 7 CCGT,-2094.0467827543325
