,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,0.0,1.0,6479,6.2606292517006805,693,1078,2915,1793
1,1.0,2.0,0,0.0,0,0,0,0
2,2.0,3.0,0,0.0,0,0,0,0
3,3.0,4.0,0,0.0,0,0,0,0
4,4.0,5.0,0,0.0,0,0,0,0
5,5.0,6.0,0,0.0,0,0,0,0
6,6.0,7.0,0,0.0,0,0,0,0
7,7.0,8.0,0,0.0,0,0,0,0
8,8.0,9.0,0,0.0,0,0,0,0
9,9.0,10.0,0,0.0,0,0,0,0
10,10.0,11.0,0,0.0,0,0,0,0
11,11.0,12.0,0,0.0,0,0,0,0
12,12.0,13.0,0,0.0,0,0,0,0
13,13.0,14.0,0,0.0,0,0,0,0
14,14.0,15.0,0,0.0,0,0,0,0
15,15.0,16.0,0,0.0,0,0,0,0
16,16.0,17.0,11,0.010629251700680272,0,0,0,11
17,17.0,18.0,0,0.0,0,0,0,0
18,18.0,19.0,0,0.0,0,0,0,0
19,19.0,20.0,0,0.0,0,0,0,0
20,20.0,21.0,0,0.0,0,0,0,0
21,21.0,22.0,0,0.0,0,0,0,0
22,22.0,23.0,0,0.0,0,0,0,0
23,23.0,24.0,0,0.0,0,0,0,0
24,24.0,25.0,0,0.0,0,0,0,0
25,25.0,26.0,0,0.0,0,0,0,0
26,26.0,27.0,0,0.0,0,0,0,0
27,27.0,28.0,0,0.0,0,0,0,0
28,28.0,29.0,0,0.0,0,0,0,0
29,29.0,30.0,0,0.0,0,0,0,0
30,30.0,31.0,0,0.0,0,0,0,0
31,31.0,32.0,0,0.0,0,0,0,0
32,32.0,33.0,0,0.0,0,0,0,0
33,33.0,34.0,0,0.0,0,0,0,0
34,34.0,35.0,0,0.0,0,0,0,0
35,35.0,36.0,0,0.0,0,0,0,0
36,36.0,37.0,0,0.0,0,0,0,0
37,37.0,38.0,0,0.0,0,0,0,0
38,38.0,39.0,0,0.0,0,0,0,0
39,39.0,40.0,0,0.0,0,0,0,0
40,40.0,41.0,0,0.0,0,0,0,0
41,41.0,42.0,0,0.0,0,0,0,0
42,42.0,43.0,0,0.0,0,0,0,0
43,43.0,44.0,0,0.0,0,0,0,0
44,44.0,45.0,0,0.0,0,0,0,0
45,45.0,46.0,0,0.0,0,0,0,0
46,46.0,47.0,0,0.0,0,0,0,0
47,47.0,48.0,0,0.0,0,0,0,0
48,48.0,49.0,20,0.01932591218305504,0,0,20,0
49,49.0,50.0,302,0.2918212739641311,24,67,163,48
50,50.0,51.0,614,0.5933055040197898,66,115,273,160
51,51.0,52.0,318,0.3072820037105751,97,58,93,70
52,52.0,53.0,464,0.4483611626468769,11,97,208,148
53,53.0,54.0,4434,4.284554730983302,494,683,1929,1328
54,54.0,55.0,30679,29.644982993197278,3949,4793,13312,8625
55,55.0,56.0,29521,28.52601267779839,5201,4369,12146,7805
56,56.0,57.0,16856,16.28787878787879,2849,2188,7078,4741
57,57.0,58.0,8490,8.203849721706865,980,972,3832,2706
58,58.0,59.0,2885,2.7877628324056896,358,260,1303,964
59,59.0,60.0,1082,1.0455318491032777,46,100,590,346
60,60.0,61.0,302,0.2918212739641311,16,4,188,94
61,61.0,62.0,197,0.19036023500309215,0,0,85,112
62,62.0,63.0,179,0.1729669140383426,0,0,26,153
63,63.0,64.0,75,0.0724721706864564,0,0,4,71
64,64.0,65.0,30,0.028988868274582563,0,0,0,30
65,65.0,66.0,1,0.000966295609152752,0,0,1,0
66,66.0,67.0,11,0.010629251700680272,0,0,5,6
67,67.0,68.0,57,0.05507884972170686,0,0,28,29
68,68.0,69.0,184,0.17779839208410636,0,0,74,110
69,69.0,70.0,141,0.13624768089053801,0,0,55,86
70,70.0,inf,156,0.1507421150278293,0,0,24,132
