year,generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name,extendable,extension_potential,new_capacity,cum_new_capacity,cum_extension_potential,total_capacity
2025,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,856.325,0.0,0.0,856.325,3425.3
2030,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99017.72929315244,0.2,#b20101,Combined-Cycle Gas,True,856.325,0.0,0.0,1712.65,3425.3
2040,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99007.72929315244,0.2,#b20101,Combined-Cycle Gas,True,856.325,0.0,0.0,2568.9750000000004,3425.3
2050,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,98997.72929315244,0.2,#b20101,Combined-Cycle Gas,True,856.325,0.0,0.0,3425.3,3425.3
2025,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,267.1312331641798,0.0,0.0,267.1312331641798,1068.524932656719
2030,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349966.5536298572,0.34,#707070,Coal,True,267.1312331641798,0.0,0.0,534.2624663283596,1068.524932656719
2040,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349956.5536298572,0.34,#707070,Coal,True,267.1312331641798,0.0,0.0,801.3936994925393,1068.524932656719
2050,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349946.5536298572,0.34,#707070,Coal,True,267.1312331641798,0.0,0.0,1068.524932656719,1068.524932656719
2025,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183919.0330536336,0.0,#6895dd,Offshore Wind (AC),True,53.14626468872986,53.14626468872986,53.14626468872986,53.14626468872986,265.7313234436493
2030,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183909.0330536336,0.0,#6895dd,Offshore Wind (AC),True,53.14626468872986,0.0,53.14626468872986,106.29252937745972,265.7313234436493
2040,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183899.0330536336,0.0,#6895dd,Offshore Wind (AC),True,53.14626468872986,0.0,53.14626468872986,159.4387940661896,265.7313234436493
2050,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183889.0330536336,0.0,#6895dd,Offshore Wind (AC),True,53.14626468872986,0.0,53.14626468872986,212.58505875491943,265.7313234436493
2025,ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,371.94388793319865,371.94388793319865,371.94388793319865,371.94388793319865,1859.7194396659934
2030,ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015,96075.88801996633,0.0,#235ebc,Onshore Wind,True,371.94388793319865,371.94388793319865,743.8877758663973,743.8877758663973,2231.6633275991917
2040,ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015,96065.88801996633,0.0,#235ebc,Onshore Wind,True,371.94388793319865,250.6172743128753,994.5050501792726,1115.8316637995958,2482.280601912067
2050,ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015,96055.88801996633,0.0,#235ebc,Onshore Wind,True,371.94388793319865,0.0,994.5050501792726,1487.7755517327946,2482.280601912067
2025,ES1 0 solar,ES1 0,solar,1103.2863903115249,0.01,35602.07124380446,0.0,#f9d002,Solar,True,275.8215975778812,275.8215975778812,275.8215975778812,275.8215975778812,1379.107987889406
2030,ES1 0 solar,ES1 0,solar,1103.2863903115249,0.01,35592.07124380446,0.0,#f9d002,Solar,True,275.8215975778812,275.8215975778812,551.6431951557624,551.6431951557624,1654.9295854672873
2040,ES1 0 solar,ES1 0,solar,1103.2863903115249,0.01,35582.07124380446,0.0,#f9d002,Solar,True,275.8215975778812,275.8215975778812,827.4647927336437,827.4647927336437,1930.7511830451685
2050,ES1 0 solar,ES1 0,solar,1103.2863903115249,0.01,35572.07124380446,0.0,#f9d002,Solar,True,275.8215975778812,275.8215975778812,1103.2863903115249,1103.2863903115249,2206.5727806230498
2025,ES1 1 CCGT,ES1 1,CCGT,3102.318,38.85517241379311,99027.72929315246,0.2,#b20101,Combined-Cycle Gas,True,775.5795,739.3261783377757,739.3261783377757,775.5795,3841.644178337776
2030,ES1 1 CCGT,ES1 1,CCGT,3102.318,38.85517241379311,99017.72929315246,0.2,#b20101,Combined-Cycle Gas,True,775.5795,0.0,739.3261783377757,1551.159,3841.644178337776
2040,ES1 1 CCGT,ES1 1,CCGT,3102.318,38.85517241379311,99007.72929315246,0.2,#b20101,Combined-Cycle Gas,True,775.5795,0.0,739.3261783377757,2326.7385000000004,3841.644178337776
2050,ES1 1 CCGT,ES1 1,CCGT,3102.318,38.85517241379311,98997.72929315246,0.2,#b20101,Combined-Cycle Gas,True,775.5795,0.0,739.3261783377757,3102.318,3841.644178337776
2025,ES1 1 coal,ES1 1,coal,485.8,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,121.45,0.0,0.0,121.45,485.8
2030,ES1 1 coal,ES1 1,coal,485.8,28.196969696969692,349966.5536298572,0.34,#707070,Coal,True,121.45,0.0,0.0,242.9,485.8
2040,ES1 1 coal,ES1 1,coal,485.8,28.196969696969692,349956.5536298572,0.34,#707070,Coal,True,121.45,0.0,0.0,364.35,485.8
2050,ES1 1 coal,ES1 1,coal,485.8,28.196969696969692,349946.5536298572,0.34,#707070,Coal,True,121.45,0.0,0.0,485.8,485.8
2025,ES1 1 offwind-ac,ES1 1,offwind-ac,659.9845062885394,0.015,183497.1992599912,0.0,#6895dd,Offshore Wind (AC),True,164.99612657213484,164.99612657213484,164.99612657213484,164.99612657213484,824.9806328606742
2030,ES1 1 offwind-ac,ES1 1,offwind-ac,659.9845062885394,0.015,183487.1992599912,0.0,#6895dd,Offshore Wind (AC),True,164.99612657213484,0.0,164.99612657213484,329.9922531442697,824.9806328606742
2040,ES1 1 offwind-ac,ES1 1,offwind-ac,659.9845062885394,0.015,183477.1992599912,0.0,#6895dd,Offshore Wind (AC),True,164.99612657213484,0.0,164.99612657213484,494.98837971640455,824.9806328606742
2050,ES1 1 offwind-ac,ES1 1,offwind-ac,659.9845062885394,0.015,183467.1992599912,0.0,#6895dd,Offshore Wind (AC),True,164.99612657213484,0.0,164.99612657213484,659.9845062885394,824.9806328606742
2025,ES1 1 onwind,ES1 1,onwind,2987.5795088563195,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,746.8948772140799,746.8948772140799,746.8948772140799,746.8948772140799,3734.4743860703993
2030,ES1 1 onwind,ES1 1,onwind,2987.5795088563195,0.015,96075.88801996633,0.0,#235ebc,Onshore Wind,True,746.8948772140799,746.8948772140799,1493.7897544281598,1493.7897544281598,4481.3692632844795
2040,ES1 1 onwind,ES1 1,onwind,2987.5795088563195,0.015,96065.88801996633,0.0,#235ebc,Onshore Wind,True,746.8948772140799,746.8948772140799,2240.6846316422398,2240.6846316422398,5228.264140498559
2050,ES1 1 onwind,ES1 1,onwind,2987.5795088563195,0.015,96055.88801996633,0.0,#235ebc,Onshore Wind,True,746.8948772140799,0.0,2240.6846316422398,2987.5795088563195,5228.264140498559
2025,ES1 1 solar,ES1 1,solar,997.6419807812828,0.01,35602.07124380445,0.0,#f9d002,Solar,True,249.4104951953207,249.4104951953207,249.4104951953207,249.4104951953207,1247.0524759766035
2030,ES1 1 solar,ES1 1,solar,997.6419807812828,0.01,35592.07124380445,0.0,#f9d002,Solar,True,249.4104951953207,249.4104951953207,498.8209903906414,498.8209903906414,1496.4629711719242
2040,ES1 1 solar,ES1 1,solar,997.6419807812828,0.01,35582.07124380445,0.0,#f9d002,Solar,True,249.4104951953207,249.4104951953207,748.2314855859621,748.2314855859621,1745.8734663672449
2050,ES1 1 solar,ES1 1,solar,997.6419807812828,0.01,35572.07124380445,0.0,#f9d002,Solar,True,249.4104951953207,249.4104951953207,997.6419807812828,997.6419807812828,1995.2839615625655
2025,ES1 2 CCGT,ES1 2,CCGT,3366.52,40.77318029124356,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,841.63,0.0,0.0,841.63,3366.52
2030,ES1 2 CCGT,ES1 2,CCGT,3366.52,40.77318029124356,99017.72929315244,0.2,#b20101,Combined-Cycle Gas,True,841.63,0.0,0.0,1683.26,3366.52
2040,ES1 2 CCGT,ES1 2,CCGT,3366.52,40.77318029124356,99007.72929315244,0.2,#b20101,Combined-Cycle Gas,True,841.63,0.0,0.0,2524.89,3366.52
2050,ES1 2 CCGT,ES1 2,CCGT,3366.52,40.77318029124356,98997.72929315244,0.2,#b20101,Combined-Cycle Gas,True,841.63,0.0,0.0,3366.52,3366.52
2025,ES1 2 coal,ES1 2,coal,1120.7,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,280.175,0.0,0.0,280.175,1120.7
2030,ES1 2 coal,ES1 2,coal,1120.7,28.196969696969692,349966.5536298572,0.34,#707070,Coal,True,280.175,0.0,0.0,560.35,1120.7
2040,ES1 2 coal,ES1 2,coal,1120.7,28.196969696969692,349956.5536298572,0.34,#707070,Coal,True,280.175,0.0,0.0,840.5250000000001,1120.7
2050,ES1 2 coal,ES1 2,coal,1120.7,28.196969696969692,349946.5536298572,0.34,#707070,Coal,True,280.175,0.0,0.0,1120.7,1120.7
2025,ES1 2 offwind-ac,ES1 2,offwind-ac,81.41812234896094,0.015,185460.8393300557,0.0,#6895dd,Offshore Wind (AC),True,20.354530587240234,20.354530587240237,20.354530587240237,20.354530587240234,101.77265293620117
2030,ES1 2 offwind-ac,ES1 2,offwind-ac,81.41812234896094,0.015,185450.8393300557,0.0,#6895dd,Offshore Wind (AC),True,20.354530587240234,0.0,20.354530587240237,40.70906117448047,101.77265293620117
2040,ES1 2 offwind-ac,ES1 2,offwind-ac,81.41812234896094,0.015,185440.8393300557,0.0,#6895dd,Offshore Wind (AC),True,20.354530587240234,0.0,20.354530587240237,61.0635917617207,101.77265293620117
2050,ES1 2 offwind-ac,ES1 2,offwind-ac,81.41812234896094,0.015,185430.8393300557,0.0,#6895dd,Offshore Wind (AC),True,20.354530587240234,0.0,20.354530587240237,81.41812234896094,101.77265293620117
2025,ES1 2 onwind,ES1 2,onwind,4177.98243145088,0.015,96085.88801996628,0.0,#235ebc,Onshore Wind,True,1044.49560786272,1044.49560786272,1044.49560786272,1044.49560786272,5222.4780393136
2030,ES1 2 onwind,ES1 2,onwind,4177.98243145088,0.015,96075.88801996628,0.0,#235ebc,Onshore Wind,True,1044.49560786272,1044.49560786272,2088.99121572544,2088.99121572544,6266.973647176319
2040,ES1 2 onwind,ES1 2,onwind,4177.98243145088,0.015,96065.88801996628,0.0,#235ebc,Onshore Wind,True,1044.49560786272,1044.49560786272,3133.4868235881595,3133.4868235881595,7311.469255039039
2050,ES1 2 onwind,ES1 2,onwind,4177.98243145088,0.015,96055.88801996628,0.0,#235ebc,Onshore Wind,True,1044.49560786272,0.0,3133.4868235881595,4177.98243145088,7311.469255039039
2025,ES1 2 ror,ES1 2,ror,36.65,0.0,299140.2249292296,0.0,#4adbc8,Run of River,True,9.1625,9.1625,9.1625,9.1625,45.8125
2030,ES1 2 ror,ES1 2,ror,36.65,0.0,299130.2249292296,0.0,#4adbc8,Run of River,True,9.1625,9.1625,18.325,18.325,54.974999999999994
2040,ES1 2 ror,ES1 2,ror,36.65,0.0,299120.2249292296,0.0,#4adbc8,Run of River,True,9.1625,0.0,18.325,27.487499999999997,54.974999999999994
2050,ES1 2 ror,ES1 2,ror,36.65,0.0,299110.2249292296,0.0,#4adbc8,Run of River,True,9.1625,0.0,18.325,36.65,54.974999999999994
2025,ES1 2 solar,ES1 2,solar,1258.4329093785896,0.01,35602.07124380445,0.0,#f9d002,Solar,True,314.6082273446474,314.6082273446474,314.6082273446474,314.6082273446474,1573.0411367232368
2030,ES1 2 solar,ES1 2,solar,1258.4329093785896,0.01,35592.07124380445,0.0,#f9d002,Solar,True,314.6082273446474,314.6082273446474,629.2164546892948,629.2164546892948,1887.6493640678843
2040,ES1 2 solar,ES1 2,solar,1258.4329093785896,0.01,35582.07124380445,0.0,#f9d002,Solar,True,314.6082273446474,314.6082273446474,943.8246820339422,943.8246820339422,2202.257591412532
2050,ES1 2 solar,ES1 2,solar,1258.4329093785896,0.01,35572.07124380445,0.0,#f9d002,Solar,True,314.6082273446474,314.6082273446474,1258.4329093785896,1258.4329093785896,2516.865818757179
2025,ES1 3 CCGT,ES1 3,CCGT,6225.0,41.0392498565482,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,1556.25,0.0,0.0,1556.25,6225.0
2030,ES1 3 CCGT,ES1 3,CCGT,6225.0,41.0392498565482,99017.72929315244,0.2,#b20101,Combined-Cycle Gas,True,1556.25,0.0,0.0,3112.5,6225.0
2040,ES1 3 CCGT,ES1 3,CCGT,6225.0,41.0392498565482,99007.72929315244,0.2,#b20101,Combined-Cycle Gas,True,1556.25,0.0,0.0,4668.75,6225.0
2050,ES1 3 CCGT,ES1 3,CCGT,6225.0,41.0392498565482,98997.72929315244,0.2,#b20101,Combined-Cycle Gas,True,1556.25,0.0,0.0,6225.0,6225.0
2025,ES1 3 coal,ES1 3,coal,543.0208674157096,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,135.7552168539274,0.0,0.0,135.7552168539274,543.0208674157096
2030,ES1 3 coal,ES1 3,coal,543.0208674157096,28.196969696969692,349966.5536298572,0.34,#707070,Coal,True,135.7552168539274,0.0,0.0,271.5104337078548,543.0208674157096
2040,ES1 3 coal,ES1 3,coal,543.0208674157096,28.196969696969692,349956.5536298572,0.34,#707070,Coal,True,135.7552168539274,0.0,0.0,407.2656505617822,543.0208674157096
2050,ES1 3 coal,ES1 3,coal,543.0208674157096,28.196969696969692,349946.5536298572,0.34,#707070,Coal,True,135.7552168539274,0.0,0.0,543.0208674157096,543.0208674157096
2025,ES1 3 offwind-ac,ES1 3,offwind-ac,3813.550615754752,0.015,184588.3619562837,0.0,#6895dd,Offshore Wind (AC),True,953.387653938688,953.387653938688,953.387653938688,953.387653938688,4766.93826969344
2030,ES1 3 offwind-ac,ES1 3,offwind-ac,3813.550615754752,0.015,184578.3619562837,0.0,#6895dd,Offshore Wind (AC),True,953.387653938688,953.387653938688,1906.775307877376,1906.775307877376,5720.325923632128
2040,ES1 3 offwind-ac,ES1 3,offwind-ac,3813.550615754752,0.015,184568.3619562837,0.0,#6895dd,Offshore Wind (AC),True,953.387653938688,953.387653938688,2860.162961816064,2860.162961816064,6673.713577570816
2050,ES1 3 offwind-ac,ES1 3,offwind-ac,3813.550615754752,0.015,184558.3619562837,0.0,#6895dd,Offshore Wind (AC),True,953.387653938688,0.0,2860.162961816064,3813.550615754752,6673.713577570816
2025,ES1 3 onwind,ES1 3,onwind,3188.486869328991,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,797.1217173322477,797.1217173322477,797.1217173322477,797.1217173322477,3985.6085866612384
2030,ES1 3 onwind,ES1 3,onwind,3188.486869328991,0.015,96075.88801996633,0.0,#235ebc,Onshore Wind,True,797.1217173322477,797.1217173322477,1594.2434346644955,1594.2434346644955,4782.730303993487
2040,ES1 3 onwind,ES1 3,onwind,3188.486869328991,0.015,96065.88801996633,0.0,#235ebc,Onshore Wind,True,797.1217173322477,797.1217173322477,2391.3651519967434,2391.3651519967434,5579.852021325734
2050,ES1 3 onwind,ES1 3,onwind,3188.486869328991,0.015,96055.88801996633,0.0,#235ebc,Onshore Wind,True,797.1217173322477,0.0,2391.3651519967434,3188.486869328991,5579.852021325734
2025,ES1 3 solar,ES1 3,solar,2215.1920363579256,0.01,35602.07124380445,0.0,#f9d002,Solar,True,553.7980090894814,553.7980090894814,553.7980090894814,553.7980090894814,2768.9900454474073
2030,ES1 3 solar,ES1 3,solar,2215.1920363579256,0.01,35592.07124380445,0.0,#f9d002,Solar,True,553.7980090894814,553.7980090894814,1107.5960181789628,1107.5960181789628,3322.7880545368885
2040,ES1 3 solar,ES1 3,solar,2215.1920363579256,0.01,35582.07124380445,0.0,#f9d002,Solar,True,553.7980090894814,553.7980090894814,1661.3940272684442,1661.3940272684442,3876.5860636263697
2050,ES1 3 solar,ES1 3,solar,2215.1920363579256,0.01,35572.07124380445,0.0,#f9d002,Solar,True,553.7980090894814,553.7980090894814,2215.1920363579256,2215.1920363579256,4430.384072715851
2025,ES1 4 CCGT,ES1 4,CCGT,1879.58,38.796220772198495,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,469.895,469.895,469.895,469.895,2349.475
2030,ES1 4 CCGT,ES1 4,CCGT,1879.58,38.796220772198495,99017.72929315244,0.2,#b20101,Combined-Cycle Gas,True,469.895,469.895,939.79,939.79,2819.37
2040,ES1 4 CCGT,ES1 4,CCGT,1879.58,38.796220772198495,99007.72929315244,0.2,#b20101,Combined-Cycle Gas,True,469.895,469.895,1409.685,1409.685,3289.265
2050,ES1 4 CCGT,ES1 4,CCGT,1879.58,38.796220772198495,98997.72929315244,0.2,#b20101,Combined-Cycle Gas,True,469.895,0.0,1409.685,1879.58,3289.265
2025,ES1 4 coal,ES1 4,coal,1521.347682661484,28.1969696969697,349976.5536298572,0.34,#707070,Coal,True,380.336920665371,0.0,0.0,380.336920665371,1521.347682661484
2030,ES1 4 coal,ES1 4,coal,1521.347682661484,28.1969696969697,349966.5536298572,0.34,#707070,Coal,True,380.336920665371,0.0,0.0,760.673841330742,1521.347682661484
