year,generator,value
2025,ES1 0 CCGT,0.0
2030,ES1 0 CCGT,0.0
2040,ES1 0 CCGT,0.0
2050,ES1 0 CCGT,0.0
2025,ES1 0 coal,0.0
2030,ES1 0 coal,0.0
2040,ES1 0 coal,0.0
2050,ES1 0 coal,0.0
2025,ES1 0 offwind-ac,0.0
2030,ES1 0 offwind-ac,0.0
2040,ES1 0 offwind-ac,0.0
2050,ES1 0 offwind-ac,0.0
2025,ES1 0 onwind,1115.8316637995958
2030,ES1 0 onwind,0.0
2040,ES1 0 onwind,0.0
2050,ES1 0 onwind,0.0
2025,ES1 0 solar,827.4647927336437
2030,ES1 0 solar,827.4647927336437
2040,ES1 0 solar,827.4647927336437
2050,ES1 0 solar,827.4647927336437
2025,ES1 1 CCGT,0.0
2030,ES1 1 CCGT,0.0
2040,ES1 1 CCGT,0.0
2050,ES1 1 CCGT,0.0
2025,ES1 1 coal,0.0
2030,ES1 1 coal,0.0
2040,ES1 1 coal,0.0
2050,ES1 1 coal,0.0
2025,ES1 1 offwind-ac,0.0
2030,ES1 1 offwind-ac,0.0
2040,ES1 1 offwind-ac,0.0
2050,ES1 1 offwind-ac,0.0
2025,ES1 1 onwind,2240.6846316422398
2030,ES1 1 onwind,2240.6846316422398
2040,ES1 1 onwind,76.73186545008866
2050,ES1 1 onwind,0.0
2025,ES1 1 solar,748.2314855859621
2030,ES1 1 solar,748.2314855859621
2040,ES1 1 solar,748.2314855859621
2050,ES1 1 solar,748.2314855859621
2025,ES1 2 CCGT,0.0
2030,ES1 2 CCGT,0.0
2040,ES1 2 CCGT,0.0
2050,ES1 2 CCGT,0.0
2025,ES1 2 coal,0.0
2030,ES1 2 coal,0.0
2040,ES1 2 coal,0.0
2050,ES1 2 coal,0.0
2025,ES1 2 offwind-ac,0.0
2030,ES1 2 offwind-ac,0.0
2040,ES1 2 offwind-ac,0.0
2050,ES1 2 offwind-ac,0.0
2025,ES1 2 onwind,3133.4868235881595
2030,ES1 2 onwind,3133.4868235881595
2040,ES1 2 onwind,1674.9902323844653
2050,ES1 2 onwind,0.0
2025,ES1 2 ror,27.487499999999997
2030,ES1 2 ror,0.0
2040,ES1 2 ror,0.0
2050,ES1 2 ror,0.0
2025,ES1 2 solar,943.8246820339422
2030,ES1 2 solar,943.8246820339422
2040,ES1 2 solar,943.8246820339422
2050,ES1 2 solar,943.8246820339422
2025,ES1 3 CCGT,0.0
2030,ES1 3 CCGT,0.0
2040,ES1 3 CCGT,0.0
2050,ES1 3 CCGT,0.0
2025,ES1 3 coal,0.0
2030,ES1 3 coal,0.0
2040,ES1 3 coal,0.0
2050,ES1 3 coal,0.0
2025,ES1 3 offwind-ac,2860.162961816064
2030,ES1 3 offwind-ac,2860.162961816064
2040,ES1 3 offwind-ac,2238.419735422901
2050,ES1 3 offwind-ac,0.0
2025,ES1 3 onwind,2391.3651519967434
2030,ES1 3 onwind,0.0
2040,ES1 3 onwind,0.0
2050,ES1 3 onwind,0.0
2025,ES1 3 solar,1661.3940272684442
2030,ES1 3 solar,1661.3940272684442
2040,ES1 3 solar,1661.3940272684442
2050,ES1 3 solar,1661.3940272684442
2025,ES1 4 CCGT,0.0
2030,ES1 4 CCGT,0.0
2040,ES1 4 CCGT,0.0
2050,ES1 4 CCGT,0.0
2025,ES1 4 coal,0.0
2030,ES1 4 coal,0.0
2040,ES1 4 coal,0.0
2050,ES1 4 coal,0.0
2025,ES1 4 offwind-ac,1364.318886734578
2030,ES1 4 offwind-ac,1364.318886734578
2040,ES1 4 offwind-ac,1364.318886734578
2050,ES1 4 offwind-ac,0.0
2025,ES1 4 onwind,2874.7628968566437
2030,ES1 4 onwind,2874.7628968566437
2040,ES1 4 onwind,2874.7628968566437
2050,ES1 4 onwind,756.6418161253077
2025,ES1 4 solar,483.1657831869435
2030,ES1 4 solar,483.1657831869435
2040,ES1 4 solar,483.1657831869435
2050,ES1 4 solar,483.1657831869435
2025,ES1 5 CCGT,0.0
2030,ES1 5 CCGT,0.0
2040,ES1 5 CCGT,0.0
2050,ES1 5 CCGT,0.0
2025,ES1 5 onwind,3112.840491588768
2030,ES1 5 onwind,3112.840491588768
2040,ES1 5 onwind,0.0
2050,ES1 5 onwind,0.0
2025,ES1 5 solar,1703.2379524026192
2030,ES1 5 solar,1703.2379524026192
2040,ES1 5 solar,1703.2379524026192
2050,ES1 5 solar,1703.2379524026192
2025,ES1 6 CCGT,0.0
2030,ES1 6 CCGT,0.0
2040,ES1 6 CCGT,0.0
2050,ES1 6 CCGT,0.0
2025,ES1 6 offwind-ac,0.0
2030,ES1 6 offwind-ac,0.0
2040,ES1 6 offwind-ac,0.0
2050,ES1 6 offwind-ac,0.0
2025,ES1 6 onwind,1964.6080627195765
2030,ES1 6 onwind,1964.6080627195765
2040,ES1 6 onwind,0.0
2050,ES1 6 onwind,0.0
2025,ES1 6 solar,757.1253999787841
2030,ES1 6 solar,757.1253999787841
2040,ES1 6 solar,757.1253999787841
2050,ES1 6 solar,757.1253999787841
2025,ES1 7 CCGT,34.5
2030,ES1 7 CCGT,0.0
2040,ES1 7 CCGT,0.0
2050,ES1 7 CCGT,0.0
2025,ES1 7 onwind,2729.2108203137072
2030,ES1 7 onwind,2729.2108203137072
2040,ES1 7 onwind,0.0
2050,ES1 7 onwind,0.0
2025,ES1 7 solar,1238.33521236472
2030,ES1 7 solar,1238.33521236472
2040,ES1 7 solar,1238.33521236472
2050,ES1 7 solar,1238.33521236472
2025,ES1 8 CCGT,1854.01626479942
2030,ES1 8 CCGT,0.0
2040,ES1 8 CCGT,0.0
2050,ES1 8 CCGT,0.0
2025,ES1 8 offwind-ac,0.0
2030,ES1 8 offwind-ac,0.0
2040,ES1 8 offwind-ac,0.0
2050,ES1 8 offwind-ac,0.0
2025,ES1 8 onwind,556.6064595482158
2030,ES1 8 onwind,0.0
2040,ES1 8 onwind,0.0
2050,ES1 8 onwind,0.0
2025,ES1 8 ror,82.768685625
2030,ES1 8 ror,0.0
2040,ES1 8 ror,0.0
2050,ES1 8 ror,0.0
2025,ES1 8 solar,398.40511922394046
2030,ES1 8 solar,398.40511922394046
2040,ES1 8 solar,398.40511922394046
2050,ES1 8 solar,398.40511922394046
2025,PT1 0 CCGT,855.75
2030,PT1 0 CCGT,0.0
2040,PT1 0 CCGT,0.0
2050,PT1 0 CCGT,0.0
2025,PT1 0 offwind-ac,792.0086484331662
2030,PT1 0 offwind-ac,0.0
2040,PT1 0 offwind-ac,0.0
2050,PT1 0 offwind-ac,0.0
2025,PT1 0 onwind,1155.6096644023141
2030,PT1 0 onwind,0.0
2040,PT1 0 onwind,0.0
2050,PT1 0 onwind,0.0
2025,PT1 0 ror,1776.6750000000002
2030,PT1 0 ror,1776.6750000000002
2040,PT1 0 ror,0.0
2050,PT1 0 ror,0.0
2025,PT1 0 solar,283.02480088590687
2030,PT1 0 solar,283.02480088590687
2040,PT1 0 solar,283.02480088590687
2050,PT1 0 solar,283.02480088590687
2025,PT1 1 CCGT,2253.0
2030,PT1 1 CCGT,2253.0
2040,PT1 1 CCGT,0.0
2050,PT1 1 CCGT,0.0
2025,PT1 1 offwind-ac,2553.132903673941
2030,PT1 1 offwind-ac,2553.132903673941
2040,PT1 1 offwind-ac,0.0
2050,PT1 1 offwind-ac,0.0
2025,PT1 1 onwind,2754.6208420865096
2030,PT1 1 onwind,2754.6208420865096
2040,PT1 1 onwind,2255.2877455882344
2050,PT1 1 onwind,0.0
2025,PT1 1 ror,202.20000000000002
2030,PT1 1 ror,202.20000000000002
2040,PT1 1 ror,0.0
2050,PT1 1 ror,0.0
2025,PT1 1 solar,486.05519911409306
2030,PT1 1 solar,486.05519911409306
2040,PT1 1 solar,486.05519911409306
2050,PT1 1 solar,486.05519911409306
