,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,88.562,307,63.56107660455487,0.2966527520098949
1,88.562,114.951,0,0.0,0.0
2,114.951,141.34,0,0.0,0.0
3,141.34,167.729,0,0.0,0.0
4,167.729,194.118,0,0.0,0.0
5,194.118,220.507,0,0.0,0.0
6,220.507,246.896,0,0.0,0.0
7,246.896,273.285,0,0.0,0.0
8,273.285,299.674,0,0.0,0.0
9,299.674,326.063,0,0.0,0.0
10,326.063,352.453,0,0.0,0.0
11,352.453,378.842,0,0.0,0.0
12,378.842,405.231,0,0.0,0.0
13,405.231,431.62,48,9.937888198757763,0.0463821892393321
14,431.62,458.009,18,3.7267080745341614,0.017393320964749534
15,458.009,484.398,0,0.0,0.0
16,484.398,510.787,0,0.0,0.0
17,510.787,537.176,0,0.0,0.0
18,537.176,563.565,0,0.0,0.0
19,563.565,589.954,0,0.0,0.0
20,589.954,616.344,0,0.0,0.0
21,616.344,642.733,0,0.0,0.0
22,642.733,669.122,0,0.0,0.0
23,669.122,695.511,0,0.0,0.0
24,695.511,721.9,0,0.0,0.0
25,721.9,748.289,0,0.0,0.0
26,748.289,774.678,0,0.0,0.0
27,774.678,801.067,0,0.0,0.0
28,801.067,827.456,18,3.7267080745341614,0.017393320964749534
29,827.456,853.846,37,7.6604554865424435,0.03575293753865182
30,853.846,880.235,0,0.0,0.0
31,880.235,906.624,0,0.0,0.0
32,906.624,933.013,0,0.0,0.0
33,933.013,959.402,0,0.0,0.0
34,959.402,985.791,0,0.0,0.0
35,985.791,1012.18,0,0.0,0.0
36,1012.18,1038.569,0,0.0,0.0
37,1038.569,1064.958,0,0.0,0.0
38,1064.958,1091.347,0,0.0,0.0
39,1091.347,1117.737,0,0.0,0.0
40,1117.737,1144.126,0,0.0,0.0
41,1144.126,1170.515,0,0.0,0.0
42,1170.515,1196.904,0,0.0,0.0
43,1196.904,1223.293,0,0.0,0.0
44,1223.293,1249.682,0,0.0,0.0
45,1249.682,1276.071,0,0.0,0.0
46,1276.071,1302.46,0,0.0,0.0
47,1302.46,1328.849,0,0.0,0.0
48,1328.849,1355.238,0,0.0,0.0
49,1355.238,1381.628,0,0.0,0.0
50,1381.628,1408.017,0,0.0,0.0
51,1408.017,1434.406,0,0.0,0.0
52,1434.406,1460.795,0,0.0,0.0
53,1460.795,1487.184,0,0.0,0.0
54,1487.184,1513.573,0,0.0,0.0
55,1513.573,1539.962,0,0.0,0.0
56,1539.962,1566.351,0,0.0,0.0
57,1566.351,1592.74,0,0.0,0.0
58,1592.74,1619.129,0,0.0,0.0
59,1619.129,1645.519,0,0.0,0.0
60,1645.519,1671.908,0,0.0,0.0
61,1671.908,1698.297,0,0.0,0.0
62,1698.297,1724.686,0,0.0,0.0
63,1724.686,1751.075,0,0.0,0.0
64,1751.075,1777.464,0,0.0,0.0
65,1777.464,1803.853,0,0.0,0.0
66,1803.853,1830.242,0,0.0,0.0
67,1830.242,1856.631,0,0.0,0.0
68,1856.631,1883.021,0,0.0,0.0
69,1883.021,1909.41,0,0.0,0.0
70,1909.41,1935.799,0,0.0,0.0
71,1935.799,1962.188,0,0.0,0.0
72,1962.188,1988.577,0,0.0,0.0
73,1988.577,2014.966,0,0.0,0.0
74,2014.966,2041.355,0,0.0,0.0
75,2041.355,2067.744,0,0.0,0.0
76,2067.744,2094.133,0,0.0,0.0
77,2094.133,2120.522,0,0.0,0.0
78,2120.522,2146.912,0,0.0,0.0
79,2146.912,2173.301,0,0.0,0.0
80,2173.301,2199.69,0,0.0,0.0
81,2199.69,2226.079,0,0.0,0.0
82,2226.079,2252.468,0,0.0,0.0
83,2252.468,2278.857,0,0.0,0.0
84,2278.857,2305.246,0,0.0,0.0
85,2305.246,2331.635,0,0.0,0.0
86,2331.635,2358.024,0,0.0,0.0
87,2358.024,2384.413,0,0.0,0.0
88,2384.413,2410.803,0,0.0,0.0
89,2410.803,2437.192,0,0.0,0.0
90,2437.192,2463.581,0,0.0,0.0
91,2463.581,2489.97,0,0.0,0.0
92,2489.97,2516.359,0,0.0,0.0
93,2516.359,2542.748,0,0.0,0.0
94,2542.748,2569.137,1,0.2070393374741201,0.000966295609152752
95,2569.137,2595.526,0,0.0,0.0
96,2595.526,2621.915,2,0.4140786749482402,0.001932591218305504
97,2621.915,2648.304,11,2.2774327122153206,0.010629251700680272
98,2648.304,2674.694,17,3.5196687370600417,0.016427025355596783
99,2674.694,2701.083,24,4.968944099378882,0.02319109461966605
