scenario,year,week,hour,generator,value
NT,2025,21,0,ES1 0 CCGT,3009.6761641448793
NT,2025,21,1,ES1 0 CCGT,2579.2616651608146
NT,2025,21,2,ES1 0 CCGT,2963.7633377522784
NT,2025,21,3,ES1 0 CCGT,3425.3
NT,2025,21,4,ES1 0 CCGT,3425.3
NT,2025,21,5,ES1 0 CCGT,3425.3
NT,2025,21,6,ES1 0 CCGT,3425.3
NT,2025,21,7,ES1 0 CCGT,3425.3
NT,2025,21,8,ES1 0 CCGT,2210.932606182393
NT,2025,21,9,ES1 0 CCGT,1930.4091125235059
NT,2025,21,10,ES1 0 CCGT,1830.69956138742
NT,2025,21,11,ES1 0 CCGT,1916.6816522409536
NT,2025,21,12,ES1 0 CCGT,1869.055133950585
NT,2025,21,13,ES1 0 CCGT,1899.1074333647352
NT,2025,21,14,ES1 0 CCGT,1821.4268164398834
NT,2025,21,15,ES1 0 CCGT,1549.7006912087743
NT,2025,21,16,ES1 0 CCGT,2329.066685980763
NT,2025,21,17,ES1 0 CCGT,2959.814591054662
NT,2025,21,18,ES1 0 CCGT,3195.9857146147215
NT,2025,21,19,ES1 0 CCGT,3343.935995037014
NT,2025,21,20,ES1 0 CCGT,3284.1995865742424
NT,2025,21,21,ES1 0 CCGT,3091.0735745317174
NT,2025,21,22,ES1 0 CCGT,2928.61553491497
NT,2025,21,23,ES1 0 CCGT,2310.9328504715395
NT,2025,21,24,ES1 0 CCGT,1897.35631350643
NT,2025,21,25,ES1 0 CCGT,1729.8270207810438
NT,2025,21,26,ES1 0 CCGT,2571.569902545422
NT,2025,21,27,ES1 0 CCGT,2693.7205419654397
NT,2025,21,28,ES1 0 CCGT,2816.472583293796
NT,2025,21,29,ES1 0 CCGT,2986.0670750015756
NT,2025,21,30,ES1 0 CCGT,3425.3
NT,2025,21,31,ES1 0 CCGT,3425.3
NT,2025,21,32,ES1 0 CCGT,2954.9097494384746
NT,2025,21,33,ES1 0 CCGT,2805.504673586807
NT,2025,21,34,ES1 0 CCGT,2688.1797476584
NT,2025,21,35,ES1 0 CCGT,1736.4102976821014
