year,generator,dual_value
2025,ES1 0 CCGT,0.0
2030,ES1 0 CCGT,0.0
2040,ES1 0 CCGT,0.0
2050,ES1 0 CCGT,0.0
2025,ES1 0 coal,0.0
2030,ES1 0 coal,0.0
2040,ES1 0 coal,0.0
2050,ES1 0 coal,0.0
2025,ES1 0 offwind-ac,0.0
2030,ES1 0 offwind-ac,0.0
2040,ES1 0 offwind-ac,0.0
2050,ES1 0 offwind-ac,0.0
2025,ES1 0 onwind,0.0
2030,ES1 0 onwind,0.0
2040,ES1 0 onwind,0.0
2050,ES1 0 onwind,0.0
2025,ES1 0 solar,-24488.73175508484
2030,ES1 0 solar,-4563.045275746874
2040,ES1 0 solar,0.0
2050,ES1 0 solar,0.0
2025,ES1 1 CCGT,0.0
2030,ES1 1 CCGT,0.0
2040,ES1 1 CCGT,0.0
2050,ES1 1 CCGT,0.0
2025,ES1 1 coal,0.0
2030,ES1 1 coal,0.0
2040,ES1 1 coal,0.0
2050,ES1 1 coal,0.0
2025,ES1 1 offwind-ac,0.0
2030,ES1 1 offwind-ac,0.0
2040,ES1 1 offwind-ac,0.0
2050,ES1 1 offwind-ac,0.0
2025,ES1 1 onwind,-16226.99343706376
2030,ES1 1 onwind,0.0
2040,ES1 1 onwind,0.0
2050,ES1 1 onwind,0.0
2025,ES1 1 solar,-11969.253890563137
2030,ES1 1 solar,0.0
2040,ES1 1 solar,0.0
2050,ES1 1 solar,0.0
2025,ES1 2 CCGT,0.0
2030,ES1 2 CCGT,0.0
2040,ES1 2 CCGT,0.0
2050,ES1 2 CCGT,0.0
2025,ES1 2 coal,0.0
2030,ES1 2 coal,0.0
2040,ES1 2 coal,0.0
2050,ES1 2 coal,0.0
2025,ES1 2 offwind-ac,0.0
2030,ES1 2 offwind-ac,0.0
2040,ES1 2 offwind-ac,0.0
2050,ES1 2 offwind-ac,0.0
2025,ES1 2 onwind,-60865.25052553091
2030,ES1 2 onwind,-14574.245605797354
2040,ES1 2 onwind,0.0
2050,ES1 2 onwind,0.0
2025,ES1 2 ror,0.0
2030,ES1 2 ror,0.0
2040,ES1 2 ror,0.0
2050,ES1 2 ror,0.0
2025,ES1 2 solar,-30253.176074482373
2030,ES1 2 solar,-8618.843456988452
2040,ES1 2 solar,0.0
2050,ES1 2 solar,0.0
2025,ES1 3 CCGT,0.0
2030,ES1 3 CCGT,0.0
2040,ES1 3 CCGT,0.0
2050,ES1 3 CCGT,0.0
2025,ES1 3 coal,0.0
2030,ES1 3 coal,0.0
2040,ES1 3 coal,0.0
2050,ES1 3 coal,0.0
2025,ES1 3 offwind-ac,0.0
2030,ES1 3 offwind-ac,0.0
2040,ES1 3 offwind-ac,0.0
2050,ES1 3 offwind-ac,0.0
2025,ES1 3 onwind,0.0
2030,ES1 3 onwind,0.0
2040,ES1 3 onwind,0.0
2050,ES1 3 onwind,0.0
2025,ES1 3 solar,-27790.990329463137
2030,ES1 3 solar,-6717.944934803811
2040,ES1 3 solar,0.0
2050,ES1 3 solar,0.0
2025,ES1 4 CCGT,0.0
2030,ES1 4 CCGT,0.0
2040,ES1 4 CCGT,0.0
2050,ES1 4 CCGT,0.0
2025,ES1 4 coal,0.0
2030,ES1 4 coal,0.0
2040,ES1 4 coal,0.0
2050,ES1 4 coal,0.0
2025,ES1 4 offwind-ac,-126844.63387132004
2030,ES1 4 offwind-ac,-34458.93930983254
2040,ES1 4 offwind-ac,0.0
2050,ES1 4 offwind-ac,0.0
2025,ES1 4 onwind,-102876.36645166128
2030,ES1 4 onwind,-42091.473437334505
2040,ES1 4 onwind,-6163.515425072539
2050,ES1 4 onwind,0.0
2025,ES1 4 solar,-15709.059209584944
2030,ES1 4 solar,0.0
2040,ES1 4 solar,0.0
2050,ES1 4 solar,0.0
2025,ES1 5 CCGT,0.0
2030,ES1 5 CCGT,0.0
2040,ES1 5 CCGT,0.0
2050,ES1 5 CCGT,0.0
2025,ES1 5 onwind,0.0
2030,ES1 5 onwind,0.0
2040,ES1 5 onwind,0.0
2050,ES1 5 onwind,0.0
2025,ES1 5 solar,-30160.316518821008
2030,ES1 5 solar,-8548.16186487029
2040,ES1 5 solar,0.0
2050,ES1 5 solar,0.0
2025,ES1 6 CCGT,0.0
2030,ES1 6 CCGT,0.0
2040,ES1 6 CCGT,0.0
2050,ES1 6 CCGT,0.0
2025,ES1 6 offwind-ac,0.0
2030,ES1 6 offwind-ac,0.0
2040,ES1 6 offwind-ac,0.0
2050,ES1 6 offwind-ac,0.0
2025,ES1 6 onwind,-5363.236533160118
2030,ES1 6 onwind,0.0
2040,ES1 6 onwind,0.0
2050,ES1 6 onwind,0.0
2025,ES1 6 solar,-32523.188681541054
2030,ES1 6 solar,-10159.305499524611
2040,ES1 6 solar,-113.157044360094
2050,ES1 6 solar,0.0
2025,ES1 7 CCGT,0.0
2030,ES1 7 CCGT,0.0
2040,ES1 7 CCGT,0.0
2050,ES1 7 CCGT,0.0
2025,ES1 7 onwind,0.0
2030,ES1 7 onwind,0.0
2040,ES1 7 onwind,0.0
2050,ES1 7 onwind,0.0
2025,ES1 7 solar,-20736.727293821765
2030,ES1 7 solar,-2358.714749589839
2040,ES1 7 solar,0.0
2050,ES1 7 solar,0.0
2025,ES1 8 CCGT,0.0
2030,ES1 8 CCGT,0.0
2040,ES1 8 CCGT,0.0
2050,ES1 8 CCGT,0.0
2025,ES1 8 offwind-ac,0.0
2030,ES1 8 offwind-ac,0.0
2040,ES1 8 offwind-ac,0.0
2050,ES1 8 offwind-ac,0.0
2025,ES1 8 onwind,-10837.253754239391
2030,ES1 8 onwind,0.0
2040,ES1 8 onwind,0.0
2050,ES1 8 onwind,0.0
2025,ES1 8 ror,0.0
2030,ES1 8 ror,0.0
2040,ES1 8 ror,0.0
2050,ES1 8 ror,0.0
2025,ES1 8 solar,-28847.250194893677
2030,ES1 8 solar,-7436.457580260672
2040,ES1 8 solar,0.0
2050,ES1 8 solar,0.0
2025,PT1 0 CCGT,0.0
2030,PT1 0 CCGT,0.0
2040,PT1 0 CCGT,0.0
2050,PT1 0 CCGT,0.0
2025,PT1 0 offwind-ac,-31717.239266668556
2030,PT1 0 offwind-ac,0.0
2040,PT1 0 offwind-ac,0.0
2050,PT1 0 offwind-ac,0.0
2025,PT1 0 onwind,0.0
2030,PT1 0 onwind,0.0
2040,PT1 0 onwind,0.0
2050,PT1 0 onwind,0.0
2025,PT1 0 ror,-83487.91857453088
2030,PT1 0 ror,0.0
2040,PT1 0 ror,0.0
2050,PT1 0 ror,0.0
2025,PT1 0 solar,-16500.49020290511
2030,PT1 0 solar,-246.32744618081415
2040,PT1 0 solar,0.0
2050,PT1 0 solar,0.0
2025,PT1 1 CCGT,0.0
2030,PT1 1 CCGT,0.0
2040,PT1 1 CCGT,0.0
2050,PT1 1 CCGT,0.0
2025,PT1 1 offwind-ac,0.0
2030,PT1 1 offwind-ac,0.0
2040,PT1 1 offwind-ac,0.0
2050,PT1 1 offwind-ac,0.0
2025,PT1 1 onwind,-8061.98958608435
2030,PT1 1 onwind,0.0
2040,PT1 1 onwind,0.0
2050,PT1 1 onwind,0.0
2025,PT1 1 ror,-87660.08097658059
2030,PT1 1 ror,0.0
2040,PT1 1 ror,0.0
2050,PT1 1 ror,0.0
2025,PT1 1 solar,-27273.30670399061
2030,PT1 1 solar,-7026.668495618047
2040,PT1 1 solar,0.0
2050,PT1 1 solar,0.0
