dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,424,0.8194186765615338
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,680,1.3141620284477427
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,89376,10630,11.893573218761189
branch_flow_new_duals_min,89376,34367,38.45215717866094
branch_flow_old_duals_max,89376,10583,11.840986394557824
branch_flow_old_duals_min,89376,34381,38.46782133906194
emissions_duals,7,0,0.0
gen_extension_duals,204,116,56.86274509803921
gen_output_new_duals,239904,160616,66.9501133786848
gen_output_old_duals,239904,108027,45.02926170468187
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
