year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,15225.166000000001,1581.4139839855548,11,3,156603835.90652722,41762361.85199588,8352472.370399176,1623296962.4562664,668197789.631934,2291494752.0882006,2448098587.9947276
2025,coal,2369.6967413669563,1074.7604337078549,5,3,376140952.5668057,3458703.080506813,1175959.0473723165,97524945.95186633,94076723.78978533,191601669.74165165,567742622.3084574
2025,offwind-ac,6867.326110916833,3510.3416068798733,9,5,648079763.8260847,47901146.01710804,0.0,718517.1902566205,0.0,718517.1902566205,648798281.0163413
2025,onwind,16019.751672361648,13681.620461830757,11,9,1314610651.6271496,104276613.54819863,0.0,1564149.2032229775,0.0,1564149.2032229775,1316174800.8303726
2025,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,37976707.07523018,0.0,0.0,0.0,0.0,416628781.84968704
2025,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,39200200.26390292,0.0,392002.0026390292,0.0,392002.0026390292,226590104.73019844
2030,CCGT,15225.166000000001,1175.384185215922,11,2,116395626.90901487,49982093.31602034,9996418.663204066,1943140375.9016814,799713493.0563254,2742853868.958007,2859249495.8670216
2030,coal,2369.6967413669563,1735.70212721025,5,4,607455048.6090553,4789417.539586943,1628401.9634595609,135047061.2298682,130272157.07676487,265319218.30663306,872774266.9156883
2030,offwind-ac,6867.326110916833,3510.3416068798733,9,5,648079763.8260847,52088003.55418275,0.0,781320.0533127413,0.0,781320.0533127413,648861083.8793975
2030,onwind,16019.751672361648,13681.620461830757,11,9,1314610651.6271496,109989344.17211631,0.0,1649840.1625817425,0.0,1649840.1625817425,1316260491.7897313
2030,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,37976707.07523018,0.0,0.0,0.0,0.0,416628781.84968704
2030,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,39200200.26390292,0.0,392002.0026390292,0.0,392002.0026390292,226590104.73019844
2040,CCGT,15225.166000000001,1800.75,11,2,178324183.5246443,80144721.3986089,16028944.279721778,3121068208.002255,1282315542.3777423,4403383750.379997,4581707933.904641
2040,coal,2369.6967413669563,242.9,5,1,85009304.87669231,10192704.95611653,3465519.68507962,287403392.7777706,277241574.8063696,564644967.5841402,649654272.4608325
2040,offwind-ac,6867.326110916833,3510.3416068798733,9,5,648079763.8260847,56858491.7123553,0.0,852877.3756853294,0.0,852877.3756853294,648932641.2017701
2040,onwind,16019.751672361648,13681.620461830757,11,9,1314610651.6271496,126408390.04939558,0.0,1896125.8507409315,0.0,1896125.8507409315,1316506777.4778905
2040,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,37976707.075230174,0.0,0.0,0.0,0.0,416628781.84968704
2040,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,39200200.26390291,0.0,392002.0026390291,0.0,392002.0026390291,226590104.73019844
2050,CCGT,15225.166000000001,3963.757,11,4,392521855.17983806,93639336.32294466,18727867.264588933,3652118153.565612,1498229381.1671145,5150347534.732727,5542869389.912565
2050,coal,2369.6967413669563,618.7062895335196,5,2,216532694.92005774,12892994.39342264,4383618.093763699,363543372.2145384,350689447.5010959,714232819.7156343,930765514.6356921
2050,offwind-ac,6867.326110916833,3510.3416068798733,9,5,648079763.8260847,57963030.63818399,0.0,869445.4595727597,0.0,869445.4595727597,648949209.2856575
2050,onwind,16019.751672361648,13681.620461830757,11,9,1314610651.6271496,132272291.33912838,0.0,1984084.3700869232,0.0,1984084.3700869232,1316594735.9972365
2050,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,37976707.07523018,0.0,0.0,0.0,0.0,416628781.84968704
2050,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,39200200.26390292,0.0,392002.0026390292,0.0,392002.0026390292,226590104.73019844
