scenario,year,week,hour,branch,dual_value
NT,2025,11,0,88,0.0
NT,2025,11,1,88,0.0004652819992462387
NT,2025,11,2,88,0.00042342269302990615
NT,2025,11,3,88,0.00042342269302990615
NT,2025,11,4,88,0.00042342269302990615
NT,2025,11,5,88,0.0004652819992462387
NT,2025,11,6,88,0.0004681406649888036
NT,2025,11,7,88,0.0004681406649888036
NT,2025,11,8,88,0.0004652819992462387
NT,2025,11,9,88,0.0004615348122887353
NT,2025,11,10,88,0.00046215630093322975
NT,2025,11,11,88,0.00046277781548657615
NT,2025,11,12,88,0.0004633993559498625
NT,2025,11,13,88,0.0004640209223241662
NT,2025,11,14,88,0.00046404026660601893
NT,2025,11,15,88,0.0004640596116943064
NT,2025,11,16,88,0.00046407895758905616
NT,2025,11,17,88,0.0004652819992462387
NT,2025,11,18,88,0.000466807961027705
NT,2025,11,19,88,0.0004683736126630454
NT,2025,11,20,88,0.0004681406649888036
NT,2025,11,21,88,0.0004681406649888036
NT,2025,11,22,88,0.0004683736126630454
NT,2025,11,23,88,0.0004683736126630454
NT,2025,11,24,88,0.0004681406649888036
NT,2025,11,25,88,0.0004262429772020118
NT,2025,11,26,88,0.0004262429772020118
NT,2025,11,27,88,0.00042740957467633713
NT,2025,11,28,88,0.00042743288294686845
NT,2025,11,29,88,0.00042743288294686845
NT,2025,11,30,88,0.00043089292802594455
NT,2025,11,31,88,0.0004583020307736239
NT,2025,11,32,88,0.00042805093059332145
NT,2025,11,33,88,0.00042743288294686845
NT,2025,11,34,88,0.00042743288294686845
NT,2025,11,35,88,0.0004282302805565015
NT,2025,11,36,88,0.00046966302155266383
NT,2025,11,37,88,0.00046966302155266383
NT,2025,11,38,88,0.00046966302155266383
NT,2025,11,39,88,0.00046966302155266383
NT,2025,11,40,88,0.00046966302155266383
NT,2025,11,41,88,0.000474108908892407
NT,2025,11,42,88,0.0005038404762614625
NT,2025,11,43,88,0.0005038614805561232
NT,2025,11,44,88,0.0005038824857264215
NT,2025,11,45,88,0.0005039034917723918
NT,2025,11,46,88,0.000474108908892407
NT,2025,11,47,88,0.00046966302155266383
NT,2025,11,48,88,0.00046838109497172094
NT,2025,11,49,88,0.0004683736126630454
NT,2025,11,50,88,0.0004652819992462387
NT,2025,11,51,88,0.0004652819992462387
NT,2025,11,52,88,0.0004652819992462387
NT,2025,11,53,88,0.0004683736126630454
NT,2025,11,54,88,0.0004683736126630454
NT,2025,11,55,88,0.0004681406649888036
NT,2025,11,56,88,0.0004681406649888036
NT,2025,11,57,88,0.0004652819992462387
NT,2025,11,58,88,0.0004640209223241662
NT,2025,11,59,88,0.0004441675501432363
NT,2025,11,60,88,0.000444788314774656
NT,2025,11,61,88,0.00044480685728020495
NT,2025,11,62,88,0.00044482540055875813
NT,2025,11,63,88,0.00044484394461035163
NT,2025,11,64,88,0.0004640983042903045
NT,2025,11,65,88,0.0004683736126630454
NT,2025,11,66,88,0.00042743288294686845
NT,2025,11,67,88,0.00042743288294686845
NT,2025,11,68,88,0.00042743288294686845
NT,2025,11,69,88,0.00042743288294686845
NT,2025,11,70,88,0.00042743288294686845
NT,2025,11,71,88,0.00042740957467633713
NT,2025,11,72,88,0.0004262429772020118
NT,2025,11,73,88,0.0004260040855635578
NT,2025,11,74,88,0.0004260040855635578
NT,2025,11,75,88,0.0004262429772020118
NT,2025,11,76,88,0.0004262429772020118
NT,2025,11,77,88,0.00042743288294686845
NT,2025,11,78,88,0.00030906152324611626
NT,2025,11,79,88,0.00025820661658701184
NT,2025,11,80,88,0.00025820661658701184
NT,2025,11,81,88,0.00041783138046320355
NT,2025,11,82,88,0.00042330249522509636
NT,2025,11,83,88,0.0004452149880301151
NT,2025,11,84,88,0.00044523354832297905
NT,2025,11,85,88,0.0004452521093895967
NT,2025,11,86,88,0.0004452706712299871
NT,2025,11,87,88,0.00042339073656444566
NT,2025,11,88,88,0.00042740957467633713
NT,2025,11,89,88,0.00036219230007714223
NT,2025,11,90,88,0.9425712150505027
NT,2025,11,91,88,0.9426105093201367
NT,2025,11,92,88,0.9426498052279322
NT,2025,11,93,88,0.94268910277389
NT,2025,11,94,88,0.9427284019581015
NT,2025,11,95,88,0.9427677027806324
NT,2025,11,96,88,0.9428070052415501
NT,2025,11,97,88,0.8693816106096924
NT,2025,11,98,88,0.8694178537231128
NT,2025,11,99,88,0.8822235688495047
NT,2025,11,100,88,0.9429642314704633
NT,2025,11,101,88,0.9430035421243402
NT,2025,11,102,88,0.9430428544170216
NT,2025,11,103,88,0.9430821683485615
NT,2025,11,104,88,0.9431214839190469
NT,2025,11,105,88,0.5482674570120993
NT,2025,11,106,88,0.5482903133957413
NT,2025,11,107,88,0.0
NT,2025,11,108,88,0.0
NT,2025,11,109,88,0.0
NT,2025,11,110,88,0.0
NT,2025,11,111,88,0.0
NT,2025,11,112,88,0.5484274717087587
NT,2025,11,113,88,4.274713575145856
NT,2025,11,114,88,4.274891781041886
NT,2025,11,115,88,4.275069994367055
NT,2025,11,116,88,4.2752482151216125
NT,2025,11,117,88,4.275426443305932
NT,2025,11,118,88,4.2756046789202315
NT,2025,11,119,88,4.275782921964949
NT,2025,11,120,88,4.685524820025947
NT,2025,11,121,88,0.000474108908892407
NT,2025,11,122,88,0.000473852041019404
NT,2025,11,123,88,0.0004738717951447
NT,2025,11,124,88,0.0004738915500935089
NT,2025,11,125,88,0.0004739113058658712
NT,2025,11,126,88,0.000474108908892407
NT,2025,11,127,88,0.000474108908892407
NT,2025,11,128,88,0.000474108908892407
NT,2025,11,129,88,0.0004739903371915315
NT,2025,11,130,88,0.00047401009708216546
NT,2025,11,131,88,0.0004740298577965615
NT,2025,11,132,88,0.0004740496193347493
NT,2025,11,133,88,0.00047406938169676315
NT,2025,11,134,88,0.0004740891448826391
NT,2025,11,135,88,0.000474108908892407
NT,2025,11,136,88,0.0004741286737261094
NT,2025,11,137,88,1.7260803729979552
NT,2025,11,138,88,1.7261523304973587
NT,2025,11,139,88,1.726224290996532
NT,2025,11,140,88,1.7262962544956537
NT,2025,11,141,88,1.726368220994793
NT,2025,11,142,88,1.7264401904941025
NT,2025,11,143,88,1.7265121629936862
NT,2025,11,144,88,1.7265841384937373
NT,2025,11,145,88,1.6824988773276008
NT,2025,11,146,88,1.7122832214398664
NT,2025,11,147,88,1.7268000829975445
NT,2025,11,148,88,1.7268720705004732
NT,2025,11,149,88,1.726944061004466
NT,2025,11,150,88,1.7270160545096243
NT,2025,11,151,88,1.7270880510160744
NT,2025,11,152,88,1.727160050523931
NT,2025,11,153,88,1.7272320530333356
NT,2025,11,154,88,1.7273040585444088
