line,scenario,year,utilization_rate,congestion_rate
88,DE,2040,0.9682497600336983,0.8422619047619048
88,DE,2050,0.9654537216365016,0.8095238095238095
88,GA,2040,0.983744091620495,0.8943452380952381
88,GA,2050,0.9792205087257332,0.8735119047619048
88,NT,2025,0.9795693144135942,0.8824404761904762
88,NT,2030,0.9880991158761692,0.9270833333333335
88,NT,2040,0.9703981943981145,0.8452380952380952
89,DE,2040,0.8595395753713071,0.3898809523809524
89,DE,2050,0.876683099926811,0.43154761904761907
89,GA,2040,0.8319499115295756,0.2663690476190476
89,GA,2050,0.8457228263501554,0.3199404761904762
89,NT,2025,0.8815849369212375,0.40327380952380953
89,NT,2030,0.8343831714901189,0.2455357142857143
89,NT,2040,0.8541451238498728,0.3511904761904762
90,DE,2040,0.5297206460310733,0.08630952380952382
90,DE,2050,0.543002607804915,0.09077380952380952
90,GA,2040,0.48331257502254127,0.08333333333333333
90,GA,2050,0.4998385294562754,0.0892857142857143
90,NT,2025,0.5171085295832436,0.06398809523809525
90,NT,2030,0.4441751448976779,0.053571428571428575
90,NT,2040,0.5208614529605667,0.08630952380952382
91,DE,2040,0.9389448435025586,0.755952380952381
91,DE,2050,0.9414957266988739,0.773809523809524
91,GA,2040,0.948634453782726,0.7827380952380952
91,GA,2050,0.9494576137693537,0.7886904761904762
91,NT,2025,0.9216691917008136,0.7038690476190477
91,NT,2030,0.9593877525908843,0.7991071428571429
91,NT,2040,0.9414517066556444,0.755952380952381
92,DE,2040,0.8368708670733939,0.6889880952380952
92,DE,2050,0.8515059221340834,0.699404761904762
92,GA,2040,0.8326440278294459,0.6726190476190477
92,GA,2050,0.8359265911573747,0.7008928571428572
92,NT,2025,0.8294341003057268,0.6502976190476191
92,NT,2030,0.8062469289401308,0.6279761904761905
92,NT,2040,0.8314510851381175,0.6815476190476191
93,DE,2040,1.0,1.0
93,DE,2050,1.0,1.0
93,GA,2040,1.0,1.0
93,GA,2050,1.0,1.0
93,NT,2025,1.0,1.0
93,NT,2030,1.0,1.0
93,NT,2040,1.0,1.0
95,DE,2040,0.9678947155067954,0.9389880952380953
95,DE,2050,0.968959526343106,0.9389880952380953
95,GA,2040,0.9760800956969569,0.9449404761904763
95,GA,2050,0.9722058187407524,0.9419642857142857
95,NT,2025,0.9949505709695651,0.9732142857142857
95,NT,2030,0.9878051895081009,0.9717261904761906
95,NT,2040,0.9683355878321676,0.9375
96,DE,2040,0.27798689441624097,0.0
96,DE,2050,0.2677576740744009,0.0
96,GA,2040,0.27099924173959555,0.0
96,GA,2050,0.2666337810959562,0.0
96,NT,2025,0.24336881211076045,0.0
96,NT,2030,0.25821807720487305,0.0
96,NT,2040,0.2763483381623072,0.0
97,DE,2040,0.1301091080669744,0.0
97,DE,2050,0.12713935952496605,0.0
97,GA,2040,0.13542763094897298,0.0
97,GA,2050,0.13677292760385867,0.0
97,NT,2025,0.14117645077748447,0.0
97,NT,2030,0.13585769319452987,0.0
97,NT,2040,0.13290048159084566,0.0
99,DE,2040,1.0000000000000002,1.0
99,DE,2050,1.0000000000000002,1.0
99,GA,2040,1.0000000000000002,1.0
99,GA,2050,1.0000000000000002,1.0
99,NT,2025,1.0000000000000002,1.0
99,NT,2030,1.0000000000000002,1.0
99,NT,2040,1.0000000000000002,1.0
100,DE,2040,0.2833277884353762,0.0
100,DE,2050,0.28905381308792855,0.0
100,GA,2040,0.2695398498071912,0.0
100,GA,2050,0.26862364432183716,0.0
100,NT,2025,0.24317770660726068,0.0
100,NT,2030,0.2578813212609891,0.0
100,NT,2040,0.2809746195785441,0.0
101,DE,2040,0.9488322815565373,0.8601190476190477
101,DE,2050,0.9483448040567373,0.8526785714285715
101,GA,2040,0.9520823123035578,0.8630952380952381
101,GA,2050,0.9490942929377122,0.8541666666666666
101,NT,2025,0.9710074223757876,0.8913690476190477
101,NT,2030,0.9543546464593794,0.8690476190476191
101,NT,2040,0.9480965465820936,0.8601190476190477
102,DE,2040,0.45480475089631567,0.011904761904761906
102,DE,2050,0.4365569330344701,0.011904761904761906
102,GA,2040,0.48421497409165287,0.020833333333333332
102,GA,2050,0.4671227751810762,0.029761904761904764
102,NT,2025,0.37189742488298966,0.0
102,NT,2030,0.5121568505706077,0.020833333333333332
102,NT,2040,0.4631379238275006,0.019345238095238096
103,DE,2040,0.6527931952719002,0.34226190476190477
103,DE,2050,0.6469489121520404,0.3571428571428572
103,GA,2040,0.6537745231883495,0.3452380952380953
103,GA,2050,0.6686185178962534,0.3764880952380953
103,NT,2025,0.6079570463553925,0.3125
103,NT,2030,0.6282770563983469,0.2976190476190476
103,NT,2040,0.657299270170096,0.3511904761904762
104,DE,2040,0.9157657089492884,0.7544642857142857
104,DE,2050,0.9026772200043514,0.742559523809524
104,GA,2040,0.92681503385424,0.7291666666666666
104,GA,2050,0.9113575430691607,0.711309523809524
104,NT,2025,0.9648948858997555,0.8571428571428572
104,NT,2030,0.9280709927965977,0.7395833333333334
104,NT,2040,0.9174517126459293,0.75
105,DE,2040,0.4831279325378581,0.0
105,DE,2050,0.4929127292675356,0.0014880952380952382
105,GA,2040,0.47583873456588777,0.0
105,GA,2050,0.48426880276350626,0.0
105,NT,2025,0.42502800378535743,0.0
105,NT,2030,0.47124214130732583,0.0
105,NT,2040,0.4798230365730769,0.0
106,DE,2040,0.9971302014617965,0.9895833333333334
106,DE,2050,0.9944202955629098,0.9776785714285715
106,GA,2040,0.9964255527604553,0.9806547619047621
106,GA,2050,0.989724251219095,0.9598214285714287
106,NT,2025,1.0,1.0
106,NT,2030,0.9991550639109177,0.9955357142857143
106,NT,2040,0.9968136641010067,0.986607142857143
107,DE,2040,0.9393187507455589,0.8839285714285715
107,DE,2050,0.938177302296064,0.8824404761904762
107,GA,2040,0.9517954090479015,0.8958333333333335
107,GA,2050,0.9377666469906123,0.8913690476190477
107,NT,2025,0.9991687909049807,0.9940476190476191
107,NT,2030,0.9595815029241415,0.9017857142857144
107,NT,2040,0.941997166895358,0.8854166666666666
219,DE,2040,0.8102227775390353,0.25446428571428575
219,DE,2050,0.8027272598740619,0.2455357142857143
219,GA,2040,0.8037267851073457,0.24255952380952384
219,GA,2050,0.796680956167172,0.2693452380952381
219,NT,2025,0.7260536643341003,0.049107142857142856
219,NT,2030,0.8225453753559656,0.2693452380952381
219,NT,2040,0.8080942019540982,0.2574404761904762
