year,generator,dual_value
2025,ES1 4 offwind-ac,-415835.9208735573
2025,ES1 4 onwind,-301135.1487959797
2025,PT1 1 ror,-282837.60912452545
2025,PT1 0 ror,-277051.8243237034
2025,ES1 2 onwind,-261303.5182188659
2025,PT1 0 offwind-ac,-233924.46214589517
2025,ES1 6 solar,-222630.7151544653
2025,ES1 3 solar,-214403.41231568152
2025,ES1 5 solar,-213346.12086367063
2025,PT1 1 solar,-211705.72806160589
2025,ES1 0 solar,-211027.93466805224
2025,ES1 8 solar,-207657.40232809377
2025,ES1 2 solar,-202933.1161406851
2025,ES1 7 solar,-200050.9668644575
2025,PT1 0 solar,-174817.69663804877
2025,ES1 4 solar,-154010.17365745967
2025,ES1 1 solar,-151489.02084549132
2025,ES1 1 onwind,-149380.31503189716
2025,ES1 8 onwind,-148782.04736864218
2025,ES1 8 ror,-133714.73120851014
2025,ES1 2 offwind-ac,-133359.22182180817
2025,ES1 6 onwind,-132258.1481701399
2025,ES1 2 ror,-129621.30937581878
2025,ES1 1 offwind-ac,-116692.13833542156
2025,PT1 1 offwind-ac,-102257.47023463612
2025,PT1 1 onwind,-84383.31950207944
2025,ES1 7 onwind,-66146.04505894738
2025,ES1 8 offwind-ac,-56497.23711212736
2025,ES1 5 onwind,-50274.32549971907
2025,PT1 0 onwind,-40066.72929227937
2025,ES1 0 onwind,-36526.17364334903
2025,ES1 3 offwind-ac,-29532.75190290596
2025,PT1 1 CCGT,-13653.176243469046
2025,ES1 7 CCGT,-5506.569695123966
2025,ES1 3 onwind,-4116.072444500856
2025,PT1 0 CCGT,-2492.2322594941943
2030,ES1 4 offwind-ac,-267771.0646593822
2030,ES1 4 onwind,-201200.610765972
2030,ES1 2 onwind,-165426.83719363477
2030,ES1 6 solar,-155839.79245447525
2030,ES1 3 solar,-149709.0769305646
2030,ES1 5 solar,-148771.97932617788
2030,PT1 1 solar,-148124.90532262856
2030,ES1 0 solar,-146982.1010550853
2030,ES1 8 solar,-144391.0850016976
2030,ES1 2 solar,-141356.49353641795
2030,ES1 7 solar,-138692.51454470455
2030,PT1 1 ror,-129368.2211505272
2030,PT1 0 offwind-ac,-127319.71722699916
2030,PT1 0 ror,-125238.88639333606
2030,PT1 0 solar,-119851.09291791462
2030,ES1 4 solar,-105034.69134706218
2030,ES1 1 solar,-103155.9033520014
2030,ES1 1 onwind,-85141.32142946686
2030,ES1 8 onwind,-81322.8810635102
2030,ES1 6 onwind,-68431.01321678751
2030,ES1 2 offwind-ac,-46817.635997941325
2030,ES1 1 offwind-ac,-41469.56589020812
2030,PT1 1 onwind,-37265.615003363775
2030,PT1 1 offwind-ac,-27578.95547331267
2030,ES1 7 onwind,-23442.364090009676
2030,ES1 8 ror,-20376.16072371698
2030,ES1 2 ror,-17354.653412385742
2030,ES1 5 onwind,-9962.85559260952
2030,PT1 1 CCGT,-4789.300439996587
2030,PT1 0 onwind,-4637.640909474983
2040,ES1 4 offwind-ac,-125467.24977968037
2040,ES1 4 onwind,-105528.69516198814
2040,ES1 6 solar,-93524.98847244994
2040,ES1 3 solar,-89918.5163262723
2040,PT1 1 solar,-89352.16125475046
2040,ES1 5 solar,-88610.31454029278
2040,ES1 0 solar,-87604.28267308368
2040,ES1 8 solar,-85606.24804977351
2040,ES1 2 onwind,-84860.99310593525
2040,ES1 2 solar,-83527.38193066894
2040,ES1 7 solar,-82086.70200987015
2040,PT1 0 solar,-69381.81240940897
2040,ES1 4 solar,-59336.86861482642
2040,ES1 1 solar,-58003.27699991523
2040,ES1 1 onwind,-27373.65372142593
2040,ES1 8 onwind,-26964.601070183016
2040,PT1 0 offwind-ac,-26338.251667044504
2040,ES1 6 onwind,-21813.781785860207
2050,ES1 6 solar,-30231.611789219576
2050,PT1 1 solar,-29542.13402995409
2050,ES1 3 solar,-29152.217232276314
2050,ES1 5 solar,-27501.12952217444
2050,ES1 0 solar,-27346.03343255952
2050,ES1 8 solar,-25818.64149816353
2050,ES1 2 solar,-24905.32247441842
2050,ES1 7 solar,-24540.393502900428
2050,PT1 0 solar,-17982.601490294684
2050,ES1 4 solar,-12955.503427133786
2050,ES1 1 solar,-12204.573233016672
2050,ES1 4 onwind,-8476.006589734141
