,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,0.0,1.0,13156,25.42517006802721,1705,2046,5698,3707
1,1.0,2.0,0,0.0,0,0,0,0
2,2.0,3.0,0,0.0,0,0,0,0
3,3.0,4.0,0,0.0,0,0,0,0
4,4.0,5.0,0,0.0,0,0,0,0
5,5.0,6.0,0,0.0,0,0,0,0
6,6.0,7.0,0,0.0,0,0,0,0
7,7.0,8.0,66,0.12755102040816327,66,0,0,0
8,8.0,9.0,0,0.0,0,0,0,0
9,9.0,10.0,0,0.0,0,0,0,0
10,10.0,11.0,0,0.0,0,0,0,0
11,11.0,12.0,0,0.0,0,0,0,0
12,12.0,13.0,0,0.0,0,0,0,0
13,13.0,14.0,0,0.0,0,0,0,0
14,14.0,15.0,0,0.0,0,0,0,0
15,15.0,16.0,0,0.0,0,0,0,0
16,16.0,17.0,0,0.0,0,0,0,0
17,17.0,18.0,0,0.0,0,0,0,0
18,18.0,19.0,0,0.0,0,0,0,0
19,19.0,20.0,0,0.0,0,0,0,0
20,20.0,21.0,0,0.0,0,0,0,0
21,21.0,22.0,0,0.0,0,0,0,0
22,22.0,23.0,0,0.0,0,0,0,0
23,23.0,24.0,0,0.0,0,0,0,0
24,24.0,25.0,0,0.0,0,0,0,0
25,25.0,26.0,0,0.0,0,0,0,0
26,26.0,27.0,0,0.0,0,0,0,0
27,27.0,28.0,0,0.0,0,0,0,0
28,28.0,29.0,0,0.0,0,0,0,0
29,29.0,30.0,0,0.0,0,0,0,0
30,30.0,31.0,0,0.0,0,0,0,0
31,31.0,32.0,0,0.0,0,0,0,0
32,32.0,33.0,0,0.0,0,0,0,0
33,33.0,34.0,0,0.0,0,0,0,0
34,34.0,35.0,0,0.0,0,0,0,0
35,35.0,36.0,0,0.0,0,0,0,0
36,36.0,37.0,0,0.0,0,0,0,0
37,37.0,38.0,0,0.0,0,0,0,0
38,38.0,39.0,7,0.013528138528138528,0,7,0,0
39,39.0,40.0,34,0.06570810142238713,0,15,15,4
40,40.0,41.0,73,0.1410791589363018,0,0,51,22
41,41.0,42.0,18,0.03478664192949907,0,0,0,18
42,42.0,43.0,0,0.0,0,0,0,0
43,43.0,44.0,7,0.013528138528138528,0,0,0,7
44,44.0,45.0,33,0.06377551020408163,0,0,0,33
45,45.0,46.0,10,0.01932591218305504,0,0,0,10
46,46.0,47.0,5,0.00966295609152752,0,0,0,5
47,47.0,48.0,0,0.0,0,0,0,0
48,48.0,49.0,74,0.1430117501546073,0,0,40,34
49,49.0,50.0,489,0.9450371057513914,18,24,246,201
50,50.0,51.0,554,1.0706555349412492,44,108,227,175
51,51.0,52.0,341,0.6590136054421769,13,58,158,112
52,52.0,53.0,569,1.099644403215832,18,71,272,208
53,53.0,54.0,4106,7.9352195423623995,398,809,1823,1076
54,54.0,55.0,13732,26.53834260977118,2227,2190,5748,3567
55,55.0,56.0,9158,17.698670377241807,1686,1217,3792,2463
56,56.0,57.0,4143,8.006725417439704,731,504,1672,1236
57,57.0,58.0,2722,5.2605132962275825,364,231,1294,833
58,58.0,59.0,1128,2.1799628942486082,91,74,571,392
59,59.0,60.0,217,0.4193722943722944,8,14,114,81
60,60.0,61.0,146,0.2821583178726036,1,2,57,86
61,61.0,62.0,196,0.3787878787878788,0,0,108,88
62,62.0,63.0,203,0.3923160173160173,0,0,126,77
63,63.0,64.0,78,0.1507421150278293,0,0,40,38
64,64.0,65.0,6,0.011595547309833025,0,0,3,3
65,65.0,66.0,3,0.0057977736549165125,0,0,1,2
66,66.0,67.0,23,0.04444959802102659,0,0,5,18
67,67.0,68.0,48,0.0927643784786642,0,2,19,27
68,68.0,69.0,159,0.3072820037105751,0,12,60,87
69,69.0,70.0,95,0.18359616573902288,0,6,36,53
70,70.0,inf,145,0.28022572665429807,22,2,0,121
