year,generator,dual_value
2025,ES1 0 CCGT,0.0
2030,ES1 0 CCGT,0.0
2040,ES1 0 CCGT,0.0
2050,ES1 0 CCGT,0.0
2025,ES1 0 coal,0.0
2030,ES1 0 coal,0.0
2040,ES1 0 coal,0.0
2050,ES1 0 coal,0.0
2025,ES1 0 offwind-ac,0.0
2030,ES1 0 offwind-ac,0.0
2040,ES1 0 offwind-ac,0.0
2050,ES1 0 offwind-ac,0.0
2025,ES1 0 onwind,0.0
2030,ES1 0 onwind,0.0
2040,ES1 0 onwind,0.0
2050,ES1 0 onwind,0.0
2025,ES1 0 solar,-113114.15233212594
2030,ES1 0 solar,-113114.15233212594
2040,ES1 0 solar,-113114.15233212594
2050,ES1 0 solar,-113114.15233212594
2025,ES1 1 CCGT,0.0
2030,ES1 1 CCGT,0.0
2040,ES1 1 CCGT,0.0
2050,ES1 1 CCGT,0.0
2025,ES1 1 coal,0.0
2030,ES1 1 coal,-0.0
2040,ES1 1 coal,0.0
2050,ES1 1 coal,0.0
2025,ES1 1 offwind-ac,-21071.78038999549
2030,ES1 1 offwind-ac,-21071.78038999549
2040,ES1 1 offwind-ac,-21071.78038999549
2050,ES1 1 offwind-ac,-21071.78038999549
2025,ES1 1 onwind,-72126.03797049673
2030,ES1 1 onwind,-72126.03797049673
2040,ES1 1 onwind,-72126.03797049673
2050,ES1 1 onwind,-72126.03797049673
2025,ES1 1 solar,-77290.36800975824
2030,ES1 1 solar,-77290.36800975824
2040,ES1 1 solar,-77290.36800975824
2050,ES1 1 solar,-77290.36800975824
2025,ES1 2 CCGT,0.0
2030,ES1 2 CCGT,0.0
2040,ES1 2 CCGT,0.0
2050,ES1 2 CCGT,0.0
2025,ES1 2 coal,0.0
2030,ES1 2 coal,0.0
2040,ES1 2 coal,-0.0
2050,ES1 2 coal,0.0
2025,ES1 2 offwind-ac,-26356.07578617701
2030,ES1 2 offwind-ac,-26356.07578617701
2040,ES1 2 offwind-ac,-26356.07578617701
2050,ES1 2 offwind-ac,-26356.07578617701
2025,ES1 2 onwind,-141999.20497835253
2030,ES1 2 onwind,-141999.20497835253
2040,ES1 2 onwind,-141999.20497835253
2050,ES1 2 onwind,-141999.20497835253
2025,ES1 2 ror,-16915.283394275
2030,ES1 2 ror,-16915.283394275
2040,ES1 2 ror,-16915.283394275
2050,ES1 2 ror,-16915.283394275
2025,ES1 2 solar,-115010.02012585741
2030,ES1 2 solar,-115010.02012585741
2040,ES1 2 solar,-115010.02012585741
2050,ES1 2 solar,-115010.02012585741
2025,ES1 3 CCGT,0.0
2030,ES1 3 CCGT,0.0
2040,ES1 3 CCGT,0.0
2050,ES1 3 CCGT,0.0
2025,ES1 3 coal,0.0
2030,ES1 3 coal,-0.0
2040,ES1 3 coal,0.0
2050,ES1 3 coal,0.0
2025,ES1 3 offwind-ac,0.0
2030,ES1 3 offwind-ac,0.0
2040,ES1 3 offwind-ac,0.0
2050,ES1 3 offwind-ac,0.0
2025,ES1 3 onwind,0.0
2030,ES1 3 onwind,0.0
2040,ES1 3 onwind,0.0
2050,ES1 3 onwind,0.0
2025,ES1 3 solar,-115704.86812884419
2030,ES1 3 solar,-115704.86812884419
2040,ES1 3 solar,-115704.86812884419
2050,ES1 3 solar,-115704.86812884419
2025,ES1 4 CCGT,0.0
2030,ES1 4 CCGT,0.0
2040,ES1 4 CCGT,0.0
2050,ES1 4 CCGT,0.0
2025,ES1 4 coal,0.0
2030,ES1 4 coal,0.0
2040,ES1 4 coal,0.0
2050,ES1 4 coal,-0.0
2025,ES1 4 offwind-ac,-267328.8102996956
2030,ES1 4 offwind-ac,-267328.8102996956
2040,ES1 4 offwind-ac,-267328.8102996956
2050,ES1 4 offwind-ac,-267328.8102996956
2025,ES1 4 onwind,-197593.76625146798
2030,ES1 4 onwind,-197593.76625146798
2040,ES1 4 onwind,-197593.76625146798
2050,ES1 4 onwind,-197593.76625146798
2025,ES1 4 solar,-76907.3457399931
2030,ES1 4 solar,-76907.3457399931
2040,ES1 4 solar,-76907.3457399931
2050,ES1 4 solar,-76907.3457399931
2025,ES1 5 CCGT,0.0
2030,ES1 5 CCGT,0.0
2040,ES1 5 CCGT,-0.0
2050,ES1 5 CCGT,0.0
2025,ES1 5 onwind,0.0
2030,ES1 5 onwind,0.0
2040,ES1 5 onwind,-0.0
2050,ES1 5 onwind,0.0
2025,ES1 5 solar,-118283.03090482346
2030,ES1 5 solar,-118283.03090482346
2040,ES1 5 solar,-118283.03090482346
2050,ES1 5 solar,-118283.03090482346
2025,ES1 6 CCGT,0.0
2030,ES1 6 CCGT,0.0
2040,ES1 6 CCGT,0.0
2050,ES1 6 CCGT,0.0
2025,ES1 6 offwind-ac,0.0
2030,ES1 6 offwind-ac,0.0
2040,ES1 6 offwind-ac,0.0
2050,ES1 6 offwind-ac,0.0
2025,ES1 6 onwind,-53547.799509551274
2030,ES1 6 onwind,-53547.799509551274
2040,ES1 6 onwind,-53547.799509551274
2050,ES1 6 onwind,-53547.799509551274
2025,ES1 6 solar,-124531.62116604112
2030,ES1 6 solar,-124531.62116604112
2040,ES1 6 solar,-124531.62116604112
2050,ES1 6 solar,-124531.62116604112
2025,ES1 7 CCGT,0.0
2030,ES1 7 CCGT,0.0
2040,ES1 7 CCGT,-0.0
2050,ES1 7 CCGT,0.0
2025,ES1 7 onwind,-16358.685564192623
2030,ES1 7 onwind,-16358.685564192623
2040,ES1 7 onwind,-16358.685564192623
2050,ES1 7 onwind,-16358.685564192623
2025,ES1 7 solar,-104120.93958930875
2030,ES1 7 solar,-104120.93958930875
2040,ES1 7 solar,-104120.93958930875
2050,ES1 7 solar,-104120.93958930875
2025,ES1 8 CCGT,0.0
2030,ES1 8 CCGT,0.0
2040,ES1 8 CCGT,0.0
2050,ES1 8 CCGT,0.0
2025,ES1 8 offwind-ac,0.0
2030,ES1 8 offwind-ac,0.0
2040,ES1 8 offwind-ac,0.0
2050,ES1 8 offwind-ac,0.0
2025,ES1 8 onwind,-60734.675529899134
2030,ES1 8 onwind,-60734.675529899134
2040,ES1 8 onwind,-60734.675529899134
2050,ES1 8 onwind,-60734.675529899134
2025,ES1 8 ror,-19932.69147452945
2030,ES1 8 ror,-19932.69147452945
2040,ES1 8 ror,-19932.69147452945
2050,ES1 8 ror,-19932.69147452945
2025,ES1 8 solar,-117252.39023610196
2030,ES1 8 solar,-117252.39023610196
2040,ES1 8 solar,-117252.39023610196
2050,ES1 8 solar,-117252.39023610196
2025,PT1 0 CCGT,0.0
2030,PT1 0 CCGT,0.0
2040,PT1 0 CCGT,-0.0
2050,PT1 0 CCGT,0.0
2025,PT1 0 offwind-ac,-118787.98448923277
2030,PT1 0 offwind-ac,-118787.98448923277
2040,PT1 0 offwind-ac,-118787.98448923277
2050,PT1 0 offwind-ac,-118787.98448923277
2025,PT1 0 onwind,0.0
2030,PT1 0 onwind,0.0
2040,PT1 0 onwind,0.0
2050,PT1 0 onwind,0.0
2025,PT1 0 ror,-123472.97626605781
2030,PT1 0 ror,-123472.97626605781
2040,PT1 0 ror,-123472.97626605781
2050,PT1 0 ror,-123472.97626605781
2025,PT1 0 solar,-86736.24453766838
2030,PT1 0 solar,-86736.24453766838
2040,PT1 0 solar,-86736.24453766838
2050,PT1 0 solar,-86736.24453766838
2025,PT1 1 CCGT,0.0
2030,PT1 1 CCGT,0.0
2040,PT1 1 CCGT,-0.0
2050,PT1 1 CCGT,0.0
2025,PT1 1 offwind-ac,-21014.812934986287
2030,PT1 1 offwind-ac,-21014.812934986287
2040,PT1 1 offwind-ac,-21014.812934986287
2050,PT1 1 offwind-ac,-21014.812934986287
2025,PT1 1 onwind,-32155.76468503692
2030,PT1 1 onwind,-32155.76468503692
2040,PT1 1 onwind,-32155.76468503692
2050,PT1 1 onwind,-32155.76468503692
2025,PT1 1 ror,-127680.53384678974
2030,PT1 1 ror,-127680.53384678974
2040,PT1 1 ror,-127680.53384678974
2050,PT1 1 ror,-127680.53384678974
2025,PT1 1 solar,-111571.06878041946
2030,PT1 1 solar,-111571.06878041946
2040,PT1 1 solar,-111571.06878041946
2050,PT1 1 solar,-111571.06878041946
