,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,98.783,407,90.2439024390244,0.7865646258503401
76,2844.548,2881.158,8,1.7738359201773837,0.015460729746444033
77,2881.158,2917.768,6,1.3303769401330376,0.011595547309833025
98,3649.972,3686.582,5,1.1086474501108647,0.00966295609152752
97,3613.362,3649.972,5,1.1086474501108647,0.00966295609152752
75,2807.937,2844.548,4,0.8869179600886918,0.007730364873222016
96,3576.752,3613.362,4,0.8869179600886918,0.007730364873222016
95,3540.141,3576.752,3,0.6651884700665188,0.0057977736549165125
99,3686.582,3723.192,3,0.6651884700665188,0.0057977736549165125
78,2917.768,2954.378,2,0.4434589800443459,0.003865182436611008
