dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,2502,4.835343228200371
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,168,0.3246753246753247
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,1,1.3157894736842104
branch_flow_new_duals_max,89376,10040,11.23344074471894
branch_flow_new_duals_min,89376,34319,38.3984514858575
branch_flow_old_duals_max,89376,9748,10.906731113498031
branch_flow_old_duals_min,89376,33713,37.72041711421411
emissions_duals,7,0,0.0
gen_extension_duals,204,99,48.529411764705884
gen_output_new_duals,239904,152231,63.454965319461124
gen_output_old_duals,239904,154096,64.23235961051087
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51458,99.44727891156462
