dual,year,scenario,total_duals,nonzero_duals,percent_nonzero,average_dual
battery_charge_new_max_duals,2025,NT,7392,241,3.2602813852813854,-0.006349872192400662
battery_charge_new_max_duals,2030,NT,7392,837,11.32305194805195,-0.0046073267470861205
battery_charge_new_max_duals,2040,DE,7392,219,2.9626623376623376,-0.011892951537173742
battery_charge_new_max_duals,2040,GA,7392,631,8.53625541125541,-0.005889368245960333
battery_charge_new_max_duals,2040,NT,7392,225,3.043831168831169,-0.00954341678695254
battery_charge_new_max_duals,2050,DE,7392,199,2.692099567099567,-0.004059016246509561
battery_charge_new_max_duals,2050,GA,7392,150,2.029220779220779,-0.030092533550533297
battery_discharge_new_max_duals,2025,NT,7392,37,0.5005411255411255,-0.00010467548006563205
battery_discharge_new_max_duals,2030,NT,7392,39,0.5275974025974026,-0.0001760937820628196
battery_discharge_new_max_duals,2040,DE,7392,19,0.25703463203463206,-2.141227813647554e-05
battery_discharge_new_max_duals,2040,GA,7392,3,0.040584415584415584,-0.0001397501127762649
battery_discharge_new_max_duals,2040,NT,7392,9,0.12175324675324675,1.1503182521645456e-17
battery_discharge_new_max_duals,2050,DE,7392,32,0.4329004329004329,-0.000247097961554696
battery_discharge_new_max_duals,2050,GA,7392,29,0.3923160173160173,-0.00016277751446972406
branch_extension_duals,2025,All,19,1,5.263157894736842,-159.23470043922643
branch_extension_duals,2030,All,19,0,0.0,0.0
branch_extension_duals,2040,All,19,0,0.0,0.0
branch_extension_duals,2050,All,19,0,0.0,0.0
branch_flow_new_duals_max,2025,NT,12768,1412,11.05889724310777,-0.233399736351231
branch_flow_new_duals_max,2030,NT,12768,1486,11.638471177944862,-0.08272715046316757
branch_flow_new_duals_max,2040,DE,12768,1402,10.980576441102757,-0.2765960176176599
branch_flow_new_duals_max,2040,GA,12768,1417,11.098057644110277,-0.12281823893120283
branch_flow_new_duals_max,2040,NT,12768,1417,11.098057644110277,-0.2910961176594758
branch_flow_new_duals_max,2050,DE,12768,1480,11.591478696741854,-0.19629058510334316
branch_flow_new_duals_max,2050,GA,12768,1426,11.168546365914787,-0.36305142216952935
branch_flow_new_duals_min,2025,NT,12768,5258,41.18107769423559,0.29784376254904665
branch_flow_new_duals_min,2030,NT,12768,5185,40.609335839599,0.14997012033165014
branch_flow_new_duals_min,2040,DE,12768,4762,37.29636591478697,0.37365688676066494
branch_flow_new_duals_min,2040,GA,12768,4751,37.21021303258145,0.2056749433337501
branch_flow_new_duals_min,2040,NT,12768,4780,37.43734335839599,0.38991126026767303
branch_flow_new_duals_min,2050,DE,12768,4797,37.570488721804516,0.27257611899809375
branch_flow_new_duals_min,2050,GA,12768,4786,37.484335839599,0.4586184468569091
branch_flow_old_duals_max,2025,NT,12768,1283,10.048558897243108,-0.028837619768464415
branch_flow_old_duals_max,2030,NT,12768,1373,10.75344611528822,-0.03442446192656702
branch_flow_old_duals_max,2040,DE,12768,1400,10.964912280701753,-0.0612170012345793
branch_flow_old_duals_max,2040,GA,12768,1412,11.05889724310777,-0.046090711820724904
branch_flow_old_duals_max,2040,NT,12768,1415,11.082393483709273,-0.05926909076552562
branch_flow_old_duals_max,2050,DE,12768,1453,11.38001253132832,-0.11451271090708522
branch_flow_old_duals_max,2050,GA,12768,1412,11.05889724310777,-0.05675673548691652
branch_flow_old_duals_min,2025,NT,12768,4984,39.03508771929825,0.09328164596627998
branch_flow_old_duals_min,2030,NT,12768,4880,38.22055137844612,0.10166743179504946
branch_flow_old_duals_min,2040,DE,12768,4759,37.272869674185465,0.15827787037758434
branch_flow_old_duals_min,2040,GA,12768,4755,37.241541353383454,0.12894741622327213
branch_flow_old_duals_min,2040,NT,12768,4777,37.41384711779448,0.15808423337372282
branch_flow_old_duals_min,2050,DE,12768,4767,37.33552631578947,0.1907982448018356
branch_flow_old_duals_min,2050,GA,12768,4791,37.5234962406015,0.15232376017429622
emissions_duals,2025,NT,1,0,0.0,0.0
emissions_duals,2030,NT,1,0,0.0,0.0
emissions_duals,2040,DE,1,0,0.0,0.0
emissions_duals,2040,GA,1,0,0.0,0.0
emissions_duals,2040,NT,1,0,0.0,0.0
emissions_duals,2050,DE,1,0,0.0,0.0
emissions_duals,2050,GA,1,0,0.0,0.0
gen_extension_duals,2025,All,51,24,47.05882352941176,-44100.76277985335
gen_extension_duals,2030,All,51,24,47.05882352941176,-44105.468662206295
gen_extension_duals,2040,All,51,25,49.01960784313725,-44110.37062299061
gen_extension_duals,2050,All,51,26,50.98039215686274,-44115.468662206295
gen_output_new_duals,2025,NT,34272,19987,58.3187441643324,-15.24877974466722
gen_output_new_duals,2030,NT,34272,20608,60.130718954248366,-17.27304715423182
gen_output_new_duals,2040,DE,34272,22537,65.75922035480859,-29.667989110314565
gen_output_new_duals,2040,GA,34272,21514,62.774276377217554,-22.220242034406684
gen_output_new_duals,2040,NT,34272,22284,65.02100840336135,-30.864785478664377
gen_output_new_duals,2050,DE,34272,23147,67.5390989729225,-44.86343414349133
gen_output_new_duals,2050,GA,34272,22154,64.64169000933707,-26.601698767876407
gen_output_old_duals,2025,NT,34272,20037,58.464635854341736,-15.246526237896983
gen_output_old_duals,2030,NT,34272,20666,60.29995331465919,-17.271915928696625
gen_output_old_duals,2040,DE,34272,22918,66.87091503267973,-27.6566054309118
gen_output_old_duals,2040,GA,34272,21721,63.378267973856204,-22.120790714479185
gen_output_old_duals,2040,NT,34272,22641,66.062675070028,-27.38014449447671
gen_output_old_duals,2050,DE,34272,23656,69.02427637721755,-44.3484384345637
gen_output_old_duals,2050,GA,34272,22457,65.52579365079364,-26.403114566468734
load_shedding_duals,2025,NT,7392,0,0.0,0.0
load_shedding_duals,2030,NT,7392,0,0.0,0.0
load_shedding_duals,2040,DE,7392,0,0.0,0.0
load_shedding_duals,2040,GA,7392,0,0.0,0.0
load_shedding_duals,2040,NT,7392,0,0.0,0.0
load_shedding_duals,2050,DE,7392,0,0.0,0.0
load_shedding_duals,2050,GA,7392,0,0.0,0.0
power_balance_duals,2025,NT,7392,7348,99.40476190476191,22.188251290960494
power_balance_duals,2030,NT,7392,7348,99.40476190476191,25.118010443010856
power_balance_duals,2040,DE,7392,7359,99.55357142857143,40.06133314634916
power_balance_duals,2040,GA,7392,7348,99.40476190476191,32.13725042669707
power_balance_duals,2040,NT,7392,7348,99.40476190476191,39.71926482316392
power_balance_duals,2050,DE,7392,7359,99.55357142857143,56.94211649239
power_balance_duals,2050,GA,7392,7348,99.40476190476191,38.323132074628404
