,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,-0.0,1.0,19987,38.62670068027211,4312,4048,7293,4334
1,54.0,55.0,6837,13.213126159554731,735,900,3226,1976
2,55.0,56.0,5490,10.609925788497216,449,540,2738,1763
3,56.0,57.0,3788,7.320655534941249,297,265,1754,1472
4,53.0,54.0,3364,6.501236858379715,442,594,1423,905
5,52.0,53.0,2047,3.9560142238713665,258,241,757,791
6,57.0,58.0,1965,3.7975417439703154,279,267,801,618
7,51.0,52.0,1643,3.175247371675943,144,39,818,642
8,58.0,59.0,1189,2.2978509585652445,146,177,564,302
9,50.0,51.0,1167,2.2553339517625233,22,19,834,292
10,59.0,60.0,841,1.6253092145949288,62,113,401,265
11,60.0,61.0,713,1.3779375386518244,22,78,360,253
12,70.0,inf,612,1.1827458256029684,33,33,162,384
13,61.0,62.0,536,1.0358688930117501,15,23,272,226
14,49.0,50.0,371,0.716991341991342,0,4,288,79
15,62.0,63.0,244,0.471552257266543,11,7,164,62
16,4.0,5.0,143,0.2763605442176871,143,0,0,0
17,63.0,64.0,99,0.1913265306122449,0,0,58,41
18,64.0,65.0,98,0.1893939393939394,0,0,37,61
19,65.0,66.0,97,0.1874613481756339,0,0,12,85
20,66.0,67.0,90,0.17393320964749537,0,0,24,66
21,45.0,46.0,61,0.11788806431663575,0,0,48,13
22,46.0,47.0,59,0.11402288188002473,0,5,17,37
23,67.0,68.0,58,0.11209029066171923,0,0,27,31
24,68.0,69.0,58,0.11209029066171923,0,0,42,16
25,44.0,45.0,35,0.06764069264069264,9,5,12,9
26,69.0,70.0,31,0.05991032776747063,0,0,21,10
27,47.0,48.0,25,0.0483147804576376,3,5,0,17
28,39.0,40.0,17,0.032854050711193565,0,8,9,0
29,40.0,41.0,14,0.027056277056277056,0,2,11,1
30,35.0,36.0,12,0.02319109461966605,0,0,0,12
31,3.0,4.0,11,0.021258503401360544,0,11,0,0
32,48.0,49.0,10,0.01932591218305504,8,1,1,0
33,41.0,42.0,10,0.01932591218305504,0,0,2,8
34,36.0,37.0,10,0.01932591218305504,0,0,0,10
35,43.0,44.0,9,0.017393320964749534,2,6,0,1
36,42.0,43.0,2,0.003865182436611008,0,0,0,2
37,38.0,39.0,1,0.001932591218305504,0,1,0,0
38,37.0,38.0,0,0.0,0,0,0,0
39,22.0,23.0,0,0.0,0,0,0,0
40,6.0,7.0,0,0.0,0,0,0,0
41,5.0,6.0,0,0.0,0,0,0,0
42,25.0,26.0,0,0.0,0,0,0,0
43,24.0,25.0,0,0.0,0,0,0,0
44,2.0,3.0,0,0.0,0,0,0,0
45,23.0,24.0,0,0.0,0,0,0,0
46,21.0,22.0,0,0.0,0,0,0,0
47,20.0,21.0,0,0.0,0,0,0,0
48,19.0,20.0,0,0.0,0,0,0,0
49,18.0,19.0,0,0.0,0,0,0,0
50,17.0,18.0,0,0.0,0,0,0,0
51,16.0,17.0,0,0.0,0,0,0,0
52,15.0,16.0,0,0.0,0,0,0,0
53,7.0,8.0,0,0.0,0,0,0,0
54,8.0,9.0,0,0.0,0,0,0,0
55,9.0,10.0,0,0.0,0,0,0,0
56,10.0,11.0,0,0.0,0,0,0,0
57,11.0,12.0,0,0.0,0,0,0,0
58,12.0,13.0,0,0.0,0,0,0,0
59,26.0,27.0,0,0.0,0,0,0,0
60,27.0,28.0,0,0.0,0,0,0,0
61,28.0,29.0,0,0.0,0,0,0,0
62,29.0,30.0,0,0.0,0,0,0,0
63,30.0,31.0,0,0.0,0,0,0,0
64,31.0,32.0,0,0.0,0,0,0,0
65,32.0,33.0,0,0.0,0,0,0,0
66,14.0,15.0,0,0.0,0,0,0,0
67,33.0,34.0,0,0.0,0,0,0,0
68,34.0,35.0,0,0.0,0,0,0,0
69,1.0,2.0,0,0.0,0,0,0,0
70,13.0,14.0,0,0.0,0,0,0,0
