line,scenario,year,utilization_rate,congestion_rate
88,DE,2040,0.9779638057851302,0.8043154761904762
88,DE,2050,0.9749315646178348,0.7857142857142857
88,GA,2040,0.9904185045281261,0.9136904761904762
88,GA,2050,0.9880945021777912,0.896577380952381
88,NT,2025,1.0,1.0
88,NT,2030,0.9915955360008063,0.914434523809524
88,NT,2040,0.9802091837041557,0.8221726190476191
89,DE,2040,0.9202334346529043,0.49032738095238104
89,DE,2050,0.929797660693693,0.5446428571428571
89,GA,2040,0.9069900880576682,0.3824404761904762
89,GA,2050,0.9144025019622107,0.4404761904761905
89,NT,2025,0.7802839710029136,0.07663690476190477
89,NT,2030,0.9083404405824914,0.38318452380952384
89,NT,2040,0.9175027202923094,0.47247023809523814
90,DE,2040,0.7315816068894306,0.18229166666666666
90,DE,2050,0.7329617774122406,0.19940476190476192
90,GA,2040,0.7128413638540527,0.11904761904761905
90,GA,2050,0.7178513070456144,0.13392857142857142
90,NT,2025,0.6237140399604623,0.04315476190476191
90,NT,2030,0.7154012738442147,0.1287202380952381
90,NT,2040,0.7282198814070332,0.16592261904761904
91,DE,2040,0.9738819535070781,0.8392857142857144
91,DE,2050,0.9763870726248614,0.8608630952380952
91,GA,2040,0.9770142479980715,0.8668154761904762
91,GA,2050,0.9776157510465998,0.8601190476190477
91,NT,2025,0.9860443945524257,0.9129464285714286
91,NT,2030,0.9762375318156651,0.8608630952380952
91,NT,2040,0.9734062987977039,0.8407738095238095
92,DE,2040,0.803355021440894,0.6123511904761905
92,DE,2050,0.8145167236019224,0.6458333333333334
92,GA,2040,0.7859631462829331,0.5915178571428571
92,GA,2050,0.8130980698055715,0.6383928571428572
92,NT,2025,0.7478830838598719,0.5632440476190477
92,NT,2030,0.7649229261641906,0.5662202380952381
92,NT,2040,0.8002112194568691,0.6116071428571429
93,DE,2040,0.9999825242748351,1.0
93,DE,2050,0.9999274949554535,1.0
93,GA,2040,1.0,1.0
93,GA,2050,1.0,1.0
93,NT,2025,1.0,1.0
93,NT,2030,1.0,1.0
93,NT,2040,0.9999939342956509,1.0
95,DE,2040,0.9784468141457798,0.9367559523809524
95,DE,2050,0.9741544343954935,0.9322916666666667
95,GA,2040,0.9831496772010528,0.9568452380952381
95,GA,2050,0.9839092528137352,0.9486607142857143
95,NT,2025,0.9975168111897098,0.9821428571428572
95,NT,2030,0.9887607671524858,0.9635416666666666
95,NT,2040,0.9800972427783037,0.9389880952380953
96,DE,2040,0.14763765498677853,0.0
96,DE,2050,0.1606377301914835,0.0007440476190476191
96,GA,2040,0.15941073968786584,0.0
96,GA,2050,0.16780773163881138,0.0007440476190476191
96,NT,2025,0.13646424703011845,0.0
96,NT,2030,0.13616526536153922,0.0
96,NT,2040,0.14980723982298624,0.0
97,DE,2040,0.10219306836307329,0.0
97,DE,2050,0.09917227011965062,0.0
97,GA,2040,0.11535245280972208,0.0
97,GA,2050,0.11410968999543757,0.0
97,NT,2025,0.1164989774022835,0.0
97,NT,2030,0.11624554690658134,0.0
97,NT,2040,0.10561244079572082,0.0
99,DE,2040,1.0000000000000002,1.0
99,DE,2050,1.0000000000000002,1.0
99,GA,2040,1.0000000000000002,1.0
99,GA,2050,1.0000000000000002,1.0
99,NT,2025,1.0000000000000002,1.0
99,NT,2030,1.0000000000000002,1.0
99,NT,2040,1.0000000000000002,1.0
100,DE,2040,0.41985156483028524,0.0
100,DE,2050,0.40584260742386974,0.0
100,GA,2040,0.43403560168407496,0.0
100,GA,2050,0.4250809633108148,0.0
100,NT,2025,0.21627800951051343,0.0
100,NT,2030,0.4471750530410727,0.0
100,NT,2040,0.4239499807566775,0.0
101,DE,2040,0.9567468003138286,0.8824404761904762
101,DE,2050,0.9574544759470516,0.8861607142857144
101,GA,2040,0.9641616863962262,0.8995535714285715
101,GA,2050,0.9627499082038817,0.8980654761904762
101,NT,2025,0.9826089687213457,0.9285714285714286
101,NT,2030,0.9697289416972092,0.9040178571428572
101,NT,2040,0.9584905924840759,0.8861607142857144
102,DE,2040,0.552195987275415,0.024553571428571428
102,DE,2050,0.5332449045499472,0.024553571428571428
102,GA,2040,0.5721384575384001,0.04092261904761905
102,GA,2050,0.546456204142534,0.046130952380952384
102,NT,2025,0.45642787897023435,0.0029761904761904765
102,NT,2030,0.6015549687599805,0.028273809523809524
102,NT,2040,0.5527578689536582,0.026785714285714288
103,DE,2040,0.6730988230598847,0.4069940476190476
103,DE,2050,0.7162043431607313,0.4538690476190476
103,GA,2040,0.6512776848844268,0.3645833333333333
103,GA,2050,0.6791450417550237,0.4248511904761905
103,NT,2025,0.512988938644211,0.19717261904761904
103,NT,2030,0.6051671409656328,0.31101190476190477
103,NT,2040,0.6652431537011791,0.40476190476190477
104,DE,2040,0.9231007792532666,0.7351190476190477
104,DE,2050,0.9167145445837293,0.7224702380952381
104,GA,2040,0.9196871437688162,0.7038690476190477
104,GA,2050,0.9043016886724758,0.6793154761904762
104,NT,2025,0.918329226844844,0.6904761904761906
104,NT,2030,0.9462668019420172,0.7730654761904762
104,NT,2040,0.9217454501876797,0.730654761904762
105,DE,2040,0.49872773433476125,0.0
105,DE,2050,0.5109443304689036,0.0014880952380952382
105,GA,2040,0.48911657586832996,0.0
105,GA,2050,0.5024938078200276,0.0
105,NT,2025,0.48789995197883557,0.0
105,NT,2030,0.4618397085723848,0.0
105,NT,2040,0.49690467250086934,0.0
106,DE,2040,0.9978991434124004,0.9873511904761906
106,DE,2050,0.9962988900462875,0.9791666666666666
106,GA,2040,0.9960045380581083,0.976934523809524
106,GA,2050,0.9946251222701361,0.9732142857142857
106,NT,2025,1.0,1.0
106,NT,2030,0.9986415922805756,0.9895833333333334
106,NT,2040,0.9976185295774365,0.9873511904761906
107,DE,2040,0.8562861080864961,0.7433035714285715
107,DE,2050,0.8482605839474627,0.734375
107,GA,2040,0.8920913026997278,0.78125
107,GA,2050,0.85826660114646,0.7299107142857144
107,NT,2025,0.9984597058544453,0.9970238095238096
107,NT,2030,0.9136908214873302,0.8236607142857144
107,NT,2040,0.8635896338369906,0.7492559523809524
219,DE,2040,0.8336585648952749,0.24851190476190477
219,DE,2050,0.8338603970315914,0.23586309523809523
219,GA,2040,0.8248789513618152,0.2492559523809524
