dual,year,scenario,total_duals,nonzero_duals,percent_nonzero,average_dual
battery_charge_new_max_duals,2025,NT,14784,95,0.6425865800865801,-0.0010183943284468818
battery_charge_new_max_duals,2030,NT,14784,470,3.1791125541125544,-0.005884729624099458
battery_charge_new_max_duals,2040,DE,14784,335,2.265963203463204,-0.029219997994714794
battery_charge_new_max_duals,2040,GA,14784,458,3.097943722943723,-0.011111732725794148
battery_charge_new_max_duals,2040,NT,14784,553,3.740530303030303,-0.014431468077200405
battery_charge_new_max_duals,2050,DE,14784,244,1.6504329004329004,-0.015010367195454363
battery_charge_new_max_duals,2050,GA,14784,604,4.0854978354978355,-0.014169133285775886
battery_discharge_new_max_duals,2025,NT,14784,112,0.7575757575757576,-0.00013005371138420215
battery_discharge_new_max_duals,2030,NT,14784,104,0.7034632034632035,-8.638469198700464e-05
battery_discharge_new_max_duals,2040,DE,14784,95,0.6425865800865801,-0.00047068757797065383
battery_discharge_new_max_duals,2040,GA,14784,91,0.615530303030303,-8.664666007513761e-05
battery_discharge_new_max_duals,2040,NT,14784,93,0.6290584415584416,-0.00031541037416954503
battery_discharge_new_max_duals,2050,DE,14784,106,0.716991341991342,-0.00533991323845957
battery_discharge_new_max_duals,2050,GA,14784,94,0.6358225108225108,-0.00030259695934299185
branch_extension_duals,2025,All,19,2,10.526315789473683,-1097.8684602220044
branch_extension_duals,2030,All,19,0,0.0,0.0
branch_extension_duals,2040,All,19,0,0.0,0.0
branch_extension_duals,2050,All,19,0,0.0,0.0
branch_flow_new_duals_max,2025,NT,25536,2633,10.3109335839599,-0.05421334107054236
branch_flow_new_duals_max,2030,NT,25536,3558,13.933270676691729,-0.1167640576681933
branch_flow_new_duals_max,2040,DE,25536,3748,14.677318295739347,-0.8180147335809591
branch_flow_new_duals_max,2040,GA,25536,3575,13.999843358395989,-0.08097519593118706
branch_flow_new_duals_max,2040,NT,25536,3698,14.481516290726818,-0.09152655837337054
branch_flow_new_duals_max,2050,DE,25536,3856,15.100250626566417,-0.3275234973241274
branch_flow_new_duals_max,2050,GA,25536,3656,14.317042606516292,-0.3089983314836293
branch_flow_new_duals_min,2025,NT,25536,9634,37.727130325814535,0.23797807781885175
branch_flow_new_duals_min,2030,NT,25536,9031,35.36575814536341,0.205048145435939
branch_flow_new_duals_min,2040,DE,25536,8890,34.81359649122807,0.8904004311742058
branch_flow_new_duals_min,2040,GA,25536,9007,35.271773182957396,0.1611700832024142
