scenario,year,week,hour,generator,dual_value
NT,2025,9,0,ES1 0 CCGT,0.0
NT,2025,9,1,ES1 0 CCGT,0.0
NT,2025,9,2,ES1 0 CCGT,0.0
NT,2025,9,3,ES1 0 CCGT,0.0
NT,2025,9,4,ES1 0 CCGT,0.0
NT,2025,9,5,ES1 0 CCGT,0.0
NT,2025,9,6,ES1 0 CCGT,-4.638859082135359
NT,2025,9,7,ES1 0 CCGT,0.0
NT,2025,9,8,ES1 0 CCGT,0.0
NT,2025,9,9,ES1 0 CCGT,0.0
NT,2025,9,10,ES1 0 CCGT,-4.3557251867225055
NT,2025,9,11,ES1 0 CCGT,0.0
NT,2025,9,12,ES1 0 CCGT,0.0
NT,2025,9,13,ES1 0 CCGT,0.0
NT,2025,9,14,ES1 0 CCGT,0.0
NT,2025,9,15,ES1 0 CCGT,0.0
NT,2025,9,16,ES1 0 CCGT,0.0
NT,2025,9,17,ES1 0 CCGT,-5.702288376686187
NT,2025,9,18,ES1 0 CCGT,-5.514896188499206
NT,2025,9,19,ES1 0 CCGT,-5.5177464260936135
NT,2025,9,20,ES1 0 CCGT,-5.52059678250981
NT,2025,9,21,ES1 0 CCGT,-4.2351576604619305
NT,2025,9,22,ES1 0 CCGT,-0.9830645043195221
NT,2025,9,23,ES1 0 CCGT,-0.9830645043195221
NT,2025,9,24,ES1 0 CCGT,-2.727016199577166
NT,2025,9,25,ES1 0 CCGT,0.0
NT,2025,9,26,ES1 0 CCGT,0.0
NT,2025,9,27,ES1 0 CCGT,-0.38836202215926735
NT,2025,9,28,ES1 0 CCGT,-0.21392364186388987
NT,2025,9,29,ES1 0 CCGT,-0.21655289048537257
NT,2025,9,30,ES1 0 CCGT,-3.1134194627695497
NT,2025,9,31,ES1 0 CCGT,-5.7440206928354085
NT,2025,9,32,ES1 0 CCGT,-5.591822625349926
NT,2025,9,33,ES1 0 CCGT,-2.1329162723893864
NT,2025,9,34,ES1 0 CCGT,-0.40681997520576085
NT,2025,9,35,ES1 0 CCGT,-0.40945726536342775
NT,2025,9,36,ES1 0 CCGT,-0.9830645043195221
NT,2025,9,37,ES1 0 CCGT,-0.41473217551643154
NT,2025,9,38,ES1 0 CCGT,-1.5513968331226127
NT,2025,9,39,ES1 0 CCGT,-0.4200075254835398
NT,2025,9,40,ES1 0 CCGT,-1.5461214831554957
