bucket,lower,upper,absolute,relative_percent
curtailment,-110.00000000000001,-90.0,0,0.0
gap_curtailment_neg_thermal,-90.0,-75.89666666666668,0,0.0
neg_thermal,-75.89666666666668,-58.06835766980574,0,0.0
gap_neg_thermal_neg_wind,-58.06835766980574,-0.016499999999999997,0,0.0
neg_wind,-0.016499999999999997,-0.013499999999999996,0,0.0
gap_neg_wind_neg_solar,-0.013499999999999996,-0.011000000000000001,0,0.0
neg_solar,-0.011000000000000001,-0.009000000000000001,0,0.0
gap_neg_solar_non-binding,-0.009000000000000001,-0.0001,0,0.0
non-binding,-0.0001,0.0001,0,0.0
gap_non-binding_solar,0.0001,0.009000000000000001,0,0.0
solar,0.009000000000000001,0.011000000000000001,0,0.0
gap_solar_wind,0.011000000000000001,0.013499999999999996,0,0.0
wind,0.013499999999999996,0.016499999999999997,18199,17.585613790970932
gap_wind_thermal,0.016499999999999997,58.06835766980574,1994,1.9267934446505874
thermal,58.06835766980574,75.89666666666668,82020,79.25556586270872
other,,,1275,1.2320269016697587
