,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,0.0,1.0,18832,18.197278911564627,1166,2981,9119,5566
1,1.0,2.0,0,0.0,0,0,0,0
2,2.0,3.0,0,0.0,0,0,0,0
3,3.0,4.0,0,0.0,0,0,0,0
4,4.0,5.0,0,0.0,0,0,0,0
5,5.0,6.0,0,0.0,0,0,0,0
6,6.0,7.0,0,0.0,0,0,0,0
7,7.0,8.0,0,0.0,0,0,0,0
8,8.0,9.0,0,0.0,0,0,0,0
9,9.0,10.0,0,0.0,0,0,0,0
10,10.0,11.0,0,0.0,0,0,0,0
11,11.0,12.0,0,0.0,0,0,0,0
12,12.0,13.0,0,0.0,0,0,0,0
13,13.0,14.0,0,0.0,0,0,0,0
14,14.0,15.0,0,0.0,0,0,0,0
15,15.0,16.0,0,0.0,0,0,0,0
16,16.0,17.0,0,0.0,0,0,0,0
17,17.0,18.0,0,0.0,0,0,0,0
18,18.0,19.0,0,0.0,0,0,0,0
19,19.0,20.0,0,0.0,0,0,0,0
20,20.0,21.0,0,0.0,0,0,0,0
21,21.0,22.0,0,0.0,0,0,0,0
22,22.0,23.0,0,0.0,0,0,0,0
23,23.0,24.0,0,0.0,0,0,0,0
24,24.0,25.0,0,0.0,0,0,0,0
25,25.0,26.0,0,0.0,0,0,0,0
26,26.0,27.0,0,0.0,0,0,0,0
27,27.0,28.0,0,0.0,0,0,0,0
28,28.0,29.0,0,0.0,0,0,0,0
29,29.0,30.0,0,0.0,0,0,0,0
30,30.0,31.0,0,0.0,0,0,0,0
31,31.0,32.0,0,0.0,0,0,0,0
32,32.0,33.0,0,0.0,0,0,0,0
33,33.0,34.0,0,0.0,0,0,0,0
34,34.0,35.0,0,0.0,0,0,0,0
35,35.0,36.0,0,0.0,0,0,0,0
36,36.0,37.0,0,0.0,0,0,0,0
37,37.0,38.0,0,0.0,0,0,0,0
38,38.0,39.0,0,0.0,0,0,0,0
39,39.0,40.0,0,0.0,0,0,0,0
40,40.0,41.0,0,0.0,0,0,0,0
41,41.0,42.0,0,0.0,0,0,0,0
42,42.0,43.0,0,0.0,0,0,0,0
43,43.0,44.0,0,0.0,0,0,0,0
44,44.0,45.0,0,0.0,0,0,0,0
45,45.0,46.0,0,0.0,0,0,0,0
46,46.0,47.0,0,0.0,0,0,0,0
47,47.0,48.0,10,0.00966295609152752,0,0,0,10
48,48.0,49.0,35,0.03382034632034632,0,0,0,35
49,49.0,50.0,13,0.012561842918985775,0,0,3,10
50,50.0,51.0,17,0.016427025355596783,0,0,15,2
51,51.0,52.0,29,0.028022572665429808,0,0,10,19
52,52.0,53.0,44,0.04251700680272109,0,6,5,33
53,53.0,54.0,16,0.015460729746444033,0,4,0,12
54,54.0,55.0,31,0.029955163883735314,0,3,10,18
55,55.0,56.0,51,0.04928107606679036,0,6,13,32
56,56.0,57.0,325,0.31404607297464443,54,30,131,110
57,57.0,58.0,741,0.7160250463821892,173,43,273,252
58,58.0,59.0,650,0.6280921459492889,193,63,219,175
59,59.0,60.0,762,0.736317254174397,56,151,388,167
60,60.0,61.0,2145,2.072704081632653,123,353,1008,661
61,61.0,62.0,9032,8.727581941867655,1272,1434,3724,2602
62,62.0,63.0,21895,21.157042362399505,3817,3714,8757,5607
63,63.0,64.0,16735,16.170957019171304,3370,2545,6724,4096
64,64.0,65.0,9677,9.350842609771181,1624,1287,4241,2525
65,65.0,66.0,8978,8.675401978973408,1271,1263,3923,2521
66,66.0,67.0,5427,5.2440862708719855,1012,565,2220,1630
67,67.0,68.0,2571,2.4843460111317257,307,192,1081,991
68,68.0,69.0,1659,1.6030844155844155,195,90,646,728
69,69.0,70.0,793,0.7662724180581324,103,21,328,341
70,70.0,inf,3020,2.918212739641311,48,33,1514,1425
