,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,499.999,544.481,0,0.0,0.0
1,544.481,588.962,0,0.0,0.0
2,588.962,633.443,0,0.0,0.0
3,633.443,677.924,0,0.0,0.0
4,677.924,722.405,0,0.0,0.0
5,722.405,766.886,0,0.0,0.0
6,766.886,811.367,0,0.0,0.0
7,811.367,855.849,0,0.0,0.0
8,855.849,900.33,0,0.0,0.0
9,900.33,944.811,0,0.0,0.0
10,944.811,989.292,0,0.0,0.0
11,989.292,1033.773,0,0.0,0.0
12,1033.773,1078.254,0,0.0,0.0
13,1078.254,1122.735,0,0.0,0.0
14,1122.735,1167.216,0,0.0,0.0
15,1167.216,1211.697,0,0.0,0.0
16,1211.697,1256.178,0,0.0,0.0
17,1256.178,1300.659,40,40.4040404040404,0.03865182436611008
18,1300.659,1345.14,15,15.151515151515152,0.014494434137291281
19,1345.14,1389.621,0,0.0,0.0
20,1389.621,1434.102,0,0.0,0.0
21,1434.102,1478.584,0,0.0,0.0
22,1478.584,1523.065,0,0.0,0.0
23,1523.065,1567.546,0,0.0,0.0
24,1567.546,1612.027,0,0.0,0.0
25,1612.027,1656.508,0,0.0,0.0
26,1656.508,1700.989,0,0.0,0.0
27,1700.989,1745.47,0,0.0,0.0
28,1745.47,1789.951,0,0.0,0.0
29,1789.951,1834.432,0,0.0,0.0
30,1834.432,1878.913,0,0.0,0.0
31,1878.913,1923.394,0,0.0,0.0
32,1923.394,1967.875,0,0.0,0.0
33,1967.875,2012.356,0,0.0,0.0
34,2012.356,2056.837,0,0.0,0.0
35,2056.837,2101.318,0,0.0,0.0
36,2101.318,2145.8,0,0.0,0.0
37,2145.8,2190.281,0,0.0,0.0
38,2190.281,2234.762,0,0.0,0.0
39,2234.762,2279.243,0,0.0,0.0
40,2279.243,2323.724,0,0.0,0.0
41,2323.724,2368.205,0,0.0,0.0
42,2368.205,2412.686,0,0.0,0.0
43,2412.686,2457.167,0,0.0,0.0
44,2457.167,2501.648,0,0.0,0.0
45,2501.648,2546.129,0,0.0,0.0
46,2546.129,2590.61,1,1.0101010101010102,0.000966295609152752
47,2590.61,2635.091,6,6.0606060606060606,0.0057977736549165125
48,2635.091,2679.572,9,9.090909090909092,0.008696660482374767
49,2679.572,2724.053,28,28.28282828282828,0.027056277056277056
