,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,90.856,120.404,355,51.300578034682076,0.34303494124922695
1,120.404,149.952,198,28.61271676300578,0.1913265306122449
2,149.952,179.5,40,5.780346820809249,0.03865182436611008
3,179.5,209.048,0,0.0,0.0
4,209.048,238.595,0,0.0,0.0
5,238.595,268.143,0,0.0,0.0
6,268.143,297.691,0,0.0,0.0
7,297.691,327.238,0,0.0,0.0
8,327.238,356.786,0,0.0,0.0
9,356.786,386.334,0,0.0,0.0
10,386.334,415.881,0,0.0,0.0
11,415.881,445.429,7,1.0115606936416186,0.006764069264069264
12,445.429,474.977,37,5.346820809248555,0.03575293753865182
13,474.977,504.525,0,0.0,0.0
14,504.525,534.072,0,0.0,0.0
15,534.072,563.62,0,0.0,0.0
16,563.62,593.168,0,0.0,0.0
17,593.168,622.715,0,0.0,0.0
18,622.715,652.263,0,0.0,0.0
19,652.263,681.811,0,0.0,0.0
20,681.811,711.359,0,0.0,0.0
21,711.359,740.906,0,0.0,0.0
22,740.906,770.454,0,0.0,0.0
23,770.454,800.002,0,0.0,0.0
24,800.002,829.549,0,0.0,0.0
25,829.549,859.097,0,0.0,0.0
26,859.097,888.645,0,0.0,0.0
27,888.645,918.193,0,0.0,0.0
28,918.193,947.74,0,0.0,0.0
29,947.74,977.288,0,0.0,0.0
30,977.288,1006.836,0,0.0,0.0
31,1006.836,1036.383,0,0.0,0.0
32,1036.383,1065.931,0,0.0,0.0
33,1065.931,1095.479,0,0.0,0.0
34,1095.479,1125.027,0,0.0,0.0
35,1125.027,1154.574,0,0.0,0.0
36,1154.574,1184.122,0,0.0,0.0
37,1184.122,1213.67,0,0.0,0.0
38,1213.67,1243.217,0,0.0,0.0
39,1243.217,1272.765,0,0.0,0.0
40,1272.765,1302.313,0,0.0,0.0
41,1302.313,1331.861,0,0.0,0.0
42,1331.861,1361.408,0,0.0,0.0
43,1361.408,1390.956,0,0.0,0.0
44,1390.956,1420.504,0,0.0,0.0
45,1420.504,1450.051,0,0.0,0.0
46,1450.051,1479.599,0,0.0,0.0
47,1479.599,1509.147,0,0.0,0.0
48,1509.147,1538.695,0,0.0,0.0
49,1538.695,1568.242,0,0.0,0.0
50,1568.242,1597.79,0,0.0,0.0
51,1597.79,1627.338,0,0.0,0.0
52,1627.338,1656.885,0,0.0,0.0
53,1656.885,1686.433,0,0.0,0.0
54,1686.433,1715.981,0,0.0,0.0
55,1715.981,1745.528,0,0.0,0.0
56,1745.528,1775.076,0,0.0,0.0
57,1775.076,1804.624,0,0.0,0.0
58,1804.624,1834.172,0,0.0,0.0
59,1834.172,1863.719,0,0.0,0.0
60,1863.719,1893.267,0,0.0,0.0
61,1893.267,1922.815,0,0.0,0.0
62,1922.815,1952.362,0,0.0,0.0
63,1952.362,1981.91,0,0.0,0.0
64,1981.91,2011.458,0,0.0,0.0
65,2011.458,2041.006,0,0.0,0.0
66,2041.006,2070.553,0,0.0,0.0
67,2070.553,2100.101,0,0.0,0.0
68,2100.101,2129.649,0,0.0,0.0
69,2129.649,2159.196,0,0.0,0.0
70,2159.196,2188.744,0,0.0,0.0
71,2188.744,2218.292,0,0.0,0.0
72,2218.292,2247.84,0,0.0,0.0
73,2247.84,2277.387,0,0.0,0.0
74,2277.387,2306.935,0,0.0,0.0
75,2306.935,2336.483,0,0.0,0.0
76,2336.483,2366.03,0,0.0,0.0
77,2366.03,2395.578,0,0.0,0.0
78,2395.578,2425.126,0,0.0,0.0
79,2425.126,2454.674,0,0.0,0.0
80,2454.674,2484.221,0,0.0,0.0
81,2484.221,2513.769,0,0.0,0.0
82,2513.769,2543.317,0,0.0,0.0
83,2543.317,2572.864,0,0.0,0.0
84,2572.864,2602.412,0,0.0,0.0
85,2602.412,2631.96,0,0.0,0.0
86,2631.96,2661.508,0,0.0,0.0
87,2661.508,2691.055,0,0.0,0.0
88,2691.055,2720.603,0,0.0,0.0
89,2720.603,2750.151,0,0.0,0.0
90,2750.151,2779.698,0,0.0,0.0
91,2779.698,2809.246,0,0.0,0.0
92,2809.246,2838.794,0,0.0,0.0
93,2838.794,2868.342,0,0.0,0.0
94,2868.342,2897.889,5,0.7225433526011561,0.00483147804576376
95,2897.889,2927.437,10,1.4450867052023122,0.00966295609152752
96,2927.437,2956.985,10,1.4450867052023122,0.00966295609152752
97,2956.985,2986.532,15,2.167630057803468,0.014494434137291281
98,2986.532,3016.08,10,1.4450867052023122,0.00966295609152752
99,3016.08,3045.628,5,0.7225433526011561,0.00483147804576376
