year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,15225.166000000001,3122.79142876293,11,4,309242944.2465122,124058913.46858299,24811782.693716597,4840790798.305384,3969885230.9946556,8810676029.30004,9119918973.54655
2025,coal,2369.6967413669563,0.0,5,0,0.0,5792.004312046468,1969.2814660957993,163316.97007149208,315085.0345753279,478402.00464681996,478402.00464681996
2025,offwind-ac,6867.326110916833,6867.326110916833,9,9,1266255723.122147,40166204.26355037,0.0,602493.0639532555,0.0,602493.0639532555,1266858216.1861002
2025,onwind,16019.751672361648,16019.75167236165,11,11,1539272065.2982094,73120551.24799111,0.0,1096808.2687198652,0.0,1096808.2687198652,1540368873.5669293
2025,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,15130152.62365348,0.0,0.0,0.0,0.0,416628781.84968704
2025,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,29131692.362209402,0.0,291316.92362209404,0.0,291316.92362209404,226489419.65118152
2030,CCGT,15225.166000000001,1502.0,11,1,148724629.39831498,101395004.41202773,20279000.882405546,3951203715.858308,3244640141.1848874,7195843857.043195,7344568486.44151
2030,coal,2369.6967413669563,0.0,5,0,0.0,3861.3362080309785,1312.8543107305327,108877.98004766136,210056.68971688524,318934.6697645466,318934.6697645466
2030,offwind-ac,6867.326110916833,5434.537900470346,9,6,1003420728.6925445,49344150.959425844,0.0,740162.2643913877,0.0,740162.2643913877,1004160890.9569359
2030,onwind,16019.751672361648,16019.75167236165,11,11,1539111867.7814858,90518586.92274654,0.0,1357778.803841196,0.0,1357778.803841196,1540469646.585327
2030,ror,1392.75412375,1392.75412375,4,4,416614854.30844957,20173536.831537973,0.0,0.0,0.0,0.0,416614854.30844957
2030,solar,6353.509636519333,6353.509636519333,11,11,226134567.63119423,38842256.48294587,0.0,388422.5648294587,0.0,388422.5648294587,226522990.1960237
2040,CCGT,15225.166000000001,0.0,11,0,0.0,117168759.7640159,23433751.95280318,4584401510.988961,3749400312.4485087,8333801823.43747,8333801823.43747
2040,coal,2369.6967413669563,0.0,5,0,0.0,180714.78762827374,61443.02779361308,5095609.390548749,9830884.446978092,14926493.837526841,14926493.837526841
2040,offwind-ac,6867.326110916833,4518.409834816389,9,3,835113228.814892,57863767.29744389,0.0,867956.5094616583,0.0,867956.5094616583,835981185.3243537
2040,onwind,16019.751672361648,13310.549488798613,11,8,1278689756.6751473,110086891.96752618,0.0,1651303.3795128902,0.0,1651303.3795128902,1280341060.05466
2040,ror,1392.75412375,1319.25,4,2,394614356.73788613,25011298.952949245,0.0,0.0,0.0,0.0,394614356.73788613
2040,solar,6353.509636519333,6353.509636519333,11,11,226071032.53482905,48552820.60368233,0.0,485528.2060368234,0.0,485528.2060368234,226556560.7408659
2050,CCGT,15225.166000000001,0.0,11,0,0.0,122829661.13355106,24565932.226710215,4818022713.911883,3930549156.273634,8748571870.185516,8748571870.185516
2050,coal,2369.6967413669563,0.0,5,0,0.0,1370837.8880227364,466084.8819277304,38653474.38803503,74573581.10843687,113227055.49647188,113227055.49647188
2050,offwind-ac,6867.326110916833,647.1575599771891,9,1,119081859.08561759,60117114.535076275,0.0,901756.7180261441,0.0,901756.7180261441,119983615.80364373
2050,onwind,16019.751672361648,1916.508597904429,11,1,184091935.26961046,115277407.50309144,0.0,1729161.112546369,0.0,1729161.112546369,185821096.38215682
2050,ror,1392.75412375,0.0,4,0,0.0,25011298.952949245,0.0,0.0,0.0,0.0,0.0
2050,solar,6353.509636519333,6353.509636519333,11,11,226007497.43846384,58263384.724418804,0.0,582633.8472441881,0.0,582633.8472441881,226590131.285708
