dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,0,0,0.0
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,0,0,0.0
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,3,3.9473684210526314
branch_flow_new_duals_max,178752,23434,13.109783387039025
branch_flow_new_duals_min,178752,65039,36.38504744002864
branch_flow_old_duals_max,178752,23394,13.087406015037594
branch_flow_old_duals_min,178752,65037,36.38392857142857
emissions_duals,7,0,0.0
gen_extension_duals,204,111,54.41176470588235
gen_output_new_duals,479808,338364,70.52070828331333
gen_output_old_duals,479808,338698,70.59031946111777
load_shedding_duals,103488,0,0.0
power_balance_duals,103488,103488,100.0
