,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,58.0,59.0,31344,30.287569573283857,4585,4819,13661,8279
1,59.0,60.0,19260,18.610853432282003,3701,2908,7844,4807
2,0.0,1.0,19085,18.44175170068027,1606,2893,8811,5775
3,57.0,58.0,11421,11.036062152133582,1261,1703,5123,3334
4,60.0,61.0,7305,7.058789424860853,1308,949,2877,2171
5,61.0,62.0,5518,5.332019171304886,1057,587,2198,1676
6,62.0,63.0,3094,2.989718614718615,733,258,1132,971
7,56.0,57.0,2051,1.9818722943722944,133,280,946,692
8,70.0,inf,1209,1.1682513914656774,82,34,501,592
9,63.0,64.0,715,0.6909013605442177,77,66,288,284
10,55.0,56.0,650,0.6280921459492889,56,83,295,216
11,64.0,65.0,356,0.34400123685837974,46,23,140,147
12,54.0,55.0,269,0.2599335188620903,15,60,75,119
13,65.0,66.0,231,0.2232142857142857,27,10,87,107
14,66.0,67.0,168,0.16233766233766234,19,12,64,73
15,53.0,54.0,154,0.1488095238095238,5,21,47,81
16,67.0,68.0,122,0.11788806431663575,13,9,50,50
17,52.0,53.0,115,0.11112399505256648,15,13,44,43
18,68.0,69.0,94,0.09083178726035869,14,11,41,28
19,51.0,52.0,72,0.06957328385899814,4,7,33,28
20,69.0,70.0,56,0.05411255411255411,16,5,17,18
21,45.0,46.0,34,0.032854050711193565,0,0,22,12
22,50.0,51.0,33,0.03188775510204082,0,1,12,20
23,46.0,47.0,29,0.028022572665429808,0,0,17,12
24,49.0,50.0,18,0.017393320964749534,8,4,0,6
25,48.0,49.0,14,0.013528138528138528,3,5,0,6
26,42.0,43.0,12,0.011595547309833025,0,1,11,0
27,43.0,44.0,10,0.00966295609152752,0,0,10,0
28,44.0,45.0,10,0.00966295609152752,0,0,4,6
29,41.0,42.0,9,0.008696660482374767,0,9,0,0
30,34.0,35.0,7,0.006764069264069264,0,7,0,0
31,47.0,48.0,7,0.006764069264069264,0,1,2,4
32,38.0,39.0,6,0.0057977736549165125,0,0,0,6
33,37.0,38.0,5,0.00483147804576376,0,0,0,5
34,35.0,36.0,3,0.0028988868274582563,0,3,0,0
35,40.0,41.0,1,0.000966295609152752,0,1,0,0
36,33.0,34.0,1,0.000966295609152752,0,1,0,0
37,36.0,37.0,0,0.0,0,0,0,0
38,2.0,3.0,0,0.0,0,0,0,0
39,8.0,9.0,0,0.0,0,0,0,0
40,7.0,8.0,0,0.0,0,0,0,0
41,6.0,7.0,0,0.0,0,0,0,0
42,5.0,6.0,0,0.0,0,0,0,0
43,4.0,5.0,0,0.0,0,0,0,0
44,3.0,4.0,0,0.0,0,0,0,0
45,17.0,18.0,0,0.0,0,0,0,0
46,19.0,20.0,0,0.0,0,0,0,0
47,16.0,17.0,0,0.0,0,0,0,0
48,15.0,16.0,0,0.0,0,0,0,0
49,14.0,15.0,0,0.0,0,0,0,0
50,13.0,14.0,0,0.0,0,0,0,0
51,12.0,13.0,0,0.0,0,0,0,0
52,11.0,12.0,0,0.0,0,0,0,0
53,18.0,19.0,0,0.0,0,0,0,0
54,20.0,21.0,0,0.0,0,0,0,0
55,1.0,2.0,0,0.0,0,0,0,0
56,21.0,22.0,0,0.0,0,0,0,0
57,22.0,23.0,0,0.0,0,0,0,0
58,23.0,24.0,0,0.0,0,0,0,0
59,24.0,25.0,0,0.0,0,0,0,0
60,25.0,26.0,0,0.0,0,0,0,0
61,26.0,27.0,0,0.0,0,0,0,0
62,27.0,28.0,0,0.0,0,0,0,0
63,28.0,29.0,0,0.0,0,0,0,0
64,29.0,30.0,0,0.0,0,0,0,0
65,30.0,31.0,0,0.0,0,0,0,0
66,31.0,32.0,0,0.0,0,0,0,0
67,32.0,33.0,0,0.0,0,0,0,0
68,10.0,11.0,0,0.0,0,0,0,0
69,39.0,40.0,0,0.0,0,0,0,0
70,9.0,10.0,0,0.0,0,0,0,0
