scenario,year,week,hour,branch,dual_value
NT,2025,9,0,88,1.774153183010759
NT,2025,9,1,88,1.774153183010759
NT,2025,9,2,88,1.774153183010759
NT,2025,9,3,88,1.774153183010759
NT,2025,9,4,88,1.75660939819907
NT,2025,9,5,88,1.75660939819907
NT,2025,9,6,88,1.1142599128658406
NT,2025,9,7,88,1.115721917611844
NT,2025,9,8,88,1.115721917611844
NT,2025,9,9,88,1.0747760792636678
NT,2025,9,10,88,1.0717427436419935
NT,2025,9,11,88,1.2554966321725844
NT,2025,9,12,88,1.3530489520800897
NT,2025,9,13,88,1.780894298841904
NT,2025,9,14,88,1.7893137341017926
NT,2025,9,15,88,1.7753397963374717
NT,2025,9,16,88,1.774153183010759
NT,2025,9,17,88,1.774746489674124
NT,2025,9,18,88,2.1490812795907774
NT,2025,9,19,88,1.9783608415286946
NT,2025,9,20,88,1.9407046227931857
NT,2025,9,21,88,1.7893137341017926
NT,2025,9,22,88,1.8130233161526867
NT,2025,9,23,88,1.839941577491956
NT,2025,9,24,88,1.7861050548133912
NT,2025,9,25,88,1.7861050548133912
NT,2025,9,26,88,1.7861050548133912
NT,2025,9,27,88,1.7871060931549647
NT,2025,9,28,88,1.7851040164718528
NT,2025,9,29,88,1.7851040164718528
NT,2025,9,30,88,1.7926006892719382
NT,2025,9,31,88,1.959532732160927
NT,2025,9,32,88,1.8683301871532918
NT,2025,9,33,88,2.053032156850845
NT,2025,9,34,88,1.9672934009600869
NT,2025,9,35,88,1.9601895125511972
NT,2025,9,36,88,1.9662041859972665
NT,2025,9,37,88,1.9560863249685085
NT,2025,9,38,88,1.9866798140898425
NT,2025,9,39,88,1.9560863249685085
NT,2025,9,40,88,1.9662041859972665
NT,2025,9,41,88,1.9560863249685085
NT,2025,9,42,88,2.8001697220411224
NT,2025,9,43,88,2.859763593395994
NT,2025,9,44,88,2.0835277499226943
NT,2025,9,45,88,2.0225365637789703
NT,2025,9,46,88,1.9479882742612833
NT,2025,9,47,88,1.788672100045283
NT,2025,9,48,88,1.9730414242849104
NT,2025,9,49,88,1.9560863249685085
NT,2025,9,50,88,1.9560863249685085
NT,2025,9,51,88,1.9563070758197518
NT,2025,9,52,88,1.9440865897247395
NT,2025,9,53,88,1.9440865897247395
NT,2025,9,54,88,1.979865044604777
NT,2025,9,55,88,2.0360878079400195
NT,2025,9,56,88,2.0225365637789703
NT,2025,9,57,88,1.9800857954560467
NT,2025,9,58,88,1.9440865897247395
NT,2025,9,59,88,1.9440865897247395
NT,2025,9,60,88,1.9563070758197518
NT,2025,9,61,88,1.9440865897247395
NT,2025,9,62,88,1.95019683277225
NT,2025,9,63,88,1.9440865897247395
NT,2025,9,64,88,1.9440865897247395
NT,2025,9,65,88,1.9440865897247395
NT,2025,9,66,88,2.0225365637789703
NT,2025,9,67,88,1.9934162887658178
