,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,75.896,138.638,1018,88.52173913043478,0.9836889301175015
1,138.638,201.379,88,7.652173913043478,0.08503401360544217
97,6161.777,6224.518,11,0.9565217391304347,0.010629251700680272
99,6287.259,6350.0,10,0.8695652173913043,0.00966295609152752
98,6224.518,6287.259,9,0.782608695652174,0.008696660482374767
96,6099.036,6161.777,9,0.782608695652174,0.008696660482374767
95,6036.295,6099.036,3,0.26086956521739135,0.0028988868274582563
94,5973.554,6036.295,2,0.17391304347826086,0.001932591218305504
4,326.861,389.602,0,0.0,0.0
63,4028.582,4091.323,0,0.0,0.0
