year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,15225.166000000001,5297.34,11,6,524583551.4937882,125580331.78967133,25116066.357934266,4894042221.356403,3516249290.110798,8410291511.467199,8934875062.960987
2025,coal,2369.6967413669563,0.0,5,0,0.0,78114.47808319217,26558.922548285336,2202591.571406373,3718249.1567599475,5920840.72816632,5920840.72816632
2025,offwind-ac,6867.326110916833,6867.326110916833,9,9,1266255723.122147,39961618.73324937,0.0,599424.2809987406,0.0,599424.2809987406,1266855147.4031458
2025,onwind,16019.751672361648,16019.75167236165,11,11,1539272065.2982094,72377046.0027179,0.0,1085655.6900407672,0.0,1085655.6900407672,1540357720.9882503
2025,ror,1392.75412375,1392.75412375,4,4,416628781.84968704,15130152.62365348,0.0,0.0,0.0,0.0,416628781.84968704
2025,solar,6353.509636519333,6353.509636519333,11,11,226198102.72755942,29131692.362209402,0.0,291316.92362209404,0.0,291316.92362209404,226489419.65118152
2030,CCGT,15225.166000000001,3855.533419588982,11,4,381766164.42156416,103683615.24031958,20736723.04806392,4033795954.8818197,2903141226.7289486,6936937181.610769,7318703346.032333
2030,coal,2369.6967413669563,0.0,5,0,0.0,9634.138203064644,3275.6069890419794,271653.5029682318,458584.97846587707,730238.4814341089,730238.4814341089
2030,offwind-ac,6867.326110916833,5393.828839295866,9,5,995871199.1293985,48697800.23861397,0.0,730467.0035792096,0.0,730467.0035792096,996601666.1329777
2030,onwind,16019.751672361648,16019.75167236165,11,11,1539111867.7814858,89410939.57562205,0.0,1341164.0936343288,0.0,1341164.0936343288,1540453031.8751202
2030,ror,1392.75412375,1392.75412375,4,4,416614854.30844957,20173536.831537973,0.0,0.0,0.0,0.0,416614854.30844957
2030,solar,6353.509636519333,6353.509636519333,11,11,226134567.63119423,38842256.48294587,0.0,388422.5648294587,0.0,388422.5648294587,226522990.1960237
2040,CCGT,15225.166000000001,2095.5,11,3,207470696.73380095,119962777.18905014,23992555.437810026,4675293137.473007,3358957761.293404,8034250898.766412,8241721595.500213
2040,coal,2369.6967413669563,0.0,5,0,0.0,217031.5015313194,73790.7105206486,6119630.671966446,10330699.472890804,16450330.14485725,16450330.14485725
2040,offwind-ac,6867.326110916833,4518.409834816389,9,3,835113228.814892,57574251.98859594,0.0,863613.779828939,0.0,863613.779828939,835976842.594721
2040,onwind,16019.751672361648,12540.143045863737,11,7,1204679977.5983047,107752942.36193126,0.0,1616294.1354289667,0.0,1616294.1354289667,1206296271.7337337
2040,ror,1392.75412375,1319.25,4,2,394614356.73788613,25011298.952949245,0.0,0.0,0.0,0.0,394614356.73788613
2040,solar,6353.509636519333,6353.509636519333,11,11,226071032.53482905,48552820.60368233,0.0,485528.2060368234,0.0,485528.2060368234,226556560.7408659
2050,CCGT,15225.166000000001,0.0,11,0,0.0,125477356.59887937,25095471.319775876,4898334429.449273,3513365984.7686224,8411700414.2178955,8411700414.2178955
2050,coal,2369.6967413669563,0.0,5,0,0.0,1205787.485112683,409967.7449383122,33999553.178707615,57395484.291363716,91395037.47007133,91395037.47007133
2050,offwind-ac,6867.326110916833,897.8946270670672,9,1,165219365.5249928,60381594.085498415,0.0,905723.9112824762,0.0,905723.9112824762,166125089.43627527
2050,onwind,16019.751672361648,1916.508597904429,11,1,184091935.26961046,112665543.04492071,0.0,1689983.145673808,0.0,1689983.145673808,185781918.41528428
2050,ror,1392.75412375,0.0,4,0,0.0,25011298.952949245,0.0,0.0,0.0,0.0,0.0
2050,solar,6353.509636519333,6353.509636519333,11,11,226007497.43846384,58257490.11595402,0.0,582574.9011595402,0.0,582574.9011595402,226590072.3396234
