scenario,year,week,hour,branch,dual_value
mean,2025,11,0,88,0.0004683736126630454
mean,2025,11,1,88,0.000466807961027705
mean,2025,11,2,88,0.0004652819992462387
mean,2025,11,3,88,0.0004652819992462387
mean,2025,11,4,88,0.0004652819992462387
mean,2025,11,5,88,0.0004681406649888036
mean,2025,11,6,88,0.0004282302805565015
mean,2025,11,7,88,0.0004282302805565015
mean,2025,11,8,88,0.0004282302805565015
mean,2025,11,9,88,0.0004262429772020118
mean,2025,11,10,88,0.0004262429772020118
mean,2025,11,11,88,0.00042339073656444566
mean,2025,11,12,88,0.0004615587454968088
mean,2025,11,13,88,0.0004222732396394371
mean,2025,11,14,88,0.00042227506946542804
mean,2025,11,15,88,0.00042342269302990615
mean,2025,11,16,88,0.0004652819992462387
mean,2025,11,17,88,0.0004683736126630454
mean,2025,11,18,88,0.00046966302155266383
mean,2025,11,19,88,0.00046966302155266383
mean,2025,11,20,88,0.0004282302805564057
mean,2025,11,21,88,0.00042743288294686845
mean,2025,11,22,88,0.0004282302805564057
mean,2025,11,23,88,0.0004282302805565015
mean,2025,11,24,88,0.0004282302805564057
mean,2025,11,25,88,0.00042743288294686845
mean,2025,11,26,88,0.00042743288294686845
mean,2025,11,27,88,0.00042743288294686845
mean,2025,11,28,88,0.00042743288294686845
mean,2025,11,29,88,0.00036219230007714223
mean,2025,11,30,88,0.00036662739222745447
mean,2025,11,31,88,1.5483447901763685
mean,2025,11,32,88,0.0004326668545789
mean,2025,11,33,88,0.00043089292802594455
mean,2025,11,34,88,0.00043089292802594455
mean,2025,11,35,88,0.00046966302155266383
mean,2025,11,36,88,0.00047349073706547253
mean,2025,11,37,88,0.00046966302155266383
mean,2025,11,38,88,0.0004703677815199358
mean,2025,11,39,88,0.0004703677815199358
mean,2025,11,40,88,0.00047349073706547253
mean,2025,11,41,88,1.6966496307516434
mean,2025,11,42,88,1.70712207908707
mean,2025,11,43,88,1.7128750480023283
mean,2025,11,44,88,1.70712207908707
mean,2025,11,45,88,1.702710056117152
mean,2025,11,46,88,1.696929846513295
mean,2025,11,47,88,0.00047349073706547253
mean,2025,11,48,88,0.00046966302155266383
mean,2025,11,49,88,0.00046966302155266383
mean,2025,11,50,88,0.00046838109497172094
mean,2025,11,51,88,0.0004681406649888036
mean,2025,11,52,88,0.0004681406649888036
mean,2025,11,53,88,0.0004681406649888036
mean,2025,11,54,88,0.0004282302805565015
mean,2025,11,55,88,0.0004282302805564057
mean,2025,11,56,88,0.0004282302805565015
mean,2025,11,57,88,0.0004683736126630454
mean,2025,11,58,88,0.0004652819992462387
mean,2025,11,59,88,0.0004640209223241662
mean,2025,11,60,88,0.00046394429807453233
mean,2025,11,61,88,0.00046271976413531253
mean,2025,11,62,88,0.0004615587454968088
mean,2025,11,63,88,0.0004615587454968088
mean,2025,11,64,88,0.000466807961027705
mean,2025,11,65,88,0.0004282302805565015
mean,2025,11,66,88,0.0004062888982303291
mean,2025,11,67,88,0.00030906152324611626
mean,2025,11,68,88,0.00030906152324611626
mean,2025,11,69,88,0.00030906152324611626
mean,2025,11,70,88,0.0004062888982303291
mean,2025,11,71,88,0.00042743288294686845
mean,2025,11,72,88,0.00042743288294686845
mean,2025,11,73,88,0.00042740957467633924
mean,2025,11,74,88,0.00042740957467633924
mean,2025,11,75,88,0.00042743288294686845
mean,2025,11,76,88,0.00042743288294686845
mean,2025,11,77,88,0.00036219230007714223
mean,2025,11,78,88,0.00025820661658701184
mean,2025,11,79,88,0.9155710058505961
mean,2025,11,80,88,0.00025820661658701184
mean,2025,11,81,88,0.0004262429772020118
mean,2025,11,82,88,0.0004222732396394371
mean,2025,11,83,88,0.0004222732396394371
mean,2025,11,84,88,0.00046271976413531253
mean,2025,11,85,88,0.00046271976413531253
mean,2025,11,86,88,0.00042227506946542804
mean,2025,11,87,88,0.00042353232554764023
mean,2025,11,88,88,0.0004282302805564057
mean,2025,11,89,88,0.00036219230007714223
mean,2025,11,90,88,1.3120154841623533
mean,2025,11,91,88,1.1030152734624432
mean,2025,11,92,88,1.1030152734624432
mean,2025,11,93,88,1.1030152734624432
mean,2025,11,94,88,1.3120154841623533
mean,2025,11,95,88,1.3071834772102167
mean,2025,11,96,88,1.3071834772102167
mean,2025,11,97,88,1.2933845448085077
mean,2025,11,98,88,1.2933845448085077
mean,2025,11,99,88,1.2933845448085077
mean,2025,11,100,88,1.3071834772102167
mean,2025,11,101,88,1.3120154841623533
mean,2025,11,102,88,1.4395277971248293
mean,2025,11,103,88,1.3018215390378927
mean,2025,11,104,88,1.5495249731951768
mean,2025,11,105,88,1.5331678276737788
mean,2025,11,106,88,0.00042743288294686845
mean,2025,11,107,88,0.0004683736126630454
mean,2025,11,108,88,0.0004683736126630454
mean,2025,11,109,88,0.0004683736126630454
mean,2025,11,110,88,0.0004683736126630454
mean,2025,11,111,88,1.6966496307516434
mean,2025,11,112,88,1.4395277971248293
mean,2025,11,113,88,0.7243243789028894
mean,2025,11,114,88,0.0
mean,2025,11,115,88,0.0
mean,2025,11,116,88,0.0
mean,2025,11,117,88,0.05115647540968308
mean,2025,11,118,88,0.8845293834650363
mean,2025,11,119,88,1.417675731049432
mean,2025,11,120,88,1.7157172411691832
mean,2025,11,121,88,1.70712207908707
mean,2025,11,122,88,1.702710056117152
mean,2025,11,123,88,1.702710056117152
mean,2025,11,124,88,1.6966496307516434
mean,2025,11,125,88,1.6966496307516434
mean,2025,11,126,88,1.6966496307516434
mean,2025,11,127,88,1.6966496307516434
mean,2025,11,128,88,1.6966496307516434
mean,2025,11,129,88,0.000474108908892407
mean,2025,11,130,88,0.000474108908892407
mean,2025,11,131,88,0.00046966302155266383
mean,2025,11,132,88,0.00046966302155266383
mean,2025,11,133,88,0.00046966302155266383
mean,2025,11,134,88,0.00046966302155266383
mean,2025,11,135,88,0.00046966302155266383
mean,2025,11,136,88,0.000474108908892407
mean,2025,11,137,88,1.6966496307516434
mean,2025,11,138,88,1.70712207908707
mean,2025,11,139,88,1.55877546697234
mean,2025,11,140,88,1.7157172411691832
mean,2025,11,141,88,1.70712207908707
mean,2025,11,142,88,1.70712207908707
mean,2025,11,143,88,1.70712207908707
mean,2025,11,144,88,1.702710056117152
mean,2025,11,145,88,1.5483447901763685
mean,2025,11,146,88,1.5495249731951768
mean,2025,11,147,88,1.5495249731951768
mean,2025,11,148,88,1.702710056117152
mean,2025,11,149,88,1.702710056117152
mean,2025,11,150,88,1.702710056117152
mean,2025,11,151,88,1.702710056117152
mean,2025,11,152,88,1.702710056117152
mean,2025,11,153,88,1.702710056117152
mean,2025,11,154,88,1.6966496307516434
mean,2025,11,155,88,1.6847358532805103
mean,2025,11,156,88,0.00047349073706547253
mean,2025,11,157,88,0.00046966302155266383
mean,2025,11,158,88,0.00046966302155266383
mean,2025,11,159,88,0.00046966302155266383
mean,2025,11,160,88,0.0004703677815199358
mean,2025,11,161,88,0.00047349073706547253
mean,2025,11,162,88,1.6966496307516434
mean,2025,11,163,88,1.6966496307516434
mean,2025,11,164,88,1.6966496307516434
mean,2025,11,165,88,1.6966496307516434
mean,2025,11,166,88,0.00047349073706547253
mean,2025,11,167,88,0.00046966302155266383
mean,2025,21,0,88,0.8539145811545408
mean,2025,21,1,88,0.8539145811545408
mean,2025,21,2,88,0.8539145811545408
mean,2025,21,3,88,0.8509696870737633
mean,2025,21,4,88,0.7243243789028894
mean,2025,21,5,88,0.1896811518227529
mean,2025,21,6,88,0.0
mean,2025,21,7,88,0.7243243789028894
mean,2025,21,8,88,0.8539145811545408
mean,2025,21,9,88,1.4395277971248293
mean,2025,21,10,88,1.4395277971248293
mean,2025,21,11,88,1.4395277971248293
mean,2025,21,12,88,1.557901837504616
mean,2025,21,13,88,1.70712207908707
mean,2025,21,14,88,1.7019821821231693
mean,2025,21,15,88,1.70712207908707
mean,2025,21,16,88,1.70712207908707
mean,2025,21,17,88,1.4395277971248293
mean,2025,21,18,88,1.5439664611475987
mean,2025,21,19,88,1.3957118643311208
mean,2025,21,20,88,1.417675731049432
mean,2025,21,21,88,1.7201403835446323
mean,2025,21,22,88,1.3018215390378927
mean,2025,21,23,88,1.4395277971248293
mean,2025,21,24,88,1.5280141610134867
mean,2025,21,25,88,1.5280141610134867
mean,2025,21,26,88,1.5280141610134867
mean,2025,21,27,88,1.4395277971248293
mean,2025,21,28,88,1.0021691779710187
mean,2025,21,29,88,0.7243243789028894
mean,2025,21,30,88,0.05115647540968308
mean,2025,21,31,88,1.2661216620794693
mean,2025,21,32,88,0.8539145811545408
mean,2025,21,33,88,1.557901837504616
mean,2025,21,34,88,1.70712207908707
mean,2025,21,35,88,1.6966496307516434
mean,2025,21,36,88,1.6966496307516434
mean,2025,21,37,88,1.6847358532805103
mean,2025,21,38,88,1.6847358532805103
mean,2025,21,39,88,1.6847358532805103
mean,2025,21,40,88,1.6847358532805103
mean,2025,21,41,88,1.6966496307516434
mean,2025,21,42,88,1.5495249731951768
mean,2025,21,43,88,1.557901837504616
mean,2025,21,44,88,1.557901837504616
mean,2025,21,45,88,1.5483447901763685
mean,2025,21,46,88,1.5483447901763685
mean,2025,21,47,88,1.5483447901763685
mean,2025,21,48,88,1.5483447901763685
mean,2025,21,49,88,1.5483447901763685
mean,2025,21,50,88,1.5483447901763685
mean,2025,21,51,88,1.5483447901763685
mean,2025,21,52,88,1.5306306259147562
mean,2025,21,53,88,1.3120154841623533
mean,2025,21,54,88,1.3171691922319515
mean,2025,21,55,88,1.306624682801851
mean,2025,21,56,88,0.00025953102008325853
mean,2025,21,57,88,0.00042743288294686845
mean,2025,21,58,88,0.00042743288294686845
mean,2025,21,59,88,0.0004282302805565015
mean,2025,21,60,88,0.0004681406649888036
mean,2025,21,61,88,0.0004282302805565015
