,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,100.364,494,88.21428571428571,0.954700061842919
1,100.364,138.556,0,0.0,0.0
2,138.556,176.748,0,0.0,0.0
3,176.748,214.939,0,0.0,0.0
4,214.939,253.131,0,0.0,0.0
5,253.131,291.323,0,0.0,0.0
6,291.323,329.515,0,0.0,0.0
7,329.515,367.706,0,0.0,0.0
8,367.706,405.898,0,0.0,0.0
9,405.898,444.09,0,0.0,0.0
10,444.09,482.282,0,0.0,0.0
11,482.282,520.473,0,0.0,0.0
12,520.473,558.665,0,0.0,0.0
13,558.665,596.857,0,0.0,0.0
14,596.857,635.049,0,0.0,0.0
15,635.049,673.24,0,0.0,0.0
16,673.24,711.432,0,0.0,0.0
17,711.432,749.624,0,0.0,0.0
18,749.624,787.816,0,0.0,0.0
19,787.816,826.007,0,0.0,0.0
20,826.007,864.199,10,1.7857142857142856,0.01932591218305504
21,864.199,902.391,1,0.17857142857142858,0.001932591218305504
22,902.391,940.583,0,0.0,0.0
23,940.583,978.774,0,0.0,0.0
24,978.774,1016.966,0,0.0,0.0
25,1016.966,1055.158,0,0.0,0.0
26,1055.158,1093.35,0,0.0,0.0
27,1093.35,1131.541,0,0.0,0.0
28,1131.541,1169.733,0,0.0,0.0
29,1169.733,1207.925,0,0.0,0.0
30,1207.925,1246.117,0,0.0,0.0
31,1246.117,1284.308,0,0.0,0.0
32,1284.308,1322.5,0,0.0,0.0
33,1322.5,1360.692,0,0.0,0.0
34,1360.692,1398.884,0,0.0,0.0
35,1398.884,1437.075,0,0.0,0.0
36,1437.075,1475.267,0,0.0,0.0
37,1475.267,1513.459,0,0.0,0.0
38,1513.459,1551.651,0,0.0,0.0
39,1551.651,1589.842,0,0.0,0.0
40,1589.842,1628.034,0,0.0,0.0
41,1628.034,1666.226,0,0.0,0.0
42,1666.226,1704.418,0,0.0,0.0
43,1704.418,1742.609,0,0.0,0.0
44,1742.609,1780.801,0,0.0,0.0
45,1780.801,1818.993,0,0.0,0.0
46,1818.993,1857.185,0,0.0,0.0
47,1857.185,1895.376,0,0.0,0.0
48,1895.376,1933.568,0,0.0,0.0
49,1933.568,1971.76,0,0.0,0.0
50,1971.76,2009.952,0,0.0,0.0
51,2009.952,2048.143,0,0.0,0.0
52,2048.143,2086.335,0,0.0,0.0
53,2086.335,2124.527,0,0.0,0.0
54,2124.527,2162.719,0,0.0,0.0
55,2162.719,2200.91,0,0.0,0.0
56,2200.91,2239.102,0,0.0,0.0
57,2239.102,2277.294,0,0.0,0.0
58,2277.294,2315.486,0,0.0,0.0
59,2315.486,2353.677,0,0.0,0.0
60,2353.677,2391.869,0,0.0,0.0
61,2391.869,2430.061,0,0.0,0.0
62,2430.061,2468.253,0,0.0,0.0
63,2468.253,2506.444,0,0.0,0.0
64,2506.444,2544.636,8,1.4285714285714286,0.015460729746444033
65,2544.636,2582.828,20,3.571428571428571,0.03865182436611008
66,2582.828,2621.02,16,2.857142857142857,0.030921459492888066
67,2621.02,2659.211,0,0.0,0.0
68,2659.211,2697.403,0,0.0,0.0
69,2697.403,2735.595,0,0.0,0.0
70,2735.595,2773.787,0,0.0,0.0
71,2773.787,2811.978,0,0.0,0.0
72,2811.978,2850.17,0,0.0,0.0
73,2850.17,2888.362,0,0.0,0.0
74,2888.362,2926.554,0,0.0,0.0
75,2926.554,2964.745,0,0.0,0.0
76,2964.745,3002.937,0,0.0,0.0
77,3002.937,3041.129,0,0.0,0.0
78,3041.129,3079.321,0,0.0,0.0
79,3079.321,3117.512,0,0.0,0.0
80,3117.512,3155.704,0,0.0,0.0
81,3155.704,3193.896,0,0.0,0.0
82,3193.896,3232.088,0,0.0,0.0
83,3232.088,3270.279,0,0.0,0.0
84,3270.279,3308.471,0,0.0,0.0
85,3308.471,3346.663,0,0.0,0.0
86,3346.663,3384.855,0,0.0,0.0
87,3384.855,3423.046,0,0.0,0.0
88,3423.046,3461.238,0,0.0,0.0
89,3461.238,3499.43,0,0.0,0.0
90,3499.43,3537.622,0,0.0,0.0
91,3537.622,3575.813,0,0.0,0.0
92,3575.813,3614.005,0,0.0,0.0
93,3614.005,3652.197,0,0.0,0.0
94,3652.197,3690.389,0,0.0,0.0
95,3690.389,3728.58,1,0.17857142857142858,0.001932591218305504
96,3728.58,3766.772,0,0.0,0.0
97,3766.772,3804.964,2,0.35714285714285715,0.003865182436611008
98,3804.964,3843.156,3,0.5357142857142857,0.0057977736549165125
99,3843.156,3881.347,5,0.8928571428571428,0.00966295609152752
