,lower_bound,upper_bound,count,percent_of_high,percent_of_total
0,62.171,100.364,494,88.21428571428571,0.954700061842919
65,2544.636,2582.828,20,3.571428571428571,0.03865182436611008
66,2582.828,2621.02,16,2.857142857142857,0.030921459492888066
20,826.007,864.199,10,1.7857142857142856,0.01932591218305504
64,2506.444,2544.636,8,1.4285714285714286,0.015460729746444033
99,3843.156,3881.347,5,0.8928571428571428,0.00966295609152752
98,3804.964,3843.156,3,0.5357142857142857,0.0057977736549165125
97,3766.772,3804.964,2,0.35714285714285715,0.003865182436611008
95,3690.389,3728.58,1,0.17857142857142858,0.001932591218305504
21,864.199,902.391,1,0.17857142857142858,0.001932591218305504
