scenario,year,week,hour,generator,dual_value
mean,2025,9,0,ES1 0 CCGT,0.0
mean,2025,9,1,ES1 0 CCGT,0.0
mean,2025,9,2,ES1 0 CCGT,0.0
mean,2025,9,3,ES1 0 CCGT,0.0
mean,2025,9,4,ES1 0 CCGT,0.0
mean,2025,9,5,ES1 0 CCGT,0.0
mean,2025,9,6,ES1 0 CCGT,0.0
mean,2025,9,7,ES1 0 CCGT,-2.2772289205050447
mean,2025,9,8,ES1 0 CCGT,0.0
mean,2025,9,9,ES1 0 CCGT,0.0
mean,2025,9,10,ES1 0 CCGT,0.0
mean,2025,9,11,ES1 0 CCGT,0.0
mean,2025,9,12,ES1 0 CCGT,0.0
mean,2025,9,13,ES1 0 CCGT,0.0
mean,2025,9,14,ES1 0 CCGT,0.0
mean,2025,9,15,ES1 0 CCGT,0.0
mean,2025,9,16,ES1 0 CCGT,0.0
mean,2025,9,17,ES1 0 CCGT,0.0
mean,2025,9,18,ES1 0 CCGT,0.0
mean,2025,9,19,ES1 0 CCGT,-14.129837891523538
mean,2025,9,20,ES1 0 CCGT,0.0
mean,2025,9,21,ES1 0 CCGT,0.0
mean,2025,9,22,ES1 0 CCGT,-1.4895330515164533
mean,2025,9,23,ES1 0 CCGT,0.0
mean,2025,9,24,ES1 0 CCGT,0.0
mean,2025,9,25,ES1 0 CCGT,0.0
mean,2025,9,26,ES1 0 CCGT,0.0
mean,2025,9,27,ES1 0 CCGT,0.0
mean,2025,9,28,ES1 0 CCGT,0.0
mean,2025,9,29,ES1 0 CCGT,0.0
mean,2025,9,30,ES1 0 CCGT,-0.8238491789273573
mean,2025,9,31,ES1 0 CCGT,-3.0564831297372144
mean,2025,9,32,ES1 0 CCGT,-2.838662495273152
mean,2025,9,33,ES1 0 CCGT,0.0
mean,2025,9,34,ES1 0 CCGT,0.0
mean,2025,9,35,ES1 0 CCGT,0.0
mean,2025,9,36,ES1 0 CCGT,-0.0
mean,2025,9,37,ES1 0 CCGT,-0.400569446406762
mean,2025,9,38,ES1 0 CCGT,0.0
mean,2025,9,39,ES1 0 CCGT,0.0
mean,2025,9,40,ES1 0 CCGT,0.0
mean,2025,9,41,ES1 0 CCGT,0.0
mean,2025,9,42,ES1 0 CCGT,-11.508231993663296
mean,2025,9,43,ES1 0 CCGT,-7.3039186683360535
mean,2025,9,44,ES1 0 CCGT,-3.358901550852578
mean,2025,9,45,ES1 0 CCGT,-0.8579432814743796
mean,2025,9,46,ES1 0 CCGT,-3.396941962999785
mean,2025,9,47,ES1 0 CCGT,0.0
mean,2025,9,48,ES1 0 CCGT,0.0
mean,2025,9,49,ES1 0 CCGT,0.0
mean,2025,9,50,ES1 0 CCGT,0.0
mean,2025,9,51,ES1 0 CCGT,0.0
mean,2025,9,52,ES1 0 CCGT,0.0
mean,2025,9,53,ES1 0 CCGT,0.0
mean,2025,9,54,ES1 0 CCGT,0.0
mean,2025,9,55,ES1 0 CCGT,-2.2373173207607526
mean,2025,9,56,ES1 0 CCGT,-2.1084224161634877
mean,2025,9,57,ES1 0 CCGT,0.0
mean,2025,9,58,ES1 0 CCGT,0.0
mean,2025,9,59,ES1 0 CCGT,0.0
mean,2025,9,60,ES1 0 CCGT,0.0
mean,2025,9,61,ES1 0 CCGT,0.0
mean,2025,9,62,ES1 0 CCGT,0.0
mean,2025,9,63,ES1 0 CCGT,0.0
mean,2025,9,64,ES1 0 CCGT,0.0
mean,2025,9,65,ES1 0 CCGT,0.0
mean,2025,9,66,ES1 0 CCGT,0.0
mean,2025,9,67,ES1 0 CCGT,-2.558195731077396
mean,2025,9,68,ES1 0 CCGT,-1.4288891223309566
mean,2025,9,69,ES1 0 CCGT,0.0
mean,2025,9,70,ES1 0 CCGT,0.0
mean,2025,9,71,ES1 0 CCGT,0.0
mean,2025,9,72,ES1 0 CCGT,0.0
mean,2025,9,73,ES1 0 CCGT,0.0
mean,2025,9,74,ES1 0 CCGT,0.0
mean,2025,9,75,ES1 0 CCGT,0.0
mean,2025,9,76,ES1 0 CCGT,0.0
mean,2025,9,77,ES1 0 CCGT,0.0
mean,2025,9,78,ES1 0 CCGT,0.0
mean,2025,9,79,ES1 0 CCGT,0.0
mean,2025,9,80,ES1 0 CCGT,0.0
mean,2025,9,81,ES1 0 CCGT,0.0
mean,2025,9,82,ES1 0 CCGT,0.0
mean,2025,9,83,ES1 0 CCGT,0.0
mean,2025,9,84,ES1 0 CCGT,0.0
mean,2025,9,85,ES1 0 CCGT,0.0
mean,2025,9,86,ES1 0 CCGT,0.0
mean,2025,9,87,ES1 0 CCGT,0.0
mean,2025,9,88,ES1 0 CCGT,0.0
mean,2025,9,89,ES1 0 CCGT,0.0
mean,2025,9,90,ES1 0 CCGT,0.0
mean,2025,9,91,ES1 0 CCGT,-0.8579432814743796
mean,2025,9,92,ES1 0 CCGT,-0.8579432814743796
mean,2025,9,93,ES1 0 CCGT,-0.0
mean,2025,9,94,ES1 0 CCGT,0.0
mean,2025,9,95,ES1 0 CCGT,0.0
mean,2025,9,96,ES1 0 CCGT,0.0
mean,2025,9,97,ES1 0 CCGT,0.0
mean,2025,9,98,ES1 0 CCGT,0.0
mean,2025,9,99,ES1 0 CCGT,0.0
mean,2025,9,100,ES1 0 CCGT,0.0
mean,2025,9,101,ES1 0 CCGT,0.0
mean,2025,9,102,ES1 0 CCGT,0.0
mean,2025,9,103,ES1 0 CCGT,0.0
mean,2025,9,104,ES1 0 CCGT,-4.539663024926834
mean,2025,9,105,ES1 0 CCGT,0.0
mean,2025,9,106,ES1 0 CCGT,0.0
mean,2025,9,107,ES1 0 CCGT,0.0
mean,2025,9,108,ES1 0 CCGT,0.0
mean,2025,9,109,ES1 0 CCGT,0.0
mean,2025,9,110,ES1 0 CCGT,0.0
mean,2025,9,111,ES1 0 CCGT,0.0
mean,2025,9,112,ES1 0 CCGT,0.0
mean,2025,9,113,ES1 0 CCGT,0.0
mean,2025,9,114,ES1 0 CCGT,-6.535881108893399
mean,2025,9,115,ES1 0 CCGT,-2.1786270362978053
mean,2025,9,116,ES1 0 CCGT,-2.1786270362978053
mean,2025,9,117,ES1 0 CCGT,-2.1786270362978053
mean,2025,9,118,ES1 0 CCGT,-3.038574452168583
mean,2025,9,119,ES1 0 CCGT,-1.3186796204270101
mean,2025,9,120,ES1 0 CCGT,-1.7154062863234485
mean,2025,9,121,ES1 0 CCGT,0.0
mean,2025,9,122,ES1 0 CCGT,0.0
mean,2025,9,123,ES1 0 CCGT,-0.06152261191768895
mean,2025,9,124,ES1 0 CCGT,0.0
